removed_feature,test_mae,delta_mae_vs_full_ridge
bbox_only__inner50_median__object_depth__jitter_median,13.088361191511714,0.6826821303963477
bbox_area_ratio__jitter_median,12.742179775014392,0.33650071389902614
bbox_aspect_ratio__jitter_median,12.727045356402432,0.3213662952870653
bbox_center_y_norm__jitter_std,12.455853844636659,0.050174783521292454
bbox_aspect_ratio__jitter_std,12.449408421309803,0.04372936019443685
bbox_width_px__jitter_median,12.44876614588721,0.04308708477184453
bbox_width_norm__jitter_std,12.440656549583807,0.0349774884684404
bbox_area_ratio__jitter_std,12.42505964051628,0.01938057940091298
bbox_height_px__jitter_median,12.418002513096265,0.012323451980899236
bbox_width_px__jitter_std,12.415290246053539,0.009611184938172812
bbox_height_norm__jitter_median,12.415247260990387,0.009568199875021222
bbox_center_y_norm__jitter_median,12.410780445115321,0.005101383999955189
bbox_height_norm__jitter_std,12.406059594795863,0.0003805336804969528
time_of_day=10AM,12.405680496347696,1.4352323294275493e-06
time_of_day=8PM,12.405680496347696,1.4352323294275493e-06
weather=clear_sky,12.405664770953013,-1.4290162352992297e-05
weather=light_rain,12.405664770953013,-1.4290162352992297e-05
bbox_center_x_norm__jitter_median,12.404791575959374,-0.0008874851559923513
bbox_center_x_norm__jitter_std,12.404230966322217,-0.0014480947931492238
bbox_height_px__jitter_std,12.403950809067403,-0.0017282520479628971
bbox_width_norm__jitter_median,12.392366853355572,-0.013312207759794248
