model_name,split_name,grouping,weather,time_of_day,distance_range,count,mean_true_distance_m,std_true_distance_m,mean_prediction_m,mae,mean_relative_error
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,weather,clear_sky,,,48,77.5,38.37859646556485,78.29889250556334,32.24738159316925,0.666260375316948
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,weather,light_rain,,,48,77.5,38.37859646556485,76.92016027607028,32.63113385322031,0.6463972029461579
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,time_of_day,,10AM,,48,77.5,38.37859646556485,76.27668107831205,32.45336626461758,0.6485308695999538
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,time_of_day,,8PM,,48,77.5,38.37859646556485,78.94237170332157,32.42514918177198,0.6641267086631523
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,distance_range,,,far,24,130.0,14.719601443879744,77.2908315634249,52.70916843657509,0.3982883284855063
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,distance_range,,,mid,32,85.0,11.180339887498949,78.24023629318297,11.165677635454244,0.1257937234148909
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,distance_range,,,near,40,40.0,14.142135623730951,77.29617536535902,37.29617536535902,1.2355811180925105
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,weather__distance_range,clear_sky,,far,12,130.0,14.719601443879744,78.94227227785511,51.05772772214487,0.38516784033194135
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,weather__distance_range,clear_sky,,mid,16,85.0,11.180339887498949,78.06641419265168,10.8252898722521,0.12338282868065248
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,weather__distance_range,clear_sky,,near,20,40.0,14.142135623730951,78.09884729251759,38.0988472925176,1.2692179336169886
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,weather__distance_range,light_rain,,far,12,130.0,14.719601443879744,75.63939084899467,54.36060915100531,0.4114088166390714
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,weather__distance_range,light_rain,,mid,16,85.0,11.180339887498949,78.41405839371427,11.50606539865639,0.12820461814912928
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,weather__distance_range,light_rain,,near,20,40.0,14.142135623730951,76.49350343820045,36.49350343820045,1.2019443025680325
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,time_of_day__distance_range,,10AM,far,12,130.0,14.719601443879744,76.40695717233267,53.59304282766734,0.4060434942444133
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,time_of_day__distance_range,,10AM,mid,16,85.0,11.180339887498949,76.06561025612793,11.7061015735435,0.12847050828079554
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,time_of_day__distance_range,,10AM,near,20,40.0,14.142135623730951,76.36737207964698,36.367372079647,1.2100715838686045
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,time_of_day__distance_range,,8PM,far,12,130.0,14.719601443879744,78.17470595451715,51.82529404548285,0.3905331627265995
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,time_of_day__distance_range,,8PM,mid,16,85.0,11.180339887498949,80.41486233023802,10.625253697364986,0.12311693854898623
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,time_of_day__distance_range,,8PM,near,20,40.0,14.142135623730951,78.22497865107104,38.224978651071055,1.2610906523164167
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,leave_one_out,weather,clear_sky,,,48,77.5,38.37859646556485,75.19238786888256,32.51754758186729,0.6588688362268847
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,leave_one_out,weather,light_rain,,,48,77.5,38.37859646556485,79.81605625027694,29.38967187740846,0.5971306218069854
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,leave_one_out,time_of_day,,10AM,,48,77.5,38.37859646556485,74.36952612850753,31.33928674256461,0.6100135053121086
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,leave_one_out,time_of_day,,8PM,,48,77.5,38.37859646556485,80.63891799065196,30.56793271671114,0.6459859527217614
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,leave_one_out,distance_range,,,far,24,130.0,14.719601443879744,82.11883050506628,47.881169494933715,0.36099083626597944
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,leave_one_out,distance_range,,,mid,32,85.0,11.180339887498949,79.43901034314625,15.39075333697873,0.17946666657187044
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,leave_one_out,distance_range,,,near,40,40.0,14.142135623730951,73.18762636543464,33.247358984587684,1.1470315146235601
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,leave_one_out,weather__distance_range,clear_sky,,far,12,130.0,14.719601443879744,77.87019154986378,52.12980845013622,0.3962933418769894
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,leave_one_out,weather__distance_range,clear_sky,,mid,16,85.0,11.180339887498949,75.3845219424571,16.51595685832436,0.1884131406477809
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,leave_one_out,weather__distance_range,clear_sky,,near,20,40.0,14.142135623730951,73.43199840143417,33.55146363974028,1.1927786893001049
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,leave_one_out,weather__distance_range,light_rain,,far,12,130.0,14.719601443879744,86.3674694602688,43.63253053973121,0.3256883306549694
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,leave_one_out,weather__distance_range,light_rain,,mid,16,85.0,11.180339887498949,83.4934987438354,14.265549815633102,0.17052019249595998
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,leave_one_out,weather__distance_range,light_rain,,near,20,40.0,14.142135623730951,72.94325432943508,32.9432543294351,1.1012843399470156
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,leave_one_out,time_of_day__distance_range,,10AM,far,12,130.0,14.719601443879744,80.02808817103808,49.97191182896191,0.37644761352708783
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,leave_one_out,time_of_day__distance_range,,10AM,mid,16,85.0,11.180339887498949,74.52305924930906,17.825141800154803,0.20496887020596682
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,leave_one_out,time_of_day__distance_range,,10AM,near,20,40.0,14.142135623730951,70.85156240634797,30.97102764465408,1.0741887484680348
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,leave_one_out,time_of_day__distance_range,,8PM,far,12,130.0,14.719601443879744,84.20957283909449,45.790427160905516,0.34553405900487083
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,leave_one_out,time_of_day__distance_range,,8PM,mid,16,85.0,11.180339887498949,84.35496143698344,12.956364873802656,0.15396446293777408
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,leave_one_out,time_of_day__distance_range,,8PM,near,20,40.0,14.142135623730951,75.5236903245213,35.5236903245213,1.2198742807790857
bbox_expand_1_5x__bbox_mean__object_minus_ring,leave_one_out,weather,clear_sky,,,48,77.5,38.37859646556485,74.07753703009513,28.867649883288852,0.5147538267496976
bbox_expand_1_5x__bbox_mean__object_minus_ring,leave_one_out,weather,light_rain,,,48,77.5,38.37859646556485,80.99368816697033,29.51248026788785,0.5884871366059238
bbox_expand_1_5x__bbox_mean__object_minus_ring,leave_one_out,time_of_day,,10AM,,48,77.5,38.37859646556485,72.41693497150207,30.20818657107186,0.5576634664031974
bbox_expand_1_5x__bbox_mean__object_minus_ring,leave_one_out,time_of_day,,8PM,,48,77.5,38.37859646556485,82.65429022556339,28.17194358010484,0.545577496952424
bbox_expand_1_5x__bbox_mean__object_minus_ring,leave_one_out,distance_range,,,far,24,130.0,14.719601443879744,87.02108565046235,42.97891434953763,0.32220676805637344
bbox_expand_1_5x__bbox_mean__object_minus_ring,leave_one_out,distance_range,,,mid,32,85.0,11.180339887498949,79.596848968815,16.537638957630772,0.19647571672462683
bbox_expand_1_5x__bbox_mean__object_minus_ring,leave_one_out,distance_range,,,near,40,40.0,14.142135623730951,70.19533967114913,31.038696405584847,0.9733845218132202
bbox_expand_1_5x__bbox_mean__object_minus_ring,leave_one_out,weather__distance_range,clear_sky,,far,12,130.0,14.719601443879744,84.5281931809126,45.4718068190874,0.34092453529233985
bbox_expand_1_5x__bbox_mean__object_minus_ring,leave_one_out,weather__distance_range,clear_sky,,mid,16,85.0,11.180339887498949,72.5640181436118,15.452930716727167,0.18388016107956578
bbox_expand_1_5x__bbox_mean__object_minus_ring,leave_one_out,weather__distance_range,clear_sky,,near,20,40.0,14.142135623730951,69.01795844879133,29.636931055059062,0.8837503341602175
bbox_expand_1_5x__bbox_mean__object_minus_ring,leave_one_out,weather__distance_range,light_rain,,far,12,130.0,14.719601443879744,89.51397812001214,40.48602187998787,0.30348900082040703
