method_id,context_window,aggregation_method,score_field,full_fit_intercept,full_fit_slope
bbox_expand_1_5x__bbox_mean__object_depth,bbox_expand_1_5x,bbox_mean,object_depth,50.5850034179516,13.609475589884841
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,bbox_expand_1_5x,bbox_mean,object_depth_percentile_5_95,114.9505201795577,-91.74570351685949
bbox_expand_1_5x__bbox_mean__object_minus_ring,bbox_expand_1_5x,bbox_mean,object_minus_ring,79.26414446245751,-54.43062452417343
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,bbox_expand_1_5x,bbox_mean,object_minus_ring_normalized,74.18320093896142,-95.21802265859321
bbox_expand_1_5x__bbox_midpoint__object_depth,bbox_expand_1_5x,bbox_midpoint,object_depth,138.35021437741273,-22.862124586185598
bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95,bbox_expand_1_5x,bbox_midpoint,object_depth_percentile_5_95,115.93235100929627,-56.49406233503287
bbox_expand_1_5x__bbox_midpoint__object_minus_ring,bbox_expand_1_5x,bbox_midpoint,object_minus_ring,90.85434783306398,-18.64190652375594
bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,bbox_expand_1_5x,bbox_midpoint,object_minus_ring_normalized,88.83864096037162,-33.55052941731388
bbox_expand_1_5x__inner50_median__object_depth,bbox_expand_1_5x,inner50_median,object_depth,114.4965346888947,-16.18603216677381
bbox_expand_1_5x__inner50_median__object_depth_percentile_5_95,bbox_expand_1_5x,inner50_median,object_depth_percentile_5_95,107.3650901604212,-55.41117373471387
bbox_expand_1_5x__inner50_median__object_minus_ring,bbox_expand_1_5x,inner50_median,object_minus_ring,84.11417825366443,-19.427615503648248
bbox_expand_1_5x__inner50_median__object_minus_ring_normalized,bbox_expand_1_5x,inner50_median,object_minus_ring_normalized,81.86721062424967,-45.639551975351914
bbox_expand_2x__bbox_mean__object_depth,bbox_expand_2x,bbox_mean,object_depth,80.88831040251065,-1.7420773789092088
bbox_expand_2x__bbox_mean__object_depth_percentile_5_95,bbox_expand_2x,bbox_mean,object_depth_percentile_5_95,109.41621114473851,-77.21978044225727
bbox_expand_2x__bbox_mean__object_minus_ring,bbox_expand_2x,bbox_mean,object_minus_ring,80.4447994438566,-56.46832917409302
bbox_expand_2x__bbox_mean__object_minus_ring_normalized,bbox_expand_2x,bbox_mean,object_minus_ring_normalized,77.31966869021842,-78.98179921313323
bbox_expand_2x__bbox_midpoint__object_depth,bbox_expand_2x,bbox_midpoint,object_depth,132.0936913435479,-21.03331158579791
bbox_expand_2x__bbox_midpoint__object_depth_percentile_5_95,bbox_expand_2x,bbox_midpoint,object_depth_percentile_5_95,108.0122245050686,-47.92144238687649
bbox_expand_2x__bbox_midpoint__object_minus_ring,bbox_expand_2x,bbox_midpoint,object_minus_ring,90.33742946186166,-18.267441940432047
bbox_expand_2x__bbox_midpoint__object_minus_ring_normalized,bbox_expand_2x,bbox_midpoint,object_minus_ring_normalized,85.78592168948266,-21.370088325649956
bbox_expand_2x__inner50_median__object_depth,bbox_expand_2x,inner50_median,object_depth,115.17926396842336,-16.50270609789618
bbox_expand_2x__inner50_median__object_depth_percentile_5_95,bbox_expand_2x,inner50_median,object_depth_percentile_5_95,101.17683607027875,-44.43311087612431
bbox_expand_2x__inner50_median__object_minus_ring,bbox_expand_2x,inner50_median,object_minus_ring,84.40225718922429,-17.68067995334497
bbox_expand_2x__inner50_median__object_minus_ring_normalized,bbox_expand_2x,inner50_median,object_minus_ring_normalized,82.178651589761,-25.502138323536855
bbox_expand_4x__bbox_mean__object_depth,bbox_expand_4x,bbox_mean,object_depth,88.51704683438254,-5.669533450548404
bbox_expand_4x__bbox_mean__object_depth_percentile_5_95,bbox_expand_4x,bbox_mean,object_depth_percentile_5_95,97.0966883097453,-43.54287232138759
bbox_expand_4x__bbox_mean__object_minus_ring,bbox_expand_4x,bbox_mean,object_minus_ring,82.43797449131304,-60.252167055020394
bbox_expand_4x__bbox_mean__object_minus_ring_normalized,bbox_expand_4x,bbox_mean,object_minus_ring_normalized,81.00854149376075,-55.25931289453191
bbox_expand_4x__bbox_midpoint__object_depth,bbox_expand_4x,bbox_midpoint,object_depth,115.8273857711097,-15.77180773701993
