method_id,context_window,aggregation_method,score_field,count,pearson_correlation,spearman_correlation,loocv_mae,loocv_mean_relative_error,loocv_rmse,loocv_r2,full_fit_intercept,full_fit_slope
bbox_only__bbox_midpoint__object_depth,bbox_only,bbox_midpoint,object_depth,96,-0.6150693542624796,-0.5971614592322307,25.16718525402827,0.4603636139676501,30.800097059252582,0.3559404952581299,152.40201968473895,-27.487779419726458
bbox_only__bbox_midpoint__object_depth_percentile_5_95,bbox_only,bbox_midpoint,object_depth_percentile_5_95,96,-0.5610433694641811,-0.5911377077683956,26.543485426638256,0.5056724962519396,32.32694641226917,0.29050197611877393,117.3929474843731,-59.302141618200274
bbox_expand_1_5x__bbox_midpoint__object_minus_ring,bbox_expand_1_5x,bbox_midpoint,object_minus_ring,96,-0.5697394847085868,-0.6029327133057735,26.760088077426612,0.49004540671355007,32.06389605701451,0.3020016314421292,90.85434783306398,-18.64190652375594
bbox_only__inner50_median__object_depth_percentile_5_95,bbox_only,inner50_median,object_depth_percentile_5_95,96,-0.4871372175514566,-0.49262553639070245,27.138651937284152,0.5426043849720282,34.146031908842005,0.20840633994705082,112.48971967671258,-73.12911135248969
bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95,bbox_expand_1_5x,bbox_midpoint,object_depth_percentile_5_95,96,-0.524776914158465,-0.5076607887430136,27.305810374067033,0.535255277444416,33.267781693316714,0.24860290888089698,115.93235100929627,-56.49406233503287
bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,bbox_expand_1_5x,bbox_midpoint,object_minus_ring_normalized,96,-0.5327177862534814,-0.5342221223547273,27.76241710804418,0.5444186694314697,33.126259490305046,0.25498224532796043,88.83864096037162,-33.55052941731388
bbox_expand_1_5x__bbox_midpoint__object_depth,bbox_expand_1_5x,bbox_midpoint,object_depth,96,-0.5165579189571501,-0.487398740248626,27.77477233471922,0.5316645718003968,33.44466156886142,0.24059153326913085,138.35021437741273,-22.862124586185598
bbox_expand_2x__bbox_midpoint__object_minus_ring,bbox_expand_2x,bbox_midpoint,object_minus_ring,96,-0.5135130763398722,-0.5281241935223048,28.10000452383216,0.5261430333153642,33.486446586292814,0.2386927717273154,90.33742946186166,-18.267441940432047
bbox_expand_2x__bbox_midpoint__object_depth,bbox_expand_2x,bbox_midpoint,object_depth,96,-0.4890158792781075,-0.4381797432440731,28.212993887698875,0.5392691391862077,34.061554742940615,0.21231829487546905,132.0936913435479,-21.03331158579791
bbox_expand_1_5x__inner50_median__object_minus_ring_normalized,bbox_expand_1_5x,inner50_median,object_minus_ring_normalized,96,-0.4878334920518222,-0.4804296787258574,28.56169482161128,0.55695321032866,34.06653088515989,0.21208812907526808,81.86721062424967,-45.639551975351914
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,bbox_expand_1_5x,bbox_mean,object_minus_ring_normalized,96,-0.5045772444973979,-0.5393400269105104,28.679267149338685,0.5427612823283755,33.74452784951608,0.22691270622680648,74.18320093896142,-95.21802265859321
bbox_expand_1_5x__inner50_median__object_minus_ring,bbox_expand_1_5x,inner50_median,object_minus_ring,96,-0.46301908912468753,-0.5144038536493541,28.703272364779036,0.5546550561216025,34.51890197362638,0.191023755497713,84.11417825366443,-19.427615503648248
bbox_expand_1_5x__inner50_median__object_depth_percentile_5_95,bbox_expand_1_5x,inner50_median,object_depth_percentile_5_95,96,-0.4464728022228672,-0.44052240625589334,28.86980919450421,0.5787038000841552,34.98949561724527,0.16881597495950706,107.3650901604212,-55.41117373471387
bbox_expand_1_5x__bbox_mean__object_minus_ring,bbox_expand_1_5x,bbox_mean,object_minus_ring,96,-0.4630323997262411,-0.5371621951846453,29.19006507558835,0.5516204816778107,34.665633604707715,0.18413160743478985,79.26414446245751,-54.43062452417343
bbox_expand_2x__inner50_median__object_minus_ring,bbox_expand_2x,inner50_median,object_minus_ring,96,-0.4129843185863526,-0.43338851344716967,29.462027776576658,0.5728044840970488,35.47290504471395,0.1456903022497592,84.40225718922429,-17.68067995334497
