model_name,split_name,grouping,weather,time_of_day,distance_range,count,mean_true_distance_m,std_true_distance_m,mean_prediction_m,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,weather,clear_sky,,,240,77.5,38.37859646556485,77.91235713609343,32.39886793222719,34.48832631340522,0.6644544698624365,0.3495041412603352,38.496548108507156,-0.006156186435489097,0.4123571360934155,1.8857504590865801,61.01676842546474,71.60476512210411,75.0637553804899,0.09583333333333334,0.16666666666666666,0.35833333333333334,0.5083333333333333,0.49166666666666664
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,weather,light_rain,,,240,77.5,38.37859646556485,77.13643850166869,32.44333022891313,31.35965615601952,0.6536935746659576,0.36977817189416273,38.33702306939887,0.0021653151975418172,-0.36356149833131896,2.950567839067908,59.808144075404044,71.9346807270358,78.73906880974737,0.09583333333333334,0.15416666666666667,0.325,0.5208333333333334,0.4791666666666667
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,time_of_day,,10AM,,240,77.5,38.37859646556485,76.89628271528606,32.47742967966647,31.455833911406096,0.6565457458493853,0.3704373334313891,38.53555620741965,-0.00819627194242667,-0.6037172847139572,2.299647277935982,60.4337581338127,72.00971627935154,77.17549012598616,0.1,0.17083333333333334,0.3375,0.5083333333333333,0.49166666666666664
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,time_of_day,,8PM,,240,77.5,38.37859646556485,78.15251292247605,32.36476848147385,33.48276419761562,0.661602298679009,0.3529617644272346,38.29781275580927,0.0042054007044796116,0.6525129224760539,2.6343483825754106,60.49509635476631,71.06261165255547,78.73906880974737,0.09166666666666666,0.15,0.3458333333333333,0.5208333333333334,0.4791666666666667
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,distance_range,,,far,120,130.0,14.719601443879744,77.43660153741435,52.56339846258565,47.420847491440064,0.3971721468827693,0.3793667799315205,54.58081142065975,-12.74953065540441,-52.56339846258565,-47.420847491440064,72.8459859890475,74.36286971072951,78.73906880974737,0.0,0.0,0.0,0.0,1.0
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,distance_range,,,mid,160,85.0,11.180339887498949,77.85402532768418,11.199031418873048,10.225781588829854,0.12545895209462618,0.1183781959243239,13.537013133199121,-0.46600579654724394,-7.145974672315806,-7.206415840201345,22.887316807680644,24.399925081165915,28.437536766601028,0.2875,0.48125,0.80625,0.29375,0.70625
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,distance_range,,,near,200,40.0,14.142135623730951,77.31337358071856,37.313373580718554,36.65872998512635,1.2431072036287105,0.9164682496281588,40.10005361661969,-7.04007150027887,37.313373580718554,36.65872998512635,56.25782460202243,60.26626214771087,70.1387154615906,0.0,0.0,0.175,1.0,0.0
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,weather__distance_range,clear_sky,,far,60,130.0,14.719601443879744,77.93866581172892,52.06133418827109,47.420847491440064,0.3931193231414551,0.3793667799315205,54.119864985076816,-12.518275935398199,-52.06133418827109,-47.420847491440064,72.61223076049193,73.07345598166982,75.0637553804899,0.0,0.0,0.0,0.0,1.0
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,weather__distance_range,clear_sky,,mid,80,85.0,11.180339887498949,77.96503992280581,10.832571028800492,9.952586397420703,0.12134862970246499,0.11213513619664336,13.148484060037307,-0.38306106461644096,-7.03496007719419,-7.3812448859454065,22.02923275847695,24.337996338807145,28.437536766601028,0.2875,0.5,0.85,0.275,0.725
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,weather__distance_range,clear_sky,,near,100,40.0,14.142135623730951,77.85442570134221,37.85442570134221,37.5112381711724,1.261740230023003,0.9377809542793101,40.75635092824238,-7.305400704930218,37.85442570134221,37.5112381711724,58.3852181830349,60.51328773578784,70.1387154615906,0.0,0.0,0.18,1.0,0.0
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,weather__distance_range,light_rain,,far,60,130.0,14.719601443879744,76.93453726309977,53.06546273690023,47.241866354551185,0.4012249706240836,0.3787026686612006,55.03789753135835,-12.98078537541062,-53.06546273690023,-47.241866354551185,73.92156234781463,75.85870773092539,78.73906880974737,0.0,0.0,0.0,0.0,1.0
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,weather__distance_range,light_rain,,mid,80,85.0,11.180339887498949,77.74301073256257,11.565491808945604,10.567908609038156,0.12956927448678743,0.13347452227305395,13.914697842919761,-0.5489505284780467,-7.256989267437424,-6.330579144579339,23.15149550124903,24.414273979683138,27.715424803163742,0.2875,0.4625,0.7625,0.3125,0.6875
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,weather__distance_range,light_rain,,near,100,40.0,14.142135623730951,76.77232146009491,36.772321460094915,36.08629483451718,1.2244741772344183,0.9021573708629296,39.432834784294975,-6.774742295627519,36.772321460094915,36.08629483451718,55.20327185229104,59.581972294951086,61.30857309665882,0.0,0.0,0.17,1.0,0.0
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,time_of_day__distance_range,,10AM,far,60,130.0,14.719601443879744,76.85806447201975,53.14193552798028,48.48379058047523,0.40171628718222074,0.38787032464380183,55.11899436243055,-13.022016336272234,-53.14193552798028,-48.48379058047523,73.92156234781463,74.59060315165392,77.17549012598616,0.0,0.0,0.0,0.0,1.0
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,time_of_day__distance_range,,10AM,mid,80,85.0,11.180339887498949,76.85173606338563,11.382273664556507,9.490661738344556,0.12614583430793078,0.12089962682240157,13.88743963621978,-0.5428878371971853,-8.148263936614365,-7.484372621224885,23.417093707611244,26.148762814104575,28.437536766601028,0.3,0.5125,0.7875,0.275,0.725
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,time_of_day__distance_range,,10AM,near,100,40.0,14.142135623730951,76.95485098276616,36.95485098276617,36.29545305574097,1.2337633502828478,0.9073863263935242,39.83494588776756,-6.934114569406849,36.95485098276617,36.29545305574097,55.23130264374987,59.79166702360767,70.1387154615906,0.0,0.0,0.18,1.0,0.0
