image_path,label_path,stratum_key,selection_rank_within_stratum,true_distance_m,weather,time_of_day,context_window,context_scale,aggregation_method,crop_x1,crop_y1,crop_x2,crop_y2,local_bbox_x1,local_bbox_y1,local_bbox_x2,local_bbox_y2,focus_bbox_x1,focus_bbox_y1,focus_bbox_x2,focus_bbox_y2,surrounding_bbox_x1,surrounding_bbox_y1,surrounding_bbox_x2,surrounding_bbox_y2,object_depth,object_depth_percentile_5_95,surrounding_ring_depth,object_minus_ring,object_minus_ring_normalized,robust_global_range,global_percentile_5,global_percentile_95
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,2,20.0,clear_sky,10AM,full_image,full_image,inner50_median,0,0,2826,1590,1062,397,1182,509,1092,425,1152,481,1014,352,1230,554,2.4513588,0.25714205,2.43045855,0.02090025,0.00515979,4.05059731,1.40977991,5.46037722
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,2,20.0,clear_sky,10AM,full_image,full_image,bbox_mean,0,0,2826,1590,1062,397,1182,509,1092,425,1152,481,1014,352,1230,554,2.42881417,0.2515763,2.43045855,-0.00164437,-0.00040596,4.05059731,1.40977991,5.46037722
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,2,20.0,clear_sky,10AM,full_image,full_image,bbox_midpoint,0,0,2826,1590,1062,397,1182,509,1092,425,1152,481,1014,352,1230,554,2.46267676,0.2599362,2.43045855,0.03221822,0.00795394,4.05059731,1.40977991,5.46037722
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,2,20.0,clear_sky,10AM,bbox_expand_16x,16.0,inner50_median,162,0,2082,1349,900,397,1020,509,930,425,990,481,852,352,1068,554,2.46844435,0.30024393,2.41245031,0.05599403,0.01351522,4.14303672,1.22452271,5.36755943
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,2,20.0,clear_sky,10AM,bbox_expand_16x,16.0,bbox_mean,162,0,2082,1349,900,397,1020,509,930,425,990,481,852,352,1068,554,2.41640019,0.2876821,2.41245031,0.00394988,0.00095338,4.14303672,1.22452271,5.36755943
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,2,20.0,clear_sky,10AM,bbox_expand_16x,16.0,bbox_midpoint,162,0,2082,1349,900,397,1020,509,930,425,990,481,852,352,1068,554,2.50352025,0.30871016,2.41245031,0.09106994,0.02198145,4.14303672,1.22452271,5.36755943
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,2,20.0,clear_sky,10AM,bbox_expand_10x,10.0,inner50_median,522,0,1722,1013,540,397,660,509,570,425,630,481,492,352,708,554,2.88921165,0.45302008,2.82251668,0.06669497,0.02011151,3.31625831,1.38688004,4.70313835
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,2,20.0,clear_sky,10AM,bbox_expand_10x,10.0,bbox_mean,522,0,1722,1013,540,397,660,509,570,425,630,481,492,352,708,554,2.87952828,0.45010011,2.82251668,0.0570116,0.01719155,3.31625831,1.38688004,4.70313835
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,2,20.0,clear_sky,10AM,bbox_expand_10x,10.0,bbox_midpoint,522,0,1722,1013,540,397,660,509,570,425,630,481,492,352,708,554,3.45921373,0.62490117,2.82251668,0.63669705,0.1919926,3.31625831,1.38688004,4.70313835
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,2,20.0,clear_sky,10AM,bbox_expand_8x,8.0,inner50_median,642,5,1602,901,420,392,540,504,450,420,510,476,372,347,588,549,3.05205894,0.50137329,2.96080256,0.09125638,0.02527758,3.61017108,1.2420156,4.85218668
