model_name,split_name,grouping,weather,time_of_day,distance_range,count,mean_true_distance_m,std_true_distance_m,mean_prediction_m,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
bbox_expand_10x__bbox_mean__object_depth,leave_one_out,distance_range,,,far,120,130.0,14.719601443879744,78.28625759352454,51.71374240647548,46.70048608427298,0.3903839953090984,0.37786149884527953,53.98521366917614,-12.451092130338164,-51.71374240647548,-46.70048608427298,73.43813531304473,75.9975868022562,85.91354483745789,0.0,0.0,0.0,0.0,1.0
bbox_expand_10x__bbox_mean__object_depth,leave_one_out,distance_range,,,mid,160,85.0,11.180339887498949,77.73169826095982,12.06212036454978,10.267326936564949,0.13628519746787943,0.13811231299745108,14.627544770367361,-0.711720528072812,-7.268301739040173,-7.2271269332545955,22.818043859407403,28.14985481650778,36.56933412969329,0.225,0.475,0.81875,0.30625,0.69375
bbox_expand_10x__bbox_mean__object_depth,leave_one_out,distance_range,,,near,200,40.0,14.142135623730951,76.86234285433422,36.862342854334216,38.11825236158891,1.2174581129766522,0.9749561125487884,39.594160266665654,-6.838487636112028,36.862342854334216,38.11825236158891,56.174496099532206,59.362299986321084,68.25732339833831,0.01,0.015,0.13,1.0,0.0
bbox_expand_10x__bbox_mean__object_depth_percentile_5_95,leave_one_out,distance_range,,,far,120,130.0,14.719601443879744,77.35290482941681,52.64709517058318,47.50855157257364,0.3975780159275626,0.3800684125805891,54.68342352621376,-12.801277577910467,-52.64709517058318,-47.50855157257364,72.87610978186272,73.18045650996369,74.5259831002803,0.0,0.0,0.0,0.0,1.0
bbox_expand_10x__bbox_mean__object_depth_percentile_5_95,leave_one_out,distance_range,,,mid,160,85.0,11.180339887498949,77.41037665192927,11.353549007642796,10.17572902476234,0.12670619964086577,0.1272658213613305,13.598506044320771,-0.47935493309942845,-7.589623348070734,-7.8299249266452335,22.784212160556997,22.966760834062207,24.623813907997985,0.25,0.5,0.75,0.25,0.75
bbox_expand_10x__bbox_mean__object_depth_percentile_5_95,leave_one_out,distance_range,,,near,200,40.0,14.142135623730951,77.67794176516117,37.67794176516116,37.65015445666041,1.2533822594814137,0.9412538614165102,40.26761612386873,-7.107404541496264,37.67794176516116,37.65015445666041,57.724140256097236,58.09495709249921,59.608790907234564,0.0,0.0,0.2,1.0,0.0
bbox_expand_10x__bbox_mean__object_minus_ring,leave_one_out,distance_range,,,far,120,130.0,14.719601443879744,78.36628382734399,51.63371617265601,45.64819208389504,0.39027999908580996,0.36641324411270904,53.62898958483601,-12.274162417955921,-51.63371617265601,-45.64819208389504,70.90112242126983,71.6363646175536,73.37282566496627,0.0,0.0,0.0,0.0,1.0
bbox_expand_10x__bbox_mean__object_minus_ring,leave_one_out,distance_range,,,mid,160,85.0,11.180339887498949,77.4379772317618,11.77095223284131,10.393071655333564,0.1332483251243301,0.12705642145060222,14.337250244490413,-0.6444539565851231,-7.562022768238191,-10.294684762761776,21.042921782462496,23.89172966737061,42.49171388608705,0.2125,0.4625,0.74375,0.25,0.75
bbox_expand_10x__bbox_mean__object_minus_ring,leave_one_out,distance_range,,,near,200,40.0,14.142135623730951,77.04981627348072,37.06433861077563,37.84390376333854,1.2292308758218145,0.9681903523247335,39.95763091681487,-6.983061342421999,37.049816273480715,37.84390376333854,58.42331626042731,59.47185456160075,74.79238536703053,0.01,0.01,0.21,0.995,0.005
bbox_expand_10x__bbox_mean__object_minus_ring_normalized,leave_one_out,distance_range,,,far,120,130.0,14.719601443879744,77.76711804308471,52.2328819569153,46.85433081364196,0.39457302589552795,0.3748961820522473,54.22656323617999,-12.571631509572741,-52.2328819569153,-46.85433081364196,71.97977327224204,72.21240566110028,73.07668767309869,0.0,0.0,0.0,0.0,1.0
bbox_expand_10x__bbox_mean__object_minus_ring_normalized,leave_one_out,distance_range,,,mid,160,85.0,11.180339887498949,77.24935258671941,11.468986892431294,10.82772321952195,0.12838293202196352,0.1286466413308977,13.897869314574598,-0.5452061718799535,-7.750647413280594,-10.256282122081672,21.913108044075127,22.413993103742204,34.22137472583717,0.24375,0.48125,0.75,0.24375,0.75625
bbox_expand_10x__bbox_mean__object_minus_ring_normalized,leave_one_out,distance_range,,,near,200,40.0,14.142135623730951,77.52055870727384,37.52055870727382,38.12446353415075,1.2470811217531033,0.9531115883537687,40.18114318184244,-7.0726213369986155,37.52055870727382,38.12446353415075,58.20868848454874,58.384236257688045,61.23123194467222,0.005,0.005,0.205,1.0,0.0
bbox_expand_10x__bbox_midpoint__object_depth,leave_one_out,distance_range,,,far,120,130.0,14.719601443879744,80.59425016166483,49.40574983833517,46.00141796732318,0.3727229754945751,0.3693685976622061,52.057313556703285,-11.507525668035031,-49.40574983833517,-46.00141796732318,71.4034746376947,76.4040760066403,90.57575117431296,0.0,0.0,0.0,0.0,1.0
bbox_expand_10x__bbox_midpoint__object_depth,leave_one_out,distance_range,,,mid,160,85.0,11.180339887498949,77.6380797048241,12.759082347864265,10.412084822713936,0.1461242111639141,0.13374221393054425,15.580726053205307,-0.9420721947602451,-7.361920295175905,-6.313632104011937,24.669647879799655,31.092391612010644,42.89285508845955,0.2,0.46875,0.76875,0.3125,0.6875
bbox_expand_10x__bbox_midpoint__object_depth,leave_one_out,distance_range,,,near,200,40.0,14.142135623730951,75.56041868599343,35.62476477210826,34.145790264742544,1.1566593867860369,0.8884478171143775,38.832036033191095,-6.539635112415257,35.560418685993426,34.145790264742544,56.69964184062444,61.28132091998783,76.63126864335202,0.01,0.04,0.17,0.99,0.01
bbox_expand_10x__bbox_midpoint__object_depth_percentile_5_95,leave_one_out,distance_range,,,far,120,130.0,14.719601443879744,78.29831106839784,51.701688931602185,46.65339213001778,0.390388825313356,0.37643337141555033,53.83974840717783,-12.378700808684037,-51.701688931602185,-46.65339213001778,72.75191058488859,74.14317884308211,78.90496482473299,0.0,0.0,0.0,0.0,1.0
bbox_expand_10x__bbox_midpoint__object_depth_percentile_5_95,leave_one_out,distance_range,,,mid,160,85.0,11.180339887498949,76.86849134345053,11.688357209777815,10.221659067494336,0.13024341214753812,0.12634268308993535,14.270617660025263,-0.6292042271889993,-8.13150865654948,-8.38535914996914,23.248872577281176,25.23258818686345,30.96265397645277,0.24375,0.49375,0.775,0.25625,0.74375
bbox_expand_10x__bbox_midpoint__object_depth_percentile_5_95,leave_one_out,distance_range,,,near,200,40.0,14.142135623730951,77.54875911773301,37.54875911773301,37.66347159925865,1.2464695106499109,0.9415867899814663,40.26149169990854,-7.104938569509022,37.54875911773301,37.66347159925865,56.466977584366475,60.399659324674566,67.28427341074756,0.0,0.0,0.145,1.0,0.0
bbox_expand_10x__bbox_midpoint__object_minus_ring,leave_one_out,distance_range,,,far,120,130.0,14.719601443879744,80.6249719846187,49.375028015381304,43.231651661724825,0.3728554166064073,0.34618894644709075,51.502224633260504,-11.24221142542227,-49.375028015381304,-43.231651661724825,68.50509843121803,69.25889993334567,76.70843177443152,0.0,0.0,0.0,0.0,1.0
bbox_expand_10x__bbox_midpoint__object_minus_ring,leave_one_out,distance_range,,,mid,160,85.0,11.180339887498949,77.0021544770237,12.880773798408976,11.10827678207555,0.14915317777085244,0.14142955598669624,16.10617378762451,-1.0752706726173025,-7.997845522976304,-8.452816537248943,21.934313312440324,31.762004935328793,60.843201973229775,0.18125,0.425,0.8625,0.33125,0.66875
bbox_expand_10x__bbox_midpoint__object_minus_ring,leave_one_out,distance_range,,,near,200,40.0,14.142135623730951,76.00903168374684,36.04514071334327,34.45025152711157,1.1761518716229615,0.9329759651879245,39.281286420811306,-6.715097314369073,36.00903168374684,34.45025152711157,57.778216179426224,61.77961443521992,79.53858146324778,0.025,0.045,0.155,0.995,0.005
bbox_expand_10x__bbox_midpoint__object_minus_ring_normalized,leave_one_out,distance_range,,,far,120,130.0,14.719601443879744,78.02199551315957,51.978004486840426,46.617055489789095,0.3925171044457149,0.3729364439183127,53.998487719444796,-12.457707735324755,-51.978004486840426,-46.617055489789095,71.80938145063642,71.94014359711183,73.0677749899994,0.0,0.0,0.0,0.0,1.0
