model_name,split_name,grouping,weather,time_of_day,distance_range,count,mean_true_distance_m,std_true_distance_m,mean_prediction_m,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
bbox_expand_10x__bbox_mean__object_depth,leave_one_out,weather,clear_sky,,,240,77.5,38.37859646556485,77.53952668060872,33.28093345555374,32.3750063239969,0.6649874869439659,0.3669674918198631,39.03805562033365,-0.034661241267053056,0.03952668060870413,3.950737558500272,59.81420155933307,72.72425139098198,85.91354483745789,0.058333333333333334,0.15,0.30416666666666664,0.5083333333333333,0.49166666666666664
bbox_expand_10x__bbox_mean__object_depth,leave_one_out,weather,light_rain,,,240,77.5,38.37859646556485,77.47668666873864,31.335970369329022,30.607388918282865,0.6356097365030463,0.3555478542361522,37.179158734365004,0.0615288186511278,-0.023313331261378304,2.343029728206993,58.542642118384705,67.55626182228853,73.71328151685829,0.1,0.17916666666666667,0.35,0.5291666666666667,0.4708333333333333
bbox_expand_10x__bbox_mean__object_depth,leave_one_out,time_of_day,,10AM,,240,77.5,38.37859646556485,77.6324209238736,31.81253318507491,30.229782754786328,0.6365989104400172,0.358470754353274,37.40062435200273,0.05031511043646775,0.1324209238735951,3.5518626159284707,57.52856736457052,68.00549886844594,85.27025429604065,0.06666666666666667,0.16666666666666666,0.32916666666666666,0.5125,0.4875
bbox_expand_10x__bbox_mean__object_depth,leave_one_out,time_of_day,,8PM,,240,77.5,38.37859646556485,77.38379242547373,32.804370639807864,31.814695426124665,0.6639983130069952,0.36243289373625454,38.82593114004807,-0.023447533052393332,-0.11620757452626738,2.343029728206993,59.81420155933307,69.95719732402503,85.91354483745789,0.09166666666666666,0.1625,0.325,0.525,0.475
bbox_expand_10x__bbox_mean__object_depth,leave_one_out,distance_range,,,far,120,130.0,14.719601443879744,78.28625759352454,51.71374240647548,46.70048608427298,0.3903839953090984,0.37786149884527953,53.98521366917614,-12.451092130338164,-51.71374240647548,-46.70048608427298,73.43813531304473,75.9975868022562,85.91354483745789,0.0,0.0,0.0,0.0,1.0
bbox_expand_10x__bbox_mean__object_depth,leave_one_out,distance_range,,,mid,160,85.0,11.180339887498949,77.73169826095982,12.06212036454978,10.267326936564949,0.13628519746787943,0.13811231299745108,14.627544770367361,-0.711720528072812,-7.268301739040173,-7.2271269332545955,22.818043859407403,28.14985481650778,36.56933412969329,0.225,0.475,0.81875,0.30625,0.69375
bbox_expand_10x__bbox_mean__object_depth,leave_one_out,distance_range,,,near,200,40.0,14.142135623730951,76.86234285433422,36.862342854334216,38.11825236158891,1.2174581129766522,0.9749561125487884,39.594160266665654,-6.838487636112028,36.862342854334216,38.11825236158891,56.174496099532206,59.362299986321084,68.25732339833831,0.01,0.015,0.13,1.0,0.0
bbox_expand_10x__bbox_mean__object_depth,leave_one_out,weather__distance_range,clear_sky,,far,60,130.0,14.719601443879744,77.42445966416285,52.57554033583719,46.49221778194912,0.3961590857666733,0.3880122412684657,55.16359094007788,-13.044715840327271,-52.57554033583719,-46.49221778194912,76.06502009425748,80.04944844526078,85.91354483745789,0.0,0.0,0.0,0.0,1.0
bbox_expand_10x__bbox_mean__object_depth,leave_one_out,weather__distance_range,clear_sky,,mid,80,85.0,11.180339887498949,77.18457911067405,13.045488931753406,12.221165205445494,0.1478524167985639,0.15091536505255543,15.718360044922319,-0.976534740014483,-7.815420889325954,-7.264986785521508,25.20114509288675,29.341423715410823,36.56933412969329,0.175,0.45,0.8,0.275,0.725
bbox_expand_10x__bbox_mean__object_depth,leave_one_out,weather__distance_range,clear_sky,,near,100,40.0,14.142135623730951,77.89252494642395,37.892524946423954,38.22505146090633,1.2399925837666632,0.9963373780902799,40.42351981996421,-7.170304773175198,37.892524946423954,38.22505146090633,57.32530186457531,59.77737553104697,68.25732339833831,0.0,0.0,0.09,1.0,0.0
bbox_expand_10x__bbox_mean__object_depth,leave_one_out,weather__distance_range,light_rain,,far,60,130.0,14.719601443879744,79.14805552288625,50.85194447711377,46.71287566932315,0.38460890485152355,0.3762172307921169,52.780534521819334,-11.85746842034906,-50.85194447711377,-46.71287566932315,69.98871766964423,72.01409303445247,73.71328151685829,0.0,0.0,0.0,0.0,1.0
bbox_expand_10x__bbox_mean__object_depth,leave_one_out,weather__distance_range,light_rain,,mid,80,85.0,11.180339887498949,78.27881741124561,11.078751797346152,9.948954611610027,0.12471797813719494,0.1300991758243304,13.448542282210092,-0.44690631613114085,-6.721182588754391,-6.652057201143396,21.16573575159449,23.204641898707425,31.76415192303287,0.275,0.5,0.8375,0.3375,0.6625
bbox_expand_10x__bbox_mean__object_depth,leave_one_out,weather__distance_range,light_rain,,near,100,40.0,14.142135623730951,75.83216076224447,35.83216076224446,36.30898547382489,1.1949236421866412,0.9596293904780384,38.74705278869312,-6.506670499048856,35.83216076224446,36.30898547382489,55.79284976611535,58.198816920910325,64.30553394350979,0.02,0.03,0.17,1.0,0.0
bbox_expand_10x__bbox_mean__object_depth,leave_one_out,time_of_day__distance_range,,10AM,far,60,130.0,14.719601443879744,79.05511006646336,50.94488993353664,46.28415893604274,0.3845084232513101,0.3770718839209655,53.204852106109506,-12.065029019844548,-50.94488993353664,-46.28415893604274,71.53396953915868,74.88476983776944,85.27025429604065,0.0,0.0,0.0,0.0,1.0
bbox_expand_10x__bbox_mean__object_depth,leave_one_out,time_of_day__distance_range,,10AM,mid,80,85.0,11.180339887498949,78.34921300694896,11.972214890247916,10.039531755675675,0.13647796008943133,0.13470761246356822,14.219760156821414,-0.6176126313402062,-6.650786993051041,-6.942099842461069,21.30887816343277,25.714985900714854,29.942025985876313,0.2,0.5,0.8375,0.2875,0.7125
bbox_expand_10x__bbox_mean__object_depth,leave_one_out,time_of_day__distance_range,,10AM,near,100,40.0,14.142135623730951,76.20537377185946,36.205373771859456,35.32783489869071,1.1879499630337098,0.8969066238639614,38.69006395566275,-6.484605244466372,36.205373771859456,35.32783489869071,54.52511977984529,57.20775348239385,68.25732339833831,0.0,0.0,0.12,1.0,0.0
bbox_expand_10x__bbox_mean__object_depth,leave_one_out,time_of_day__distance_range,,8PM,far,60,130.0,14.719601443879744,77.51740512058572,52.482594879414286,46.92753189774096,0.3962595673668866,0.38233692103382555,54.7544546332097,-12.837155240831779,-52.482594879414286,-46.92753189774096,73.92927172684482,77.29780690263678,85.91354483745789,0.0,0.0,0.0,0.0,1.0
bbox_expand_10x__bbox_mean__object_depth,leave_one_out,time_of_day__distance_range,,8PM,mid,80,85.0,11.180339887498949,77.1141835149707,12.152025838851642,10.58875626830519,0.13609243484632755,0.13858931763289864,15.024265476244663,-0.8058284248054179,-7.885816485029304,-7.45635788338069,22.818043859407407,28.741536158636094,36.56933412969329,0.25,0.45,0.8,0.325,0.675
