model_name,model_family,term,importance_type,importance_value
top_3_ols,ols,intercept,coefficient,122.02779790427657
top_3_ols,ols,bbox_only__bbox_midpoint__object_depth,coefficient,-19.737817653645322
top_3_ols,ols,bbox_expand_1_5x__bbox_midpoint__object_minus_ring,coefficient,-9.557621847037955
top_3_ols,ols,bbox_expand_1_5x__bbox_midpoint__object_depth,coefficient,6.006583630978116
top_3_ridge_alpha_1,ridge,intercept,coefficient,122.06200504556097
top_3_ridge_alpha_1,ridge,bbox_only__bbox_midpoint__object_depth,coefficient,-19.661539110858904
top_3_ridge_alpha_1,ridge,bbox_expand_1_5x__bbox_midpoint__object_minus_ring,coefficient,-9.538165963270137
top_3_ridge_alpha_1,ridge,bbox_expand_1_5x__bbox_midpoint__object_depth,coefficient,5.911759956233885
top_3_ridge_alpha_10,ridge,intercept,coefficient,122.34476183916038
top_3_ridge_alpha_10,ridge,bbox_only__bbox_midpoint__object_depth,coefficient,-19.017000029524198
top_3_ridge_alpha_10,ridge,bbox_expand_1_5x__bbox_midpoint__object_minus_ring,coefficient,-9.372638048754014
top_3_ridge_alpha_10,ridge,bbox_expand_1_5x__bbox_midpoint__object_depth,coefficient,5.112535072745234
top_5_ols,ols,intercept,coefficient,124.79434744304007
top_5_ols,ols,bbox_only__bbox_midpoint__object_depth,coefficient,-16.695941145719182
top_5_ols,ols,bbox_expand_1_5x__bbox_midpoint__object_minus_ring,coefficient,-12.404175373326105
top_5_ols,ols,bbox_expand_1_5x__bbox_midpoint__object_depth,coefficient,3.348855641117783
top_5_ols,ols,bbox_expand_2x__bbox_midpoint__object_minus_ring,coefficient,5.437515643088001
top_5_ols,ols,bbox_only__bbox_midpoint__object_depth_percentile_5_95,coefficient,-8.578157394624457
top_5_ridge_alpha_1,ridge,intercept,coefficient,124.89017131887519
top_5_ridge_alpha_1,ridge,bbox_only__bbox_midpoint__object_depth,coefficient,-16.62611702835546
top_5_ridge_alpha_1,ridge,bbox_expand_1_5x__bbox_midpoint__object_minus_ring,coefficient,-12.277735900731825
top_5_ridge_alpha_1,ridge,bbox_expand_1_5x__bbox_midpoint__object_depth,coefficient,3.259176372160543
top_5_ridge_alpha_1,ridge,bbox_expand_2x__bbox_midpoint__object_minus_ring,coefficient,5.341670009443608
top_5_ridge_alpha_1,ridge,bbox_only__bbox_midpoint__object_depth_percentile_5_95,coefficient,-8.680133162429836
top_5_ridge_alpha_10,ridge,intercept,coefficient,125.61904480907114
top_5_ridge_alpha_10,ridge,bbox_only__bbox_midpoint__object_depth,coefficient,-16.03796544369161
top_5_ridge_alpha_10,ridge,bbox_expand_1_5x__bbox_midpoint__object_minus_ring,coefficient,-11.278105251957237
top_5_ridge_alpha_10,ridge,bbox_expand_1_5x__bbox_midpoint__object_depth,coefficient,2.5281723754932504
top_5_ridge_alpha_10,ridge,bbox_expand_2x__bbox_midpoint__object_minus_ring,coefficient,4.577833268334031
top_5_ridge_alpha_10,ridge,bbox_only__bbox_midpoint__object_depth_percentile_5_95,coefficient,-9.494688240580981
top_8_ols,ols,intercept,coefficient,125.1572775072094
top_8_ols,ols,bbox_only__bbox_midpoint__object_depth,coefficient,-16.47625144659804
top_8_ols,ols,bbox_expand_1_5x__bbox_midpoint__object_minus_ring,coefficient,-14.584973081309146
top_8_ols,ols,bbox_expand_1_5x__bbox_midpoint__object_depth,coefficient,5.259824128243906
top_8_ols,ols,bbox_expand_2x__bbox_midpoint__object_minus_ring,coefficient,6.652310606032663
top_8_ols,ols,bbox_only__bbox_midpoint__object_depth_percentile_5_95,coefficient,-11.224164999486721
top_8_ols,ols,bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,coefficient,4.045113321855869
top_8_ols,ols,bbox_expand_2x__bbox_midpoint__object_depth,coefficient,-1.8473044368502762
top_8_ols,ols,bbox_expand_1_5x__inner50_median__object_minus_ring,coefficient,-0.26582437338118825
top_8_ridge_alpha_1,ridge,intercept,coefficient,125.3233176113209
top_8_ridge_alpha_1,ridge,bbox_only__bbox_midpoint__object_depth,coefficient,-16.43847287207387
top_8_ridge_alpha_1,ridge,bbox_expand_1_5x__bbox_midpoint__object_minus_ring,coefficient,-14.225593768516621
top_8_ridge_alpha_1,ridge,bbox_expand_1_5x__bbox_midpoint__object_depth,coefficient,5.011348755321722
top_8_ridge_alpha_1,ridge,bbox_expand_2x__bbox_midpoint__object_minus_ring,coefficient,6.455252263629816
top_8_ridge_alpha_1,ridge,bbox_only__bbox_midpoint__object_depth_percentile_5_95,coefficient,-11.231613424938569
top_8_ridge_alpha_1,ridge,bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,coefficient,3.8990701395016423
top_8_ridge_alpha_1,ridge,bbox_expand_2x__bbox_midpoint__object_depth,coefficient,-1.7080668420452776
top_8_ridge_alpha_1,ridge,bbox_expand_1_5x__inner50_median__object_minus_ring,coefficient,-0.3659414054385743
top_8_ridge_alpha_10,ridge,intercept,coefficient,126.3835169703186
top_8_ridge_alpha_10,ridge,bbox_only__bbox_midpoint__object_depth,coefficient,-16.06448480637573
top_8_ridge_alpha_10,ridge,bbox_expand_1_5x__bbox_midpoint__object_minus_ring,coefficient,-11.776939258211515
top_8_ridge_alpha_10,ridge,bbox_expand_1_5x__bbox_midpoint__object_depth,coefficient,3.279077958805911
top_8_ridge_alpha_10,ridge,bbox_expand_2x__bbox_midpoint__object_minus_ring,coefficient,5.096859557188297
top_8_ridge_alpha_10,ridge,bbox_only__bbox_midpoint__object_depth_percentile_5_95,coefficient,-11.32688022283989
top_8_ridge_alpha_10,ridge,bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,coefficient,2.876148730022645
top_8_ridge_alpha_10,ridge,bbox_expand_2x__bbox_midpoint__object_depth,coefficient,-0.795121511049417
top_8_ridge_alpha_10,ridge,bbox_expand_1_5x__inner50_median__object_minus_ring,coefficient,-1.033635439739311
top_12_ols,ols,intercept,coefficient,123.06965407648244
top_12_ols,ols,bbox_only__bbox_midpoint__object_depth,coefficient,-15.9443651616396
top_12_ols,ols,bbox_expand_1_5x__bbox_midpoint__object_minus_ring,coefficient,-22.458521651889274
top_12_ols,ols,bbox_expand_1_5x__bbox_midpoint__object_depth,coefficient,3.900495963055375
top_12_ols,ols,bbox_expand_2x__bbox_midpoint__object_minus_ring,coefficient,4.083735559102049
top_12_ols,ols,bbox_only__bbox_midpoint__object_depth_percentile_5_95,coefficient,24.196069138682184
top_12_ols,ols,bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,coefficient,8.694862777286588
top_12_ols,ols,bbox_expand_2x__bbox_midpoint__object_depth,coefficient,-0.7799367125465436
top_12_ols,ols,bbox_expand_1_5x__inner50_median__object_minus_ring,coefficient,8.013279594796913
top_12_ols,ols,bbox_expand_1_5x__inner50_median__object_minus_ring_normalized,coefficient,13.451872934940845
top_12_ols,ols,bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,coefficient,-71.29506301957696
top_12_ols,ols,bbox_expand_1_5x__bbox_mean__object_minus_ring,coefficient,25.137209796394036
top_12_ols,ols,bbox_only__inner50_median__object_depth_percentile_5_95,coefficient,-48.54083663051762
top_12_ridge_alpha_1,ridge,intercept,coefficient,123.44222313994513
top_12_ridge_alpha_1,ridge,bbox_only__bbox_midpoint__object_depth,coefficient,-15.936745560704255
top_12_ridge_alpha_1,ridge,bbox_expand_1_5x__bbox_midpoint__object_minus_ring,coefficient,-21.76150100021945
top_12_ridge_alpha_1,ridge,bbox_expand_1_5x__bbox_midpoint__object_depth,coefficient,3.596879006785034
top_12_ridge_alpha_1,ridge,bbox_expand_2x__bbox_midpoint__object_minus_ring,coefficient,3.848852686861153
top_12_ridge_alpha_1,ridge,bbox_only__bbox_midpoint__object_depth_percentile_5_95,coefficient,23.718323711534595
top_12_ridge_alpha_1,ridge,bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,coefficient,8.386245233346473
top_12_ridge_alpha_1,ridge,bbox_expand_2x__bbox_midpoint__object_depth,coefficient,-0.6311315806528109
top_12_ridge_alpha_1,ridge,bbox_expand_1_5x__inner50_median__object_minus_ring,coefficient,7.828081594890622
top_12_ridge_alpha_1,ridge,bbox_expand_1_5x__inner50_median__object_minus_ring_normalized,coefficient,13.247994908689051
top_12_ridge_alpha_1,ridge,bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,coefficient,-70.01046423146384
top_12_ridge_alpha_1,ridge,bbox_expand_1_5x__bbox_mean__object_minus_ring,coefficient,24.348232102501026
top_12_ridge_alpha_1,ridge,bbox_only__inner50_median__object_depth_percentile_5_95,coefficient,-47.99007523246773
top_12_ridge_alpha_10,ridge,intercept,coefficient,125.8596089185433
top_12_ridge_alpha_10,ridge,bbox_only__bbox_midpoint__object_depth,coefficient,-15.758932713418812
top_12_ridge_alpha_10,ridge,bbox_expand_1_5x__bbox_midpoint__object_minus_ring,coefficient,-17.157446665010454
top_12_ridge_alpha_10,ridge,bbox_expand_1_5x__bbox_midpoint__object_depth,coefficient,1.6231616919505358
top_12_ridge_alpha_10,ridge,bbox_expand_2x__bbox_midpoint__object_minus_ring,coefficient,2.375680773857531
top_12_ridge_alpha_10,ridge,bbox_only__bbox_midpoint__object_depth_percentile_5_95,coefficient,20.002447364850834
top_12_ridge_alpha_10,ridge,bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,coefficient,6.455448185456127
top_12_ridge_alpha_10,ridge,bbox_expand_2x__bbox_midpoint__object_depth,coefficient,0.23140557043170853
top_12_ridge_alpha_10,ridge,bbox_expand_1_5x__inner50_median__object_minus_ring,coefficient,6.637119516796979
