method_id,count,pearson_correlation,spearman_correlation,cv_mae,cv_median_absolute_error,cv_mean_relative_error,cv_median_relative_error,cv_rmse,cv_r2,cv_mean_signed_error,cv_median_signed_error,cv_p90_absolute_error,cv_p95_absolute_error,cv_max_absolute_error,cv_within_5m_rate,cv_within_10m_rate,cv_within_20m_rate,cv_overprediction_rate,cv_underprediction_rate,rank,context_window,aggregation_method,score_field
bbox_only__bbox_midpoint__object_depth,1440,-0.5867966414048676,-0.593082293311492,25.038083469905885,21.3611797912922,0.46725209468213713,0.27854200061072765,31.086830362377462,0.3438929412305064,-0.0050106420493951495,0.38808893573349934,52.32062677242995,60.59848415234705,92.45331398458487,0.13055555555555556,0.24166666666666667,0.46944444444444444,0.5090277777777777,0.4909722222222222,1,bbox_only,bbox_midpoint,object_depth
bbox_expand_1_5x__bbox_midpoint__object_minus_ring,1440,-0.565355056059902,-0.5593412679093281,25.820917750376054,22.262235499554073,0.490508936185799,0.2891448234547633,31.65834287423743,0.3195469260247039,0.0012335066478095136,1.113197574577832,53.417556866867564,59.72585459259665,90.05011319241706,0.11180555555555556,0.2326388888888889,0.4486111111111111,0.5138888888888888,0.4861111111111111,2,bbox_expand_1_5x,bbox_midpoint,object_minus_ring
bbox_expand_1_5x__bbox_midpoint__object_depth,1440,-0.5262786497436451,-0.5137009866480556,26.404858321349238,22.67689789919949,0.5020627306647145,0.2888446103397835,32.646095720247324,0.27642371771956953,0.0014442802208173412,0.8933064997061209,55.21087130844821,63.03185129613208,104.15481576930185,0.125,0.24513888888888888,0.44583333333333336,0.5097222222222222,0.49027777777777776,3,bbox_expand_1_5x,bbox_midpoint,object_depth
bbox_expand_2x__bbox_midpoint__object_minus_ring,1440,-0.4975825027811661,-0.4827522749687314,27.442318692138258,24.195597641255688,0.5279349959901093,0.29795945849157135,33.29596372578216,0.2473293122974135,-0.0017788480213817416,1.36170823706097,56.14391650358891,61.622621444220776,93.83826745441554,0.10555555555555556,0.21388888888888888,0.40069444444444446,0.5131944444444444,0.48680555555555555,4,bbox_expand_2x,bbox_midpoint,object_minus_ring
bbox_only__bbox_midpoint__object_depth_percentile_5_95,1440,-0.4938748397014077,-0.5091708991516947,27.516470351432044,24.391914434151865,0.5394893745460078,0.295847910354494,33.399255899006555,0.24265213378852113,0.006269599025613894,1.2270942130156541,53.32726796049752,64.31112146370215,90.89411706451479,0.09583333333333334,0.19166666666666668,0.40694444444444444,0.5326388888888889,0.4673611111111111,5,bbox_only,bbox_midpoint,object_depth_percentile_5_95
bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,1440,-0.4894458087259507,-0.49054631374612867,27.585388921315037,24.91833646088417,0.5410112253981806,0.306628878286964,33.48574056946583,0.23872487367316308,-0.0068453263817420725,2.645457366831671,53.471428138710635,61.720130971699994,111.54255988064669,0.1,0.20972222222222223,0.41180555555555554,0.5173611111111112,0.4826388888888889,6,bbox_expand_1_5x,bbox_midpoint,object_minus_ring_normalized
bbox_expand_2x__bbox_midpoint__object_depth,1440,-0.460697763875912,-0.43532699077555465,27.82896280420206,24.70813013385817,0.5309614536924615,0.3112523499055505,34.080483033810566,0.211442609006269,0.004790462510643718,1.0599190065451367,56.54281222514671,65.90242258273717,88.18141217822745,0.12083333333333333,0.22152777777777777,0.4222222222222222,0.5138888888888888,0.4861111111111111,7,bbox_expand_2x,bbox_midpoint,object_depth
bbox_expand_1_5x__inner50_median__object_minus_ring,1440,-0.48158080677627996,-0.4980536196661374,27.87477108508445,24.85887437469467,0.5511957857464916,0.3055361186336768,33.64312060294915,0.23155220555275935,0.0020325232617021054,1.0473480211804116,55.9382834101918,62.480456014127896,95.2633638560318,0.09027777777777778,0.2048611111111111,0.4222222222222222,0.5090277777777777,0.4909722222222222,8,bbox_expand_1_5x,inner50_median,object_minus_ring
bbox_expand_1_5x__inner50_median__object_minus_ring_normalized,1440,-0.47970082710042306,-0.4642397684079679,27.91079997359398,25.478739735019523,0.5526131129361286,0.3149260673171297,33.690936277333215,0.2293663226636533,0.0034725839980663093,0.8921394322812439,53.654593510707194,62.20763734339433,96.65893842607522,0.10486111111111111,0.2076388888888889,0.40625,0.5083333333333333,0.49166666666666664,9,bbox_expand_1_5x,inner50_median,object_minus_ring_normalized
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,1440,-0.48397343200478543,-0.4754262022777532,27.933197129918256,26.112954720196925,0.5506346094048356,0.3125035062964803,33.59677083292772,0.23366811175088265,-0.0032788304367538028,2.7705186752905178,52.97500833889256,60.31216459686445,92.43507562248095,0.08819444444444445,0.2076388888888889,0.3958333333333333,0.5236111111111111,0.47638888888888886,10,bbox_expand_1_5x,bbox_mean,object_minus_ring_normalized
