true_distance_m,1x,1.5x,2x,4x,6x,8x,10x,16x,full
20,1.912009,2.016365,2.101036,2.311930,2.409832,2.611155,2.719061,2.777700,2.320716
30,1.917815,1.973655,2.051295,2.150313,2.249585,2.357688,2.429456,2.678327,2.188249
40,1.975275,1.973285,1.974368,2.087822,2.231204,2.201521,2.232385,2.437480,2.065192
50,2.047209,1.969548,1.964315,2.025388,2.023033,2.106994,2.116985,2.241788,1.814745
60,2.049851,1.991292,1.937239,1.907197,1.988553,2.070231,2.165354,2.212035,1.970967
70,2.095657,1.996676,1.950688,1.956528,1.995762,2.068595,2.084677,2.249519,1.701618
80,2.074078,2.027889,2.002756,2.030840,2.077200,2.025938,2.037949,2.154121,1.867898
90,2.138215,2.066438,2.021027,2.006704,2.132377,2.156537,2.220349,2.374586,2.135222
100,2.117255,2.001076,1.911463,1.903359,1.970661,2.015899,2.096337,2.296188,1.960400
115,2.109193,1.934027,1.886822,1.880530,1.970798,2.054640,2.035934,2.113391,1.749951
125,2.151196,2.069699,2.015980,2.015820,2.090270,2.182246,2.218817,2.349334,1.831311
150,2.151868,2.037760,2.010173,1.977196,1.965734,1.980941,2.012505,2.171345,1.926351
