feature_name,pearson_correlation,count
bbox_area_ratio,-0.576668539492425,13864
bbox_aspect_ratio,-0.014795700955060168,13864
bbox_center_x_norm,-0.009523385081704349,13864
bbox_center_y_norm,-0.04389518572323372,13864
bbox_expand_1_5x__bbox_mean__object_depth,0.0017169509908716725,13864
bbox_expand_1_5x__bbox_midpoint__object_depth,-0.5005764468774961,13864
bbox_expand_1_5x__inner50_median__object_depth,-0.3752729341500406,13864
bbox_expand_2x__bbox_mean__object_depth,-0.03247310180767141,13864
bbox_expand_2x__bbox_midpoint__object_depth,-0.4345005580740427,13864
bbox_expand_2x__inner50_median__object_depth,-0.3206377272198277,13864
bbox_expand_4x__bbox_mean__object_depth,-0.0681601736314039,13864
bbox_expand_4x__bbox_midpoint__object_depth,-0.3257942738955235,13864
bbox_expand_4x__inner50_median__object_depth,-0.25186833496762284,13864
bbox_height_norm,-0.6729849977921049,13864
bbox_height_px,-0.6718686180940067,13864
bbox_only__bbox_mean__object_depth,0.0915726775616907,13864
bbox_only__bbox_midpoint__object_depth,-0.5731836640256005,13864
bbox_only__inner50_median__object_depth,-0.4675676712481493,13864
bbox_width_norm,-0.7759085861216323,13864
bbox_width_px,-0.7772033824792943,13864
full_image__bbox_mean__object_depth,0.0002471935541541653,13864
full_image__bbox_midpoint__object_depth,-0.024616587417535415,13864
full_image__inner50_median__object_depth,-0.015517603947101881,13864
relative_depth,0.00343202812051713,13864
