image_path,label_path,stratum_key,true_distance_m,weather,time_of_day,num_jitter_boxes,bbox_width_px__jitter_median,bbox_width_px__jitter_std,bbox_height_px__jitter_median,bbox_height_px__jitter_std,bbox_width_norm__jitter_median,bbox_width_norm__jitter_std,bbox_height_norm__jitter_median,bbox_height_norm__jitter_std,bbox_area_ratio__jitter_median,bbox_area_ratio__jitter_std,bbox_aspect_ratio__jitter_median,bbox_aspect_ratio__jitter_std,bbox_center_x_norm__jitter_median,bbox_center_x_norm__jitter_std,bbox_center_y_norm__jitter_median,bbox_center_y_norm__jitter_std,bbox_expand_4x__bbox_midpoint__object_depth__jitter_median,bbox_expand_4x__bbox_midpoint__object_depth__jitter_std,bbox_expand_4x__bbox_mean__object_depth__jitter_median,bbox_expand_4x__bbox_mean__object_depth__jitter_std,bbox_expand_4x__inner50_median__object_depth__jitter_median,bbox_expand_4x__inner50_median__object_depth__jitter_std,bbox_expand_2x__bbox_midpoint__object_depth__jitter_median,bbox_expand_2x__bbox_midpoint__object_depth__jitter_std,bbox_expand_2x__bbox_mean__object_depth__jitter_median,bbox_expand_2x__bbox_mean__object_depth__jitter_std,bbox_expand_2x__inner50_median__object_depth__jitter_median,bbox_expand_2x__inner50_median__object_depth__jitter_std,bbox_expand_1_5x__bbox_midpoint__object_depth__jitter_median,bbox_expand_1_5x__bbox_midpoint__object_depth__jitter_std,bbox_expand_1_5x__bbox_mean__object_depth__jitter_median,bbox_expand_1_5x__bbox_mean__object_depth__jitter_std,bbox_expand_1_5x__inner50_median__object_depth__jitter_median,bbox_expand_1_5x__inner50_median__object_depth__jitter_std,bbox_only__bbox_midpoint__object_depth__jitter_median,bbox_only__bbox_midpoint__object_depth__jitter_std,bbox_only__bbox_mean__object_depth__jitter_median,bbox_only__bbox_mean__object_depth__jitter_std,bbox_only__inner50_median__object_depth__jitter_median,bbox_only__inner50_median__object_depth__jitter_std
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00277_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00277_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,121.0,5.34522484,27.0,1.06904497,0.0428167,0.00189145,0.01698113,0.00067236,0.00072708,6.094e-05,4.48148148,0.02068404,0.61447275,0.00189145,0.78584906,0.00067236,2.04611635,0.05141322,1.98694205,0.0511496,2.02547169,0.06243119,2.00243139,0.01853392,2.01809406,0.01810774,2.00084448,0.01821279,1.83157861,0.01693733,1.80590832,0.01634107,1.82907176,0.01720498,2.27459836,0.0131328,2.09254408,0.01483571,2.23551798,0.00335791
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00278_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00278_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,119.0,5.34522484,23.0,1.06904497,0.04210899,0.00189145,0.01446541,0.00067236,0.00060912,5.571e-05,5.17391304,0.00816707,0.50548478,0.00189145,0.72106918,0.00067236,1.84012592,0.01362851,1.53661954,0.01391325,1.77846789,0.00693114,1.80927491,0.0145381,1.82409811,0.01051403,1.80902517,0.01386799,1.80503845,0.00534251,1.79791474,0.01272717,1.80016243,0.0050491,2.00513721,0.01355984,2.033988,0.00373519,2.00475049,0.01317305
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00279_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00279_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,129.0,5.34522484,114.0,5.34522484,0.04564756,0.00189145,0.07169811,0.00336178,0.00327284,0.00028924,1.13157895,0.00623437,0.27476999,0.00189145,0.56163522,0.0030256,6.02992535,0.04575834,2.91454339,0.04606993,2.67099476,0.04847173,6.11222887,0.13400791,2.25671077,0.06450807,1.98171139,0.0504803,5.41458607,0.15263352,1.9163897,0.06675621,1.71173346,0.05443433,5.00501871,0.06399666,1.44454718,0.03660778,1.19592106,0.03485317
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00280_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00280_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,191.0,8.55235974,45.0,2.13808994,0.06758669,0.00302631,0.02830189,0.00134471,0.00191283,0.00017665,4.24444444,0.0117398,0.90215853,0.00283717,0.42358491,0.00134471,2.34065986,0.03067951,2.25299788,0.03397161,2.32423902,0.03481383,2.51550508,0.05441652,2.47357845,0.06303165,2.48892212,0.06302539,2.2105732,0.05271448,2.22731614,0.0508335,2.206141,0.05238574,2.33231878,0.05469334,2.23936439,0.05287247,2.3026526,0.05581991
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,120.0,5.34522484,112.0,4.27617987,0.04246285,0.00189145,0.07044025,0.00268942,0.00299109,0.00024757,1.07142857,0.00686533,0.3970276,0.00189145,0.28490566,0.0030256,5.42591047,0.07249282,2.10009146,0.03181062,1.78442049,0.02396742,4.45368958,0.10340249,1.64689362,0.04084704,1.38865638,0.03883792,4.32952833,0.12487657,1.17477548,0.03644548,0.8570441,0.03632202,4.51906395,0.04679533,1.33715558,0.0269048,1.13100672,0.04232369
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00282_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00282_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,117.0,5.34522484,42.0,2.13808994,0.04140127,0.00189145,0.02641509,0.00134471,0.00109362,0.00010571,2.78571429,0.01472543,0.71815287,0.0017023,0.23522013,0.00100853,2.12989545,0.008148,1.78677714,0.02673894,2.12380385,0.00277276,2.36587691,0.01265885,1.97756624,0.03340154,2.34274578,0.00544523,3.10724258,0.03571978,1.74659932,0.06541657,2.9507556,0.0253592,3.11520934,0.01148332,2.26034045,0.02305288,2.85156846,0.02940266
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00283_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00283_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,93.0,4.27617987,67.0,3.2071349,0.0329087,0.00151316,0.04213836,0.00201707,0.00138672,0.00013023,1.3880597,0.00264836,0.5391012,0.00132401,0.66006289,0.00168089,5.76877022,0.02703081,3.36830831,0.07060206,5.57417011,0.11342194,6.67311525,0.09658235,3.10027361,0.10556152,6.1405611,0.14537311,5.7855444,0.07209744,2.3202343,0.10270436,5.41854143,0.08801499,5.26519489,0.03580249,1.7250607,0.06014274,4.66336775,0.04237618
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00284_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00284_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,132.0,5.34522484,100.0,4.27617987,0.04670913,0.00189145,0.06289308,0.00268942,0.00293768,0.00024471,1.32,0.00301948,0.25053079,0.00208059,0.47924528,0.00268942,4.60092878,0.03528404,3.01686525,0.04885472,3.11601686,0.32340883,5.51653481,0.10739076,1.99897969,0.05778505,1.83389163,0.99843261,5.66245365,0.11799637,2.01965785,0.06472806,1.81782484,0.93524911,5.04149866,0.05667182,1.75873756,0.04944034,3.33923101,0.63913842
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00285_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00285_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,89.0,4.27617987,90.0,4.27617987,0.03149328,0.00151316,0.05660377,0.00268942,0.00178264,0.00017047,0.98888889,0.00053363,0.47292994,0.00132401,0.64213836,0.00235324,4.07965231,0.07935206,3.03837848,0.03993083,3.09105778,0.17922194,4.74104643,0.08241732,2.44753242,0.06052256,2.44791341,0.5613755,4.40150213,0.13481926,1.76134133,0.04360646,1.80748677,0.57313863,4.4277854,0.05106193,2.00413704,0.04008217,2.62922573,0.22840997
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00286_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00286_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,103.0,4.27617987,102.0,4.27617987,0.03644728,0.00151316,0.06415094,0.00268942,0.00233813,0.0001952,1.00980392,0.00041446,0.32607926,0.00151316,0.76918239,0.00268942,5.38484859,0.05338558,3.61085343,0.06144908,4.04294014,0.44514594,5.95576143,0.14957534,2.38211656,0.07051334,3.61865187,1.22595758,5.87527847,0.22879737,2.53071022,0.08970595,4.02336311,0.88430084,5.70577002,0.07688535,2.35803866,0.06844995,3.70470405,0.18779409
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00287_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00287_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,120.0,5.34522484,34.0,1.06904497,0.04246285,0.00189145,0.02138365,0.00067236,0.00090801,6.903e-05,3.52941176,0.04645683,0.66029724,0.00189145,0.24591195,0.00100853,2.45531964,0.02917202,2.3370378,0.06433971,2.42675853,0.03930269,1.8050108,0.04433831,1.8378526,0.06456046,1.80019104,0.05084552,2.29885054,0.04840573,2.01877475,0.0525092,2.17499495,0.04399795,2.63295436,0.02111094,2.61698818,0.01408611,2.61883616,0.0148882
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00288_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00288_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,107.0,4.27617987,90.0,4.27617987,0.0378627,0.00151316,0.05660377,0.00268942,0.00214317,0.00018759,1.18888889,0.00907167,0.48708422,0.0017023,0.21949686,0.00235324,6.03984642,0.07107804,3.13314843,0.05504643,3.78839755,0.96323599,5.60916424,0.11169938,2.26594901,0.06305779,3.28214979,1.19496596,5.44670105,0.19670786,2.24927235,0.06813839,2.16745663,0.76011808,5.88687992,0.09689124,2.35037351,0.06334905,2.82161283,0.3420205
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00289_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00289_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,126.0,5.34522484,35.0,1.06904497,0.04458599,0.00189145,0.02201258,0.00067236,0.00098145,7.164e-05,3.6,0.04295189,0.39773531,0.00189145,0.84056604,0.00100853,1.61782706,0.03986638,1.5074116,0.0441465,1.59116471,0.06547348,2.30631661,0.01791242,2.30981278,0.01809627,2.30352378,0.01787381,2.35300136,0.02346664,2.38631845,0.01892034,2.35200906,0.02141624,2.59065747,0.0180331,2.58248901,0.02214934,2.58753228,0.01789648
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00290_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00290_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,126.0,5.34522484,102.0,4.27617987,0.04458599,0.00189145,0.06415094,0.00268942,0.00286023,0.00024138,1.23529412,0.0006217,0.29830149,0.00189145,0.42767296,0.00268942,5.42351055,0.03578009,2.86467218,0.04431141,2.72403288,0.30847354,5.81249619,0.11888015,1.99718106,0.0553732,1.73033857,0.78622202,5.42870426,0.13204675,1.65071619,0.05300215,1.41295147,0.78548925,5.07634449,0.0701278,1.73152077,0.02998174,1.83064234,0.67182167
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00291_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00291_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,121.0,5.34522484,76.0,3.2071349,0.0428167,0.00189145,0.04779874,0.00201707,0.00204658,0.00017688,1.59210526,0.0031732,0.62685775,0.00189145,0.40503145,0.00201707,5.40769148,0.01866886,3.0263288,0.05857402,3.65666485,0.76109097,5.9356966,0.05306272,2.71223998,0.08127968,4.77281332,1.05151436,5.56332159,0.07232206,2.28585458,0.0859883,4.59861135,1.1185238,5.3845911,0.03491908,1.76788664,0.04879647,4.56950998,0.12807688
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00292_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00292_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,105.0,4.27617987,76.0,3.2071349,0.03715499,0.00151316,0.04779874,0.00201707,0.00177596,0.00014735,1.38157895,0.00205325,0.62862703,0.00151316,0.36981132,0.00201707,5.02602148,0.04735555,2.23770308,0.04885353,4.47699833,0.76737184,4.84655952,0.08967463,1.86476409,0.05360672,3.71477509,0.51047533,4.63261652,0.07766054,1.94165146,0.052796,3.34939671,0.73770693,4.33436823,0.04052836,2.09369135,0.03938807,3.08465815,0.12719532
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00293_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00293_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,84.0,3.2071349,59.0,2.13808994,0.02972399,0.00113487,0.03710692,0.00134471,0.00110297,8.212e-05,1.42372881,0.00278129,0.4547063,0.00132401,0.41226415,0.00168089,6.43637562,0.0419072,3.5998261,0.08295546,6.11082888,0.05255096,6.29220057,0.09558323,3.06916499,0.10649381,5.71881056,0.10235055,5.63186312,0.12336307,2.43285871,0.11699057,4.85150623,0.17038552,4.85614491,0.09736771,1.94498515,0.07311232,4.03165388,0.06223433
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00294_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00294_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,116.0,5.34522484,104.0,4.27617987,0.04104742,0.00189145,0.06540881,0.00268942,0.00268486,0.00023425,1.11538462,0.0055797,0.33262562,0.0017023,0.72767296,0.00268942,3.90622687,0.04789811,2.92928028,0.03296494,2.94934201,0.03016586,3.81298447,0.10414721,1.89309847,0.0385418,1.83304191,0.16049568,4.57420731,0.14214775,1.70395207,0.04353572,1.48702323,0.10618195,4.4898982,0.05852053,1.83515894,0.03217369,1.86254263,0.0858713
