model_name,model_label,weather,time_of_day,count,mae,mean_relative_error,median_relative_error,mean_signed_error,rmse
geometry_metadata_rf,Geometry + Metadata RF,clear_sky,10AM,703,5.012994536780177,0.07201672199090045,0.05390439631675269,-0.2009530579624002,7.04899128702819
geometry_metadata_rf,Geometry + Metadata RF,clear_sky,8PM,338,4.318570919301513,0.07376187078358445,0.044117300315425316,0.05128934575420684,6.307602999018617
geometry_metadata_rf,Geometry + Metadata RF,light_rain,10AM,655,6.460807147768286,0.09039741191211839,0.06275835351972284,-0.6125519937049048,9.224549266750664
geometry_metadata_rf,Geometry + Metadata RF,light_rain,8PM,384,5.2620979061869155,0.07137504949221507,0.04814613977987316,0.2782332008646489,7.677291289086377
raw_depth_geometry_metadata_rf,Raw Depth + Geometry + Metadata RF,clear_sky,10AM,703,4.885613565226721,0.0690828209177091,0.0484708333333333,-0.44297698816598613,6.958910719802291
raw_depth_geometry_metadata_rf,Raw Depth + Geometry + Metadata RF,clear_sky,8PM,338,4.382610304786286,0.07279946290427478,0.04314310515873032,-0.14454348650380255,6.296698678888678
raw_depth_geometry_metadata_rf,Raw Depth + Geometry + Metadata RF,light_rain,10AM,655,5.987085283700231,0.08283396507078242,0.05878058269226803,-0.2758265358439697,8.538492593606117
raw_depth_geometry_metadata_rf,Raw Depth + Geometry + Metadata RF,light_rain,8PM,384,5.209349044695847,0.07086735885779712,0.04739092455163897,0.4487761505125187,7.630914721150364
raw_depth_only_rf,Raw Depth Only RF,clear_sky,10AM,703,22.538253506722665,0.4188291370635071,0.25470677513756673,-4.451589233560332,28.28202147783744
raw_depth_only_rf,Raw Depth Only RF,clear_sky,8PM,338,24.77967643549069,0.4891392362283867,0.3057681809957398,-2.1444582543646455,29.729012278316723
raw_depth_only_rf,Raw Depth Only RF,light_rain,10AM,655,22.235960526970786,0.49027910247597994,0.255123132887582,2.584588829536268,27.523950257007066
raw_depth_only_rf,Raw Depth Only RF,light_rain,8PM,384,25.097988503937028,0.5798997367349555,0.28696927097912395,5.731629404740263,29.95397709166345
small_rf_depth_only_rf,Small RF Depth Only RF,clear_sky,10AM,703,19.37348752481872,0.31619429273065675,0.22739988794218327,-8.370994505107626,25.079781754961193
small_rf_depth_only_rf,Small RF Depth Only RF,clear_sky,8PM,338,18.711541975570565,0.3728261933604672,0.21001814815816375,0.10165028108845009,24.110873557326105
small_rf_depth_only_rf,Small RF Depth Only RF,light_rain,10AM,655,17.650674074587805,0.36047482933620645,0.19526956502500503,2.6323322751540585,22.15388273625633
small_rf_depth_only_rf,Small RF Depth Only RF,light_rain,8PM,384,21.178731904033167,0.48652945605850206,0.21412178331838655,10.734414093671683,26.242186899426915
stacked_rf_depth_geometry_metadata_rf,Stacked RF Depth + Geometry + Metadata RF,clear_sky,10AM,703,5.055197395758741,0.07235327365582146,0.0524690386002888,-0.3933021428890686,7.107177046085303
stacked_rf_depth_geometry_metadata_rf,Stacked RF Depth + Geometry + Metadata RF,clear_sky,8PM,338,4.40991598920333,0.07372680492774568,0.045723595848596005,0.04406169221523616,6.355637808091317
stacked_rf_depth_geometry_metadata_rf,Stacked RF Depth + Geometry + Metadata RF,light_rain,10AM,655,6.149238767445343,0.08584966245464223,0.05988386243386253,-0.36623817226077576,8.820660572002332
stacked_rf_depth_geometry_metadata_rf,Stacked RF Depth + Geometry + Metadata RF,light_rain,8PM,384,5.255546500760247,0.07178820097367396,0.048568293830352535,0.38944107172448644,7.630956341794061
