model_name,model_family,term,importance_type,importance_value
study06_small_rf,random_forest,bbox_expand_4x__bbox_midpoint__object_depth,feature_importance,0.07220680035497777
study06_small_rf,random_forest,bbox_expand_4x__bbox_mean__object_depth,feature_importance,0.049918213861714945
study06_small_rf,random_forest,bbox_expand_4x__inner50_median__object_depth,feature_importance,0.046284115236577515
study06_small_rf,random_forest,bbox_expand_2x__bbox_midpoint__object_depth,feature_importance,0.08601672224385691
study06_small_rf,random_forest,bbox_expand_2x__bbox_mean__object_depth,feature_importance,0.05116917599927532
study06_small_rf,random_forest,bbox_expand_2x__inner50_median__object_depth,feature_importance,0.047732880229164255
study06_small_rf,random_forest,bbox_expand_1_5x__bbox_midpoint__object_depth,feature_importance,0.12522244316720282
study06_small_rf,random_forest,bbox_expand_1_5x__bbox_mean__object_depth,feature_importance,0.05687520043470392
study06_small_rf,random_forest,bbox_expand_1_5x__inner50_median__object_depth,feature_importance,0.05917998955922317
study06_small_rf,random_forest,bbox_only__bbox_midpoint__object_depth,feature_importance,0.2148198601872951
study06_small_rf,random_forest,bbox_only__bbox_mean__object_depth,feature_importance,0.07396156374533208
study06_small_rf,random_forest,bbox_only__inner50_median__object_depth,feature_importance,0.11661303498067635
