model_name,candidate_name,num_features,feature_names,oof_mae,oof_mean_relative_error,oof_rmse,oof_r2,oof_mean_signed_error,num_folds,mean_count,mean_mae,mean_median_absolute_error,mean_mean_relative_error,mean_median_relative_error,mean_rmse,mean_r2,mean_mean_signed_error,mean_median_signed_error,mean_p90_absolute_error,mean_p95_absolute_error,mean_max_absolute_error,mean_within_5m_rate,mean_within_10m_rate,mean_within_20m_rate,mean_overprediction_rate,mean_underprediction_rate,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bytree,param_reg_lambda,param_reg_alpha,param_random_state,param_n_jobs,param_tree_method,param_verbosity
raw_depth_only_xgb,xgb_shallow,1,bbox_only__inner50_median__object_depth,27.40821396123987,0.543874529371422,34.04210587925677,0.20223058202698851,-0.018213814774441443,5,10243.2,27.40817259885431,23.576390075683594,0.5438727911042693,0.2901710982210147,34.04179708929122,0.20212434910674756,-0.018427006043630522,0.5008544921875,59.27536605834963,64.6605704498291,101.26372985839843,0.12211176185274505,0.2443194634371526,0.4346317773158986,0.5062647521127139,0.493735247887286,250,0.05,3,4.0,0.8,0.8,1.0,0.0,20260520,1,hist,0
raw_depth_only_xgb,xgb_medium,1,bbox_only__inner50_median__object_depth,27.429950768446332,0.5440763638933926,34.068024569914414,0.20101532170634617,-0.020956954483835447,5,10243.2,27.429909134779127,23.625243759155275,0.5440745999804197,0.2902828769881286,34.06771652942952,0.20090721107463416,-0.021171977247465473,0.492938232421875,59.26759918212891,65.02005447387694,101.35263519287109,0.12213110234681634,0.24291386052662411,0.43779506401336077,0.5050934482896638,0.49490655171033626,300,0.05,4,2.0,0.8,0.8,1.0,0.0,20260520,1,hist,0
raw_depth_only_xgb,xgb_deep,1,bbox_only__inner50_median__object_depth,27.463362592937276,0.5445495323861975,34.109834181682686,0.19905302786993728,-0.01263126936676874,5,10243.2,27.463319843114352,23.61178092956543,0.5445477398363928,0.29047002504136826,34.10950678595826,0.1989442835493279,-0.012844417804035562,0.47321548461914065,59.33351348876954,65.28653327941893,101.51836929321288,0.12265725662496152,0.2419761765620724,0.4370932051127497,0.5072008027290349,0.4927991972709651,350,0.05,6,2.0,0.8,0.8,1.0,0.0,20260520,1,hist,0
raw_depth_only_xgb,xgb_regularized,1,bbox_only__inner50_median__object_depth,27.44180642809953,0.5442196837281263,34.08522593755964,0.2002082834919442,-0.020505181702551563,5,10243.2,27.441764897650852,23.646137237548828,0.5442179149391432,0.29048805188165194,34.084904154724484,0.20010030107587878,-0.02071985742356281,0.5095039367675781,59.3334620666504,65.18199600219725,101.36811447143555,0.12220883040919753,0.24320579961994254,0.4369948311506178,0.5062642481964736,0.4937357518035264,450,0.03,5,3.0,0.85,0.85,2.0,0.1,20260520,1,hist,0
geometry_metadata_xgb,xgb_shallow,12,bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,9.223715561511032,0.12447934215236328,12.395270289891627,0.8942314500537805,-0.0023880629418828046,5,10243.2,9.223691888803705,6.754001045227051,0.1244789284906261,0.10141766286103622,12.394731829225888,0.8942080746489633,-0.0024770065516135976,0.18686294555664062,21.123277587890627,26.062260360717765,57.23084259033203,0.3997582663679321,0.6431603547543435,0.8842361602662085,0.5089406980597238,0.49105930194027625,250,0.05,3,4.0,0.8,0.8,1.0,0.0,20260520,1,hist,0
geometry_metadata_xgb,xgb_medium,12,bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,8.84392712671881,0.11936794222066065,11.911570953661514,0.9023251772745046,0.007069883812818256,5,10243.2,8.843895592878471,6.532870101928711,0.11936750107418592,0.09628564325178632,11.911003255742227,0.902302273101391,0.006973961702516579,0.24423713684082032,20.2267823791504,25.07414588928222,57.7482192993164,0.41260655140081265,0.6563211857604895,0.8968490473983011,0.5129040048256409,0.4870959951743591,300,0.05,4,2.0,0.8,0.8,1.0,0.0,20260520,1,hist,0
geometry_metadata_xgb,xgb_deep,12,bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,8.19292953721213,0.11125579321432151,11.111939299600675,0.914998954348729,-0.012996099845054409,5,10243.2,8.192910571908765,6.091302108764649,0.1112553992125207,0.08735687427612895,11.111400778685262,0.9149816874926927,-0.013110299634120892,0.15344791412353515,18.64008422851564,23.241148910522462,57.20479125976563,0.43439754731429064,0.6856865886879886,0.9177203023289934,0.5102865237010926,0.4897134762989074,350,0.05,6,2.0,0.8,0.8,1.0,0.0,20260520,1,hist,0
geometry_metadata_xgb,xgb_regularized,12,bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,8.580525933467236,0.11579273950894672,11.574997610032126,0.907766993044411,-0.006992566943056916,5,10243.2,8.580500304008563,6.383628082275391,0.11579237549317345,0.09271926561333213,11.574615526565921,0.9077471848228829,-0.007088237864943381,0.2397785186767578,19.48026626586914,24.200457382202146,58.46187286376953,0.41807290265458424,0.66633681032491,0.9072755306251693,0.5135673182972439,0.4864326817027561,450,0.03,5,3.0,0.85,0.85,2.0,0.1,20260520,1,hist,0
raw_depth_geometry_metadata_xgb,xgb_shallow,13,bbox_only__inner50_median__object_depth | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,8.69627155536266,0.1155531704200703,11.803223518778973,0.9040939928206267,0.0008225241552029353,5,10243.2,8.696223711289539,6.243134880065918,0.11555244009123888,0.09537948139130123,11.802552263284648,0.9040677928448864,0.0007405400314082156,0.2767120361328125,20.148344879150393,25.02000549316405,56.56702728271485,0.42929929073036266,0.6668055606648314,0.8976319460828514,0.5147790836525894,0.4852209163474105,250,0.05,3,4.0,0.8,0.8,1.0,0.0,20260520,1,hist,0
raw_depth_geometry_metadata_xgb,xgb_medium,13,bbox_only__inner50_median__object_depth | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,8.330460678317031,0.1100830397565105,11.361855952020703,0.9111324708377199,-0.01848966255667656,5,10243.2,8.330404844396256,5.9819496154785154,0.11008214295930467,0.0902258472442627,11.361189924805915,0.9111082792940547,-0.018575098410270045,0.24598331451416017,19.3583317565918,24.150192413330075,56.99081268310547,0.44208918102773254,0.6824060591856062,0.9091314437167064,0.5131004929982803,0.48689950700171963,300,0.05,4,2.0,0.8,0.8,1.0,0.0,20260520,1,hist,0
