model_name,candidate_name,model_family,term,importance_type,importance_value
raw_depth_only_xgb,xgb_shallow,xgboost,bbox_only__inner50_median__object_depth,feature_importance,1.0
geometry_metadata_xgb,xgb_deep,xgboost,bbox_width_px,feature_importance,0.13934127986431122
geometry_metadata_xgb,xgb_deep,xgboost,bbox_height_px,feature_importance,0.009337339550256729
geometry_metadata_xgb,xgb_deep,xgboost,bbox_width_norm,feature_importance,0.5253366827964783
geometry_metadata_xgb,xgb_deep,xgboost,bbox_height_norm,feature_importance,0.011088804341852665
geometry_metadata_xgb,xgb_deep,xgboost,bbox_area_ratio,feature_importance,0.2496207058429718
geometry_metadata_xgb,xgb_deep,xgboost,bbox_aspect_ratio,feature_importance,0.015973789617419243
geometry_metadata_xgb,xgb_deep,xgboost,bbox_center_x_norm,feature_importance,0.011040877550840378
geometry_metadata_xgb,xgb_deep,xgboost,bbox_center_y_norm,feature_importance,0.004191645886749029
geometry_metadata_xgb,xgb_deep,xgboost,weather=clear_sky,feature_importance,0.006197123788297176
geometry_metadata_xgb,xgb_deep,xgboost,weather=light_rain,feature_importance,0.00728689506649971
geometry_metadata_xgb,xgb_deep,xgboost,time_of_day=10AM,feature_importance,0.010392216965556145
geometry_metadata_xgb,xgb_deep,xgboost,time_of_day=8PM,feature_importance,0.010192571207880974
raw_depth_geometry_metadata_xgb,xgb_deep,xgboost,bbox_only__inner50_median__object_depth,feature_importance,0.013046586886048317
raw_depth_geometry_metadata_xgb,xgb_deep,xgboost,bbox_width_px,feature_importance,0.19105008244514465
raw_depth_geometry_metadata_xgb,xgb_deep,xgboost,bbox_height_px,feature_importance,0.004347517155110836
raw_depth_geometry_metadata_xgb,xgb_deep,xgboost,bbox_width_norm,feature_importance,0.6725046038627625
raw_depth_geometry_metadata_xgb,xgb_deep,xgboost,bbox_height_norm,feature_importance,0.011987258680164814
raw_depth_geometry_metadata_xgb,xgb_deep,xgboost,bbox_area_ratio,feature_importance,0.04352136701345444
raw_depth_geometry_metadata_xgb,xgb_deep,xgboost,bbox_aspect_ratio,feature_importance,0.009323402307927608
raw_depth_geometry_metadata_xgb,xgb_deep,xgboost,bbox_center_x_norm,feature_importance,0.011757058091461658
raw_depth_geometry_metadata_xgb,xgb_deep,xgboost,bbox_center_y_norm,feature_importance,0.004304629284888506
raw_depth_geometry_metadata_xgb,xgb_deep,xgboost,weather=clear_sky,feature_importance,0.009046100080013275
raw_depth_geometry_metadata_xgb,xgb_deep,xgboost,weather=light_rain,feature_importance,0.007828931324183941
raw_depth_geometry_metadata_xgb,xgb_deep,xgboost,time_of_day=10AM,feature_importance,0.009236633777618408
raw_depth_geometry_metadata_xgb,xgb_deep,xgboost,time_of_day=8PM,feature_importance,0.012045792303979397
small_xgb_depth_only_xgb,xgb_shallow,xgboost,depth_lower_model_prediction,feature_importance,1.0
stacked_xgb_depth_geometry_metadata_xgb,xgb_deep,xgboost,depth_lower_model_prediction,feature_importance,0.014501132071018219
stacked_xgb_depth_geometry_metadata_xgb,xgb_deep,xgboost,bbox_width_px,feature_importance,0.18859951198101044
stacked_xgb_depth_geometry_metadata_xgb,xgb_deep,xgboost,bbox_height_px,feature_importance,0.004878196865320206
stacked_xgb_depth_geometry_metadata_xgb,xgb_deep,xgboost,bbox_width_norm,feature_importance,0.6725544333457947
stacked_xgb_depth_geometry_metadata_xgb,xgb_deep,xgboost,bbox_height_norm,feature_importance,0.012011319398880005
stacked_xgb_depth_geometry_metadata_xgb,xgb_deep,xgboost,bbox_area_ratio,feature_importance,0.04183250293135643
stacked_xgb_depth_geometry_metadata_xgb,xgb_deep,xgboost,bbox_aspect_ratio,feature_importance,0.009068919345736504
stacked_xgb_depth_geometry_metadata_xgb,xgb_deep,xgboost,bbox_center_x_norm,feature_importance,0.011279387399554253
stacked_xgb_depth_geometry_metadata_xgb,xgb_deep,xgboost,bbox_center_y_norm,feature_importance,0.0041609397158026695
stacked_xgb_depth_geometry_metadata_xgb,xgb_deep,xgboost,weather=clear_sky,feature_importance,0.009761502966284752
stacked_xgb_depth_geometry_metadata_xgb,xgb_deep,xgboost,weather=light_rain,feature_importance,0.010327622294425964
stacked_xgb_depth_geometry_metadata_xgb,xgb_deep,xgboost,time_of_day=10AM,feature_importance,0.01038829144090414
stacked_xgb_depth_geometry_metadata_xgb,xgb_deep,xgboost,time_of_day=8PM,feature_importance,0.010636123828589916
