dataset,distance_m,feature,count,mean,std,min,p10,p25,median,p75,p90,max
Kongsberg,4.0,bbox_area_ratio,18,0.004480265133333334,0.0008211051402875009,0.0030381944,0.00339130012,0.0038530815999999997,0.0046192612000000004,0.004886429375,0.00533579283,0.0064621914
Kongsberg,9.0,bbox_area_ratio,26,0.0010796719192307691,0.00012099725364321615,0.0009027778,0.0009375,0.00099271795,0.0010604745,0.001151620375,0.0012847222,0.0013165509
Kongsberg,15.0,bbox_area_ratio,16,0.00029399354375,3.2103737678850744e-05,0.0002430556,0.0002587288,0.0002700617,0.00028983415000000004,0.000310812125,0.00033492475,0.0003626543
Kongsberg,20.0,bbox_area_ratio,25,0.0001988233,2.2010826733332852e-05,0.0001446759,0.0001750579,0.0001851852,0.0002006173,0.0002131559,0.00023099922,0.0002319637
Kongsberg,25.0,bbox_area_ratio,16,0.00015145760625,1.7943659692857698e-05,0.0001157407,0.00013261959999999999,0.0001398534,0.000148534,0.000162639825,0.0001765046,0.0001851852
Kongsberg,30.0,bbox_area_ratio,19,0.0001128726,1.2917932339316453e-05,8.24653e-05,9.915124e-05,0.0001051312,0.0001128472,0.0001205633,0.00013069056,0.0001350309
Kongsberg,35.0,bbox_area_ratio,21,8.42794761904762e-05,1.1524112344492338e-05,5.78704e-05,7.33025e-05,7.71605e-05,8.68056e-05,9.11458e-05,9.98264e-05,0.0001060957
Kongsberg,40.0,bbox_area_ratio,21,8.191411904761904e-05,1.1901735472995565e-05,6.55864e-05,6.94444e-05,7.33025e-05,8.10185e-05,9.11458e-05,9.54861e-05,0.0001167052
Kongsberg,45.0,bbox_area_ratio,20,5.5700235e-05,6.429540765037189e-06,3.6169e-05,4.72608e-05,5.3168374999999996e-05,5.73881e-05,6.07639e-05,6.07639e-05,6.41397e-05
Kongsberg,50.0,bbox_area_ratio,21,5.578061904761906e-05,9.960632912316512e-06,3.13465e-05,4.3885e-05,5.06366e-05,5.73881e-05,6.17284e-05,6.41397e-05,7.8125e-05
Original,20.0,bbox_area_ratio,1264,0.0016692573338607597,0.0007914997217651837,0.00035939,0.00077745,0.001131185,0.0015980500000000002,0.00213731,0.0025984040000000003,0.01629311
Original,30.0,bbox_area_ratio,1258,0.0008027590063593006,0.00032327259040358864,0.00017969,0.000377181,0.00055232,0.00079075,0.00103447,0.001242438,0.00195097
Original,40.0,bbox_area_ratio,1208,0.0003756723509933775,0.0001631632784707611,7.632e-05,0.000170511,0.00024811500000000003,0.00036299,0.0004746025,0.000595534,0.0009097
Original,50.0,bbox_area_ratio,1250,0.000215171384,9.703169959433126e-05,4.744e-05,0.00010131,0.00014325,0.00020032,0.00027138,0.0003458840000000001,0.00067758
Original,60.0,bbox_area_ratio,1321,0.00017002548826646478,7.217177097973487e-05,3.623e-05,7.608e-05,0.0001115,0.00016564,0.00022194,0.0002705,0.00039167
Original,70.0,bbox_area_ratio,1254,0.00013611724880382777,5.693183851072108e-05,2.829e-05,6.039e-05,9.237e-05,0.0001311,0.0001764925,0.00021352,0.00033324
Original,80.0,bbox_area_ratio,1282,9.935464898595944e-05,4.441222575993768e-05,2.114e-05,4.492e-05,6.3665e-05,9.332000000000001e-05,0.00013065,0.000163785,0.00023379
Original,90.0,bbox_area_ratio,1237,7.129184316895716e-05,2.981100460351777e-05,1.467e-05,3.301e-05,4.918e-05,6.876e-05,9.076e-05,0.000112158,0.00018611
Original,100.0,bbox_area_ratio,1254,6.668592503987241e-05,3.0361964759359816e-05,1.192e-05,2.938e-05,4.3717499999999996e-05,6.212e-05,8.675999999999999e-05,0.00011002,0.00019473
Original,115.0,bbox_area_ratio,1326,4.539967571644041e-05,2.022851379258573e-05,8.63e-06,2.063e-05,2.912e-05,4.286e-05,5.866e-05,7.426e-05,0.0001087
Original,125.0,bbox_area_ratio,1203,4.2833383208645054e-05,1.82593096019747e-05,6.88e-06,1.925e-05,2.8355000000000002e-05,4.171e-05,5.521e-05,6.953199999999997e-05,9.168e-05
Original,150.0,bbox_area_ratio,1207,2.833342170671085e-05,1.2380836434875248e-05,5.5e-06,1.261e-05,1.8335e-05,2.75e-05,3.667e-05,4.492e-05,7.014e-05
Vestfold,5.0,bbox_area_ratio,6,0.005326806850000001,0.0003650490124666857,0.0047222222,0.004913435549999999,0.00513961225,0.00533106675,0.005557243475,0.0057359182499999994,0.0058680556
Vestfold,10.0,bbox_area_ratio,19,0.005132416552631579,0.0007176955258166825,0.0038869599,0.00427488428,0.00447024495,0.0052922454,0.00569227435,0.00598283178,0.0064814815
Vestfold,15.0,bbox_area_ratio,28,0.001292231589285714,0.00021158982134014003,0.000945216,0.00102893518,0.0011284722,0.0012673610999999999,0.00142023535,0.00155594135,0.0018190586
Vestfold,20.0,bbox_area_ratio,21,0.0006572191047619048,9.08172007792759e-05,0.0004581404,0.0005324074,0.0006028164,0.0006766011,0.0007146991,0.000735436,0.000825135
Vestfold,25.0,bbox_area_ratio,26,0.00037548966923076933,3.951716470691779e-05,0.0002835648,0.00032190395,0.000350597975,0.00037760414999999997,0.00040461035000000003,0.00042365935,0.0004489776
Vestfold,30.0,bbox_area_ratio,16,0.00030586901875,4.600604997072693e-05,0.0002160494,0.00024160879999999998,0.000270544,0.00032093945,0.0003472222,0.00035228585,0.0003747106
Vestfold,35.0,bbox_area_ratio,26,0.00029081716153846155,5.603025535064534e-05,0.0002006173,0.00021701389999999999,0.00025547359999999997,0.0002854938,0.0003298611,0.0003472222,0.0004562114
Vestfold,40.0,bbox_area_ratio,16,0.0002568299125,4.251421803327792e-05,0.0002025463,0.00021291475,0.000222198125,0.00025028935,0.0002787423,0.00030381945000000003,0.0003665123
Vestfold,45.0,bbox_area_ratio,19,0.00018310389473684212,5.045338032199912e-05,0.0001417824,0.00014371144,0.0001494985,0.0001567323,0.00019458909999999998,0.00026716821999999996,0.0003023727
Vestfold,50.0,bbox_area_ratio,21,0.0001599702380952381,3.140350131583717e-05,0.0001167052,0.0001273148,0.0001331019,0.000150463,0.0001818094,0.0002083333,0.0002256944
Vestfold,55.0,bbox_area_ratio,20,0.00015041474499999998,1.8047408605378088e-05,0.0001191165,0.00012673610000000002,0.000139612275,0.0001494985,0.0001687886,0.000173804,0.0001808449
Vestfold,60.0,bbox_area_ratio,13,0.00013120994615384616,1.5736851942231523e-05,0.0001060957,0.00011188269999999999,0.0001167052,0.0001331019,0.0001441937,0.000150463,0.0001567323
Vestfold,65.0,bbox_area_ratio,19,0.0001056641894736842,1.558513214795957e-05,7.37847e-05,8.950616e-05,9.403935000000001e-05,0.0001060957,0.00011212385,0.0001273148,0.0001388889
Vestfold,70.0,bbox_area_ratio,12,5.9357316666666665e-05,7.942444422723746e-06,4.72608e-05,5.097417e-05,5.40123e-05,5.78704e-05,6.17284e-05,6.86728e-05,7.8125e-05
Vestfold,75.0,bbox_area_ratio,24,5.13197625e-05,7.803362365182317e-06,3.18287e-05,4.354746e-05,4.72608e-05,5.039545e-05,5.78704e-05,6.17284e-05,6.55864e-05
