dataset,distance_m,feature,real_count,original_count,real_mean,original_mean,real_minus_original_mean,real_div_original_mean,real_median,original_median
Kongsberg,20.0,bbox_area_ratio,25,1264,0.0001988233,0.0016692573338607597,-0.0014704340338607597,0.11910883718578573,0.0002006173,0.0015980500000000002
Kongsberg,30.0,bbox_area_ratio,19,1258,0.0001128726,0.0008027590063593006,-0.0006898864063593006,0.14060583451053832,0.0001128472,0.00079075
Kongsberg,40.0,bbox_area_ratio,21,1208,8.191411904761904e-05,0.0003756723509933775,-0.0002937582319457585,0.2180467070068275,8.10185e-05,0.00036299
Kongsberg,50.0,bbox_area_ratio,21,1250,5.578061904761906e-05,0.000215171384,-0.00015939076495238093,0.25923809203002135,5.73881e-05,0.00020032
Vestfold,20.0,bbox_area_ratio,21,1264,0.0006572191047619048,0.0016692573338607597,-0.001012038229098855,0.3937194651958476,0.0006766011,0.0015980500000000002
Vestfold,30.0,bbox_area_ratio,16,1258,0.00030586901875,0.0008027590063593006,-0.0004968899876093006,0.381022220027387,0.00032093945,0.00079075
Vestfold,40.0,bbox_area_ratio,16,1208,0.0002568299125,0.0003756723509933775,-0.00011884243849337748,0.6836540187769302,0.00025028935,0.00036299
Vestfold,50.0,bbox_area_ratio,21,1250,0.0001599702380952381,0.000215171384,-5.520114590476188e-05,0.7434549851444843,0.000150463,0.00020032
Vestfold,60.0,bbox_area_ratio,13,1321,0.00013120994615384616,0.00017002548826646478,-3.881554211261862e-05,0.7717075098070784,0.0001331019,0.00016564
Vestfold,70.0,bbox_area_ratio,12,1254,5.9357316666666665e-05,0.00013611724880382777,-7.67599321371611e-05,0.4360749073926145,5.78704e-05,0.0001311
