dataset,dataset_group,distance_m,bbox_width_norm,bbox_area_ratio,bbox_height_norm
Original,Original,20.0,0.0428167,0.00072708,0.01698113
Original,Original,20.0,0.04210899,0.00060912,0.01446541
Original,Original,20.0,0.04564756,0.00327284,0.07169811
Original,Original,20.0,0.06758669,0.00191283,0.02830189
Original,Original,20.0,0.04246285,0.00299109,0.07044025
Original,Original,20.0,0.04140127,0.00109362,0.02641509
Original,Original,20.0,0.0329087,0.00138672,0.04213836
Original,Original,20.0,0.04670913,0.00293768,0.06289308
Original,Original,20.0,0.03149328,0.00178264,0.05660377
Original,Original,20.0,0.03644728,0.00233813,0.06415094
Original,Original,20.0,0.04246285,0.00090801,0.02138365
Original,Original,20.0,0.0378627,0.00214317,0.05660377
Original,Original,20.0,0.04458599,0.00098145,0.02201258
Original,Original,20.0,0.04458599,0.00286023,0.06415094
Original,Original,20.0,0.0428167,0.00204658,0.04779874
Original,Original,20.0,0.03715499,0.00177596,0.04779874
Original,Original,20.0,0.02972399,0.00110297,0.03710692
Original,Original,20.0,0.04104742,0.00268486,0.06540881
Original,Original,20.0,0.03184713,0.00118175,0.03710692
Original,Original,20.0,0.03397028,0.0004273,0.01257862
Original,Original,20.0,0.04140127,0.00223931,0.05408805
Original,Original,20.0,0.06440198,0.00283531,0.04402516
Original,Original,20.0,0.03078556,0.00162641,0.05283019
Original,Original,20.0,0.05166313,0.00220949,0.0427673
Original,Original,20.0,0.0502477,0.00180133,0.03584906
Original,Original,20.0,0.04635527,0.00384836,0.08301887
Original,Original,20.0,0.04423213,0.00194733,0.04402516
Original,Original,20.0,0.03998585,0.00281661,0.07044025
Original,Original,20.0,0.05378627,0.00321365,0.05974843
Original,Original,20.0,0.05130927,0.00090356,0.01761006
Original,Original,20.0,0.04670913,0.00299643,0.06415094
Original,Original,20.0,0.03609342,0.00186142,0.05157233
Original,Original,20.0,0.03432413,0.00047493,0.01383648
Original,Original,20.0,0.03715499,0.00226669,0.06100629
Original,Original,20.0,0.05944798,0.00366409,0.06163522
Original,Original,20.0,0.04210899,0.00058264,0.01383648
Original,Original,20.0,0.04423213,0.00108494,0.0245283
Original,Original,20.0,0.04104742,0.0019362,0.04716981
Original,Original,20.0,0.03715499,0.00226669,0.06100629
Original,Original,20.0,0.05980184,0.0026704,0.04465409
Original,Original,20.0,0.03927813,0.00066699,0.01698113
Original,Original,20.0,0.03220099,0.00214673,0.06666667
Original,Original,20.0,0.02972399,0.00071038,0.02389937
Original,Original,20.0,0.03432413,0.00159748,0.04654088
Original,Original,20.0,0.04706299,0.00189436,0.04025157
Original,Original,20.0,0.0403397,0.00256246,0.06352201
Original,Original,20.0,0.0403397,0.00271468,0.0672956
Original,Original,20.0,0.0329087,0.00066231,0.02012579
Original,Original,20.0,0.03644728,0.00236105,0.06477987
Original,Original,20.0,0.03609342,0.00118041,0.0327044
Original,Original,20.0,0.04210899,0.00153605,0.03647799
Original,Original,20.0,0.04175513,0.00233724,0.05597484
Original,Original,20.0,0.0353857,0.00189169,0.05345912
Original,Original,20.0,0.05414013,0.00289428,0.05345912
Original,Original,20.0,0.04210899,0.00076803,0.01823899
Original,Original,20.0,0.03432413,0.00179176,0.05220126
Original,Original,20.0,0.04175513,0.00259985,0.06226415
Original,Original,20.0,0.05874027,0.00155163,0.02641509
Original,Original,20.0,0.03750885,0.00134466,0.03584906
Original,Original,20.0,0.04069356,0.00230341,0.05660377
