dataset,distance_m,feature,count,mean,std,min,p10,p25,median,p75,p90,max
Kongsberg,4.0,bbox_width_norm,18,0.0889467592611111,0.008553859357784988,0.0729166667,0.07765625,0.084895833325,0.08802083335,0.092057291675,0.10125000001000001,0.1067708333
Kongsberg,9.0,bbox_width_norm,26,0.04122596153076923,0.0025543811012945753,0.0369791667,0.03802083335,0.0395833333,0.04088541665,0.0427083333,0.044010416649999995,0.0473958333
Kongsberg,15.0,bbox_width_norm,16,0.021289062493750004,0.002074157864703288,0.0182291667,0.01875,0.0192708333,0.0208333333,0.022656249975,0.0244791667,0.0244791667
Kongsberg,20.0,bbox_width_norm,25,0.017250000004,0.0012614062818272847,0.0151041667,0.015625,0.0166666667,0.0171875,0.0182291667,0.01906249998,0.0192708333
Kongsberg,25.0,bbox_width_norm,16,0.0150065104125,0.0009781887529975416,0.0125,0.0140625,0.0145833333,0.0151041667,0.015625,0.0161458333,0.0166666667
Kongsberg,30.0,bbox_width_norm,19,0.012445175436842107,0.0011322300648219988,0.0098958333,0.01124999998,0.0119791667,0.0125,0.0130208333,0.01364583336,0.0145833333
Kongsberg,35.0,bbox_width_norm,21,0.010317460319047619,0.0010615542992026272,0.0078125,0.0083333333,0.0098958333,0.0104166667,0.0109375,0.0114583333,0.0119791667
Kongsberg,40.0,bbox_width_norm,21,0.010292658723809526,0.0008180765049829787,0.0088541667,0.009375,0.009375,0.0104166667,0.0109375,0.0114583333,0.0114583333
Kongsberg,45.0,bbox_width_norm,20,0.008593750005,0.0007812499950000002,0.0072916667,0.00776041667,0.0078125,0.0088541667,0.009375,0.009375,0.0098958333
Kongsberg,50.0,bbox_width_norm,21,0.0085813492,0.0011091607008178418,0.0067708333,0.0072916667,0.0078125,0.0083333333,0.009375,0.0098958333,0.0104166667
Original,20.0,bbox_width_norm,1264,0.03887385360759493,0.007324412726437275,0.02004373,0.03134111,0.03432413,0.03862974,0.04227405,0.04664723,0.16254545
Original,30.0,bbox_width_norm,1258,0.027151564960254372,0.004154314394719635,0.01676385,0.02186589,0.02441691,0.02696793,0.02945455,0.03206997,0.04774052
Original,40.0,bbox_width_norm,1208,0.01870509994205298,0.0033890311324433777,0.01056851,0.01457726,0.01639942,0.01840057,0.02077259,0.02295918,0.03467799
Original,50.0,bbox_width_norm,1250,0.014398019792,0.0031030092866430096,0.00765306,0.01089325,0.01239067,0.01413428,0.01603499,0.01858601,0.02720848
