dataset,distance_m,feature,real_count,original_count,real_mean,original_mean,real_minus_original_mean,real_div_original_mean,real_median,original_median
Kongsberg,20.0,bbox_width_norm,25,1264,0.017250000004,0.03887385360759493,-0.021623853603594933,0.4437429892628345,0.0171875,0.03862974
Kongsberg,30.0,bbox_width_norm,19,1258,0.012445175436842107,0.027151564960254372,-0.014706389523412265,0.45835941519613654,0.0125,0.02696793
Kongsberg,40.0,bbox_width_norm,21,1208,0.010292658723809526,0.01870509994205298,-0.008412441218243454,0.5502594883585452,0.0104166667,0.01840057
Kongsberg,50.0,bbox_width_norm,21,1250,0.0085813492,0.014398019792,-0.005816670592000001,0.5960089876225946,0.0083333333,0.01413428
Vestfold,20.0,bbox_width_norm,21,1264,0.0294890873,0.03887385360759493,-0.009384766307594931,0.758584101223209,0.0302083333,0.03862974
Vestfold,30.0,bbox_width_norm,16,1258,0.0185546875,0.027151564960254372,-0.008596877460254372,0.6833745136665658,0.01875,0.02696793
Vestfold,40.0,bbox_width_norm,16,1208,0.01673177083125,0.01870509994205298,-0.0019733291108029807,0.8945031506425408,0.0166666667,0.01840057
Vestfold,50.0,bbox_width_norm,21,1250,0.012648809523809524,0.014398019792,-0.001749210268190476,0.878510358128387,0.0125,0.01413428
Vestfold,60.0,bbox_width_norm,13,1321,0.012019230776923075,0.012680543671461013,-0.0006613128945379375,0.9478482223103496,0.0119791667,0.01270879
Vestfold,70.0,bbox_width_norm,12,1254,0.007986111108333334,0.011575892320574164,-0.0035897812122408293,0.6898916202027373,0.0078125,0.01130742
