distance_m,is_multiple_of_10,is_exact_training_distance,nearest_training_distance_m,nearest_training_distance_gap_m,is_below_min_training_distance,count,mae,median_absolute_error,mean_relative_error,median_relative_error,mean_signed_error,median_signed_error,within_5m_rate,within_10m_rate,within_20m_rate
4.0,False,False,20.0,16.0,True,18,15.880142480662515,15.878696607801652,3.970035620165629,3.969674151950413,15.880142480662515,15.878696607801652,0.0,0.0,1.0
5.0,False,False,20.0,15.0,True,6,17.007832908234775,16.84638793640137,3.401566581646955,3.3692775872802736,17.007832908234775,16.84638793640137,0.0,0.0,1.0
9.0,False,False,20.0,11.0,True,26,13.960119295652309,13.857030184742761,1.5511243661835898,1.5396700205269735,13.960119295652309,13.857030184742761,0.0,0.0,1.0
10.0,True,False,20.0,10.0,True,19,10.183585682687147,10.06764616563585,1.0183585682687146,1.006764616563585,10.183585682687147,10.06764616563585,0.0,0.3157894736842105,1.0
15.0,False,False,20.0,5.0,True,44,15.11847199044112,11.275158379755574,1.0078981326960748,0.7516772253170383,15.11847199044112,11.275158379755574,0.0,0.25,0.6818181818181818
20.0,True,True,20.0,0.0,False,46,20.211780711095326,21.896926606837894,1.0105890355547664,1.0948463303418947,20.211780711095326,21.896926606837894,0.0,0.0,0.45652173913043476
25.0,False,False,20.0,5.0,False,42,22.067252970565303,17.33187312082765,0.8826901188226121,0.693274924833106,22.067252970565303,17.33187312082765,0.0,0.047619047619047616,0.6190476190476191
30.0,True,True,30.0,0.0,False,35,29.14814898651788,30.328598050716565,0.9716049662172629,1.0109532683572189,29.14814898651788,30.328598050716565,0.0,0.0,0.2857142857142857
35.0,False,False,30.0,5.0,False,47,30.50373531070036,21.212195173120236,0.8715352945914389,0.6060627192320067,30.50373531070036,21.212195173120236,0.02127659574468085,0.14893617021276595,0.46808510638297873
40.0,True,True,40.0,0.0,False,37,33.346151036908886,36.14496712976742,0.8336537759227223,0.9036241782441856,33.346151036908886,36.14496712976742,0.0,0.08108108108108109,0.32432432432432434
45.0,False,False,40.0,5.0,False,39,42.58361547587322,48.824389019301165,0.9463025661305162,1.084986422651137,42.58361547587322,48.824389019301165,0.0,0.05128205128205128,0.10256410256410256
50.0,True,True,50.0,0.0,False,42,36.60799483148602,31.593691037055947,0.7321598966297205,0.631873820741119,36.60799483148602,31.593691037055947,0.0,0.0,0.16666666666666666
55.0,False,False,50.0,5.0,False,20,20.765239065365044,22.2335933217511,0.3775498011884554,0.40424715130456546,20.765239065365044,22.2335933217511,0.0,0.05,0.45
60.0,True,True,60.0,0.0,False,13,13.577545916790392,14.062446973259071,0.22629243194650653,0.23437411622098453,13.577545916790392,14.062446973259071,0.0,0.23076923076923078,0.9230769230769231
65.0,False,False,60.0,5.0,False,19,24.71726412352881,28.99168266201123,0.3802656019004431,0.44602588710786506,24.71726412352881,28.99168266201123,0.0,0.10526315789473684,0.3157894736842105
70.0,True,True,70.0,0.0,False,12,38.05891592809815,39.788263819122065,0.5436987989728308,0.5684037688446009,38.05891592809815,39.788263819122065,0.0,0.0,0.0
75.0,False,False,70.0,5.0,False,24,37.35310192664089,36.721283929963505,0.49804135902187846,0.4896171190661801,37.35310192664089,36.721283929963505,0.0,0.0,0.0
