variant_name,feature_bucket,blend_weighted_importance
baseline_full_geometry,geometry,0.9485802073686691
baseline_full_geometry,metadata,0.02520500802900654
baseline_full_geometry,relative_depth,0.026214764001468962
raw_depth_only,metadata,0.30152574023193746
raw_depth_only,relative_depth,0.698474276457363
reduced_geometry,geometry,0.85292496508804
reduced_geometry,metadata,0.056401141302492616
reduced_geometry,relative_depth,0.0906739170787964
scale_lognormal_full_geometry,geometry,0.8803612087906424
scale_lognormal_full_geometry,metadata,0.04887649168895018
scale_lognormal_full_geometry,relative_depth,0.07076230786505791
scale_lognormal_reduced_geometry,geometry,0.7534151855938233
scale_lognormal_reduced_geometry,metadata,0.1093648278727274
scale_lognormal_reduced_geometry,relative_depth,0.13721998549036823
scale_uniform_040_140_full_geometry,geometry,0.8620060155456475
scale_uniform_040_140_full_geometry,metadata,0.05639311449559589
scale_uniform_040_140_full_geometry,relative_depth,0.0816009012511951
scale_uniform_040_140_reduced_geometry,geometry,0.7374199802100655
scale_uniform_040_140_reduced_geometry,metadata,0.11310639803539149
scale_uniform_040_140_reduced_geometry,relative_depth,0.14947358316053533
scale_uniform_060_140_full_geometry,geometry,0.9038675654290571
scale_uniform_060_140_full_geometry,metadata,0.042651658248542265
scale_uniform_060_140_full_geometry,relative_depth,0.053480838907277714
