feature_name,pearson_correlation,count
bbox_area_ratio,-0.6073923428014188,60256
bbox_aspect_ratio,0.011455563126831589,60256
bbox_center_x_norm,-0.006833552727347735,60256
bbox_center_y_norm,-0.04902384734565169,60256
bbox_expand_1_5x__bbox_mean__object_depth,-0.0008199670438849618,60256
bbox_expand_1_5x__bbox_midpoint__object_depth,-0.5237520316887417,60256
bbox_expand_1_5x__inner50_median__object_depth,-0.3485347743720096,60256
bbox_expand_2x__bbox_mean__object_depth,-0.0426662824793434,60256
bbox_expand_2x__bbox_midpoint__object_depth,-0.46622707650424305,60256
bbox_expand_2x__inner50_median__object_depth,-0.3098579129790951,60256
bbox_expand_4x__bbox_mean__object_depth,-0.08897533255708218,60256
bbox_expand_4x__bbox_midpoint__object_depth,-0.363510037759094,60256
bbox_expand_4x__inner50_median__object_depth,-0.262749334718578,60256
bbox_height_norm,-0.6895827317249013,60256
bbox_height_px,-0.6892520471290932,60256
bbox_only__bbox_mean__object_depth,0.11892469658421576,60256
bbox_only__bbox_midpoint__object_depth,-0.5954674754640725,60256
bbox_only__inner50_median__object_depth,-0.4285119222755216,60256
bbox_width_norm,-0.7919064362857937,60256
bbox_width_px,-0.7930268699223375,60256
