model_label,true_distance_m,count,mae,mean_relative_error
Scale only,20.0,188,40.852012763456,2.042600638173
Scale only,30.0,179,34.363599031159,1.145453301039
Scale only,40.0,177,35.875980609878,0.896899515247
Scale only,50.0,159,35.901405941637,0.718028118833
Scale only,60.0,210,31.844984632452,0.530749743874
Scale only,70.0,196,37.083595475985,0.529765649657
Scale only,80.0,185,40.357327845245,0.504466598066
Scale only,90.0,187,40.504653807887,0.450051708977
Scale only,100.0,178,48.563098899248,0.485630988992
Scale only,115.0,198,63.139309143968,0.549037470817
Scale only,125.0,184,72.707299305272,0.581658394442
Scale only,150.0,179,92.66057901429,0.617737193429
Depth linear,20.0,188,57.881538388538,2.894076919427
Depth linear,30.0,179,47.641618273162,1.588053942439
Depth linear,40.0,177,37.949058204466,0.948726455112
Depth linear,50.0,159,27.534226459482,0.55068452919
Depth linear,60.0,210,17.414139463475,0.290235657725
Depth linear,70.0,196,7.487478450042,0.106963977858
Depth linear,80.0,185,2.431355878436,0.03039194848
Depth linear,90.0,187,11.874225480007,0.131935838667
Depth linear,100.0,178,22.118522364321,0.221185223643
Depth linear,115.0,198,37.410360236048,0.325307480313
Depth linear,125.0,184,47.392000451217,0.37913600361
Depth linear,150.0,179,72.193974502522,0.48129316335
Linear + BB,20.0,188,19.945846419395,0.99729232097
Linear + BB,30.0,179,20.987973300391,0.699599110013
Linear + BB,40.0,177,9.813413633765,0.245335340844
Linear + BB,50.0,159,15.216317812772,0.304326356255
Linear + BB,60.0,210,14.047102733186,0.234118378886
Linear + BB,70.0,196,10.534899362202,0.150498562317
Linear + BB,80.0,185,10.559266306952,0.131990828837
Linear + BB,90.0,187,8.783762280467,0.097597358672
Linear + BB,100.0,178,7.452568437822,0.074525684378
Linear + BB,115.0,198,7.798755708627,0.067815267032
Linear + BB,125.0,184,16.656753433777,0.13325402747
Linear + BB,150.0,179,33.470580147648,0.223137200984
Improved linear,20.0,105,13.335435714083,0.666771785704
Improved linear,30.0,115,11.291844509093,0.37639481697
Improved linear,40.0,191,10.587237528726,0.264680938218
Improved linear,50.0,179,13.414695038037,0.268293900761
Improved linear,60.0,183,14.04372121067,0.234062020178
Improved linear,70.0,200,11.060192704631,0.158002752923
Improved linear,80.0,179,10.135292535946,0.126691156699
Improved linear,90.0,179,9.090698520457,0.101007761338
Improved linear,100.0,188,7.311290946398,0.073112909464
Improved linear,115.0,193,7.179417001682,0.062429713058
Improved linear,125.0,178,13.463928411301,0.10771142729
Improved linear,150.0,190,29.492336885734,0.196615579238
RF,20.0,708,1.288678191063,0.064433909553
RF,30.0,772,2.41376951303,0.080458983768
RF,40.0,744,4.533754267104,0.113343856678
RF,50.0,744,6.602476766502,0.13204953533
RF,60.0,812,6.09501557319,0.101583592886
RF,70.0,756,7.156555856869,0.102236512241
RF,80.0,748,9.25843615485,0.115730451936
RF,90.0,760,9.425317176631,0.104725746407
RF,100.0,752,10.376802618785,0.103768026188
RF,115.0,748,9.649025173889,0.083904566729
RF,125.0,740,10.078997802923,0.080631982423
RF,150.0,756,15.517839414961,0.103452262766
Noisy-bbox RF,20.0,180,0.888705691171,0.044435284559
Noisy-bbox RF,30.0,199,1.883391818098,0.06277972727
Noisy-bbox RF,40.0,188,2.948853772319,0.073721344308
Noisy-bbox RF,50.0,185,5.850851376902,0.117017027538
Noisy-bbox RF,60.0,210,4.949402971223,0.08249004952
Noisy-bbox RF,70.0,177,5.6461164153,0.080658805933
Noisy-bbox RF,80.0,181,8.318094143186,0.10397617679
Noisy-bbox RF,90.0,190,6.564731574495,0.072941461939
Noisy-bbox RF,100.0,181,7.846868202649,0.078468682026
Noisy-bbox RF,115.0,196,3.853598178578,0.033509549379
Noisy-bbox RF,125.0,193,8.803553611438,0.070428428892
RF+XGB ensemble,20.0,708,1.448873739989,0.072443686999
RF+XGB ensemble,30.0,772,2.478355904923,0.082611863497
RF+XGB ensemble,40.0,744,4.641274127658,0.116031853191
RF+XGB ensemble,50.0,744,6.491793984276,0.129835879686
RF+XGB ensemble,60.0,812,6.023425942962,0.100390432383
RF+XGB ensemble,70.0,756,7.068245810818,0.100974940155
RF+XGB ensemble,80.0,748,9.134405406615,0.114180067583
RF+XGB ensemble,90.0,760,9.317342037364,0.103526022637
RF+XGB ensemble,100.0,752,9.958713177156,0.099587131772
RF+XGB ensemble,115.0,748,9.754576443927,0.08482240386
RF+XGB ensemble,125.0,740,9.830662105015,0.07864529684
RF+XGB ensemble,150.0,756,15.30040639904,0.102002709327
