sample_id,drone_type,distance_m,true_distance_m,image_path,label_path,weather,time_of_day,bbox_width_px__jitter_median,bbox_width_px__jitter_std,bbox_height_px__jitter_median,bbox_height_px__jitter_std,bbox_width_norm__jitter_median,bbox_width_norm__jitter_std,bbox_height_norm__jitter_median,bbox_height_norm__jitter_std,bbox_area_ratio__jitter_median,bbox_area_ratio__jitter_std,bbox_aspect_ratio__jitter_median,bbox_aspect_ratio__jitter_std,bbox_center_x_norm__jitter_median,bbox_center_x_norm__jitter_std,bbox_center_y_norm__jitter_median,bbox_center_y_norm__jitter_std,bbox_only__inner50_median__object_depth__jitter_median,weather=clear_sky,weather=light_rain,time_of_day=10AM,time_of_day=8PM
Kongsberg::IMG_0033_JPG.rf.36b9b4f4d4e258808482b33e99f9bae9.jpg,Kongsberg,4.0,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0033_JPG.rf.36b9b4f4d4e258808482b33e99f9bae9.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0033_JPG.rf.36b9b4f4d4e258808482b33e99f9bae9.txt,unknown,unknown,166.0,7.48331477,53.0,2.13808994,0.08645833,0.00389756,0.04907407,0.00197971,0.00424286,0.00036264,3.13207547,0.01495792,0.39322917,0.00361916,0.30694444,0.00197971,1.61767602,0.0,0.0,0.0,0.0
Kongsberg::IMG_0034_JPG.rf.010c059c1711023a83313856c8edfafe.jpg,Kongsberg,4.0,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0034_JPG.rf.010c059c1711023a83313856c8edfafe.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0034_JPG.rf.010c059c1711023a83313856c8edfafe.txt,unknown,unknown,200.0,8.55235974,67.0,3.2071349,0.10416667,0.00445435,0.06203704,0.00296957,0.00646219,0.00058604,2.98507463,0.01540861,0.38020833,0.00445435,0.27916667,0.00247464,1.75833797,0.0,0.0,0.0,0.0
Kongsberg::IMG_0035_JPG.rf.4e05d0752bcc24d21560103c6d3fd792.jpg,Kongsberg,4.0,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0035_JPG.rf.4e05d0752bcc24d21560103c6d3fd792.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0035_JPG.rf.4e05d0752bcc24d21560103c6d3fd792.txt,unknown,unknown,177.0,7.48331477,62.0,2.13808994,0.0921875,0.00389756,0.05740741,0.00197971,0.00529225,0.00040644,2.85483871,0.02237477,0.40286458,0.00389756,0.27685185,0.00247464,3.1118207,0.0,0.0,0.0,0.0
Kongsberg::IMG_0036_JPG.rf.e3e8d34316575b5ccbab20535a19a2a3.jpg,Kongsberg,4.0,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0036_JPG.rf.e3e8d34316575b5ccbab20535a19a2a3.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0036_JPG.rf.e3e8d34316575b5ccbab20535a19a2a3.txt,unknown,unknown,170.0,7.48331477,60.0,2.13808994,0.08854167,0.00389756,0.05555556,0.00197971,0.00491898,0.00039201,2.83333333,0.02390046,0.4140625,0.00389756,0.28518519,0.00247464,2.04871273,0.0,0.0,0.0,0.0
Kongsberg::IMG_0037_JPG.rf.8b2903bda4198baa826e80dbf2ea63ca.jpg,Kongsberg,4.0,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0037_JPG.rf.8b2903bda4198baa826e80dbf2ea63ca.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0037_JPG.rf.8b2903bda4198baa826e80dbf2ea63ca.txt,unknown,unknown,173.0,7.48331477,57.0,2.13808994,0.09010417,0.00389756,0.05277778,0.00197971,0.0047555,0.00038428,3.03508772,0.01755612,0.40703125,0.00389756,0.29027778,0.00247464,1.8166666,0.0,0.0,0.0,0.0
Kongsberg::IMG_0038_JPG.rf.19efc51c9cf6d065a4cfdd143394ae6d.jpg,Kongsberg,4.0,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0038_JPG.rf.19efc51c9cf6d065a4cfdd143394ae6d.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0038_JPG.rf.19efc51c9cf6d065a4cfdd143394ae6d.txt,unknown,unknown,166.0,7.48331477,56.0,2.13808994,0.08645833,0.00389756,0.05185185,0.00197971,0.00448302,0.00037346,2.96428571,0.02059598,0.40364583,0.00361916,0.2962963,0.00197971,1.62145782,0.0,0.0,0.0,0.0
Kongsberg::IMG_0039_JPG.rf.b9a8b7aa0f1324071b8e50c727735bd8.jpg,Kongsberg,4.0,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0039_JPG.rf.b9a8b7aa0f1324071b8e50c727735bd8.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0039_JPG.rf.b9a8b7aa0f1324071b8e50c727735bd8.txt,unknown,unknown,205.0,8.55235974,55.0,2.13808994,0.10677083,0.00445435,0.05092593,0.00197971,0.0054374,0.00043844,3.72727273,0.01067859,0.40130208,0.00445435,0.31898148,0.00197971,1.17901301,0.0,0.0,0.0,0.0
Kongsberg::IMG_0040_JPG.rf.c8e820cb03d9ff213ed7776f8eed2edc.jpg,Kongsberg,4.0,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0040_JPG.rf.c8e820cb03d9ff213ed7776f8eed2edc.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0040_JPG.rf.c8e820cb03d9ff213ed7776f8eed2edc.txt,unknown,unknown,168.0,7.48331477,60.0,2.13808994,0.0875,0.00389756,0.05555556,0.00197971,0.00486111,0.00038995,2.8,0.02509548,0.38333333,0.00361916,0.31296296,0.00247464,1.8098321,0.0,0.0,0.0,0.0
Kongsberg::IMG_0041_JPG.rf.e7d605394f23f1d66309b0dd75382ac1.jpg,Kongsberg,4.0,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0041_JPG.rf.e7d605394f23f1d66309b0dd75382ac1.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0041_JPG.rf.e7d605394f23f1d66309b0dd75382ac1.txt,unknown,unknown,175.0,7.48331477,58.0,2.13808994,0.09114583,0.00389756,0.0537037,0.00197971,0.00489487,0.00038995,3.01724138,0.01791163,0.37786458,0.00389756,0.31574074,0.00247464,1.28486061,0.0,0.0,0.0,0.0
Kongsberg::IMG_0042_JPG.rf.e72a73da615bcbe2e46b1ddf0ae5fd42.jpg,Kongsberg,4.0,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0042_JPG.rf.e72a73da615bcbe2e46b1ddf0ae5fd42.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0042_JPG.rf.e72a73da615bcbe2e46b1ddf0ae5fd42.txt,unknown,unknown,162.0,6.41426981,53.0,2.13808994,0.084375,0.00334077,0.04907407,0.00197971,0.00414063,0.00033115,3.05660377,0.00230122,0.39114583,0.00361916,0.3162037,0.00197971,1.32803535,0.0,0.0,0.0,0.0
