image_path,label_path,stratum_key,true_distance_m,weather,time_of_day,num_jitter_boxes,bbox_width_px__jitter_median,bbox_width_px__jitter_std,bbox_height_px__jitter_median,bbox_height_px__jitter_std,bbox_width_norm__jitter_median,bbox_width_norm__jitter_std,bbox_height_norm__jitter_median,bbox_height_norm__jitter_std,bbox_area_ratio__jitter_median,bbox_area_ratio__jitter_std,bbox_aspect_ratio__jitter_median,bbox_aspect_ratio__jitter_std,bbox_center_x_norm__jitter_median,bbox_center_x_norm__jitter_std,bbox_center_y_norm__jitter_median,bbox_center_y_norm__jitter_std,bbox_expand_4x__bbox_midpoint__object_depth__jitter_median,bbox_expand_4x__bbox_midpoint__object_depth__jitter_std,bbox_expand_4x__bbox_mean__object_depth__jitter_median,bbox_expand_4x__bbox_mean__object_depth__jitter_std,bbox_expand_4x__inner50_median__object_depth__jitter_median,bbox_expand_4x__inner50_median__object_depth__jitter_std,bbox_expand_2x__bbox_midpoint__object_depth__jitter_median,bbox_expand_2x__bbox_midpoint__object_depth__jitter_std,bbox_expand_2x__bbox_mean__object_depth__jitter_median,bbox_expand_2x__bbox_mean__object_depth__jitter_std,bbox_expand_2x__inner50_median__object_depth__jitter_median,bbox_expand_2x__inner50_median__object_depth__jitter_std,bbox_expand_1_5x__bbox_midpoint__object_depth__jitter_median,bbox_expand_1_5x__bbox_midpoint__object_depth__jitter_std,bbox_expand_1_5x__bbox_mean__object_depth__jitter_median,bbox_expand_1_5x__bbox_mean__object_depth__jitter_std,bbox_expand_1_5x__inner50_median__object_depth__jitter_median,bbox_expand_1_5x__inner50_median__object_depth__jitter_std,bbox_only__bbox_midpoint__object_depth__jitter_median,bbox_only__bbox_midpoint__object_depth__jitter_std,bbox_only__bbox_mean__object_depth__jitter_median,bbox_only__bbox_mean__object_depth__jitter_std,bbox_only__inner50_median__object_depth__jitter_median,bbox_only__inner50_median__object_depth__jitter_std,sample_id,drone_type,distance_m,source_group_id,weather=clear_sky,weather=light_rain,time_of_day=10AM,time_of_day=8PM
C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0033_JPG.rf.36b9b4f4d4e258808482b33e99f9bae9.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0033_JPG.rf.36b9b4f4d4e258808482b33e99f9bae9.txt,4.0|unknown|unknown,4.0,unknown,unknown,7,166.0,7.48331477,53.0,2.13808994,0.08645833,0.00389756,0.04907407,0.00197971,0.00424286,0.00036264,3.13207547,0.01495792,0.39322917,0.00361916,0.30694444,0.00197971,0.44373134,0.01790314,0.2264467,0.01561695,0.39112777,0.00826691,0.82049453,0.02592342,0.58123803,0.01294828,0.68176162,0.0091861,1.32875156,0.06363318,0.73215669,0.02046895,1.01492476,0.04908108,2.07723784,0.05212363,1.11668348,0.02417147,1.68766832,0.05854885,Kongsberg::IMG_0033_JPG.rf.36b9b4f4d4e258808482b33e99f9bae9.jpg,Kongsberg,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0033_JPG.rf.36b9b4f4d4e258808482b33e99f9bae9.jpg,0.0,0.0,0.0,0.0
C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0034_JPG.rf.010c059c1711023a83313856c8edfafe.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0034_JPG.rf.010c059c1711023a83313856c8edfafe.txt,4.0|unknown|unknown,4.0,unknown,unknown,7,200.0,8.55235974,67.0,3.2071349,0.10416667,0.00445435,0.06203704,0.00296957,0.00646219,0.00058604,2.98507463,0.01540861,0.38020833,0.00445435,0.27916667,0.00247464,1.55263174,0.01166293,0.31861001,0.02813122,1.47369266,0.11482681,1.94985974,0.06641179,0.45720732,0.03095065,1.53029132,0.26555412,2.30009389,0.05919258,0.92937201,0.033008,1.8692708,0.26065352,1.91868353,0.012292,1.63349116,0.01127174,1.7723515,0.01480296,Kongsberg::IMG_0034_JPG.rf.010c059c1711023a83313856c8edfafe.jpg,Kongsberg,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0034_JPG.rf.010c059c1711023a83313856c8edfafe.jpg,0.0,0.0,0.0,0.0
C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0035_JPG.rf.4e05d0752bcc24d21560103c6d3fd792.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0035_JPG.rf.4e05d0752bcc24d21560103c6d3fd792.txt,4.0|unknown|unknown,4.0,unknown,unknown,7,177.0,7.48331477,62.0,2.13808994,0.0921875,0.00389756,0.05740741,0.00197971,0.00529225,0.00040644,2.85483871,0.02237477,0.40286458,0.00389756,0.27685185,0.00247464,2.15476489,0.02089053,0.48266917,0.03635039,2.12776184,0.01630674,1.89894974,0.02290882,0.50841326,0.03305501,1.80899334,0.02467941,2.46821713,0.02701437,0.74406016,0.04035512,2.25774765,0.03653272,3.33454537,0.02200068,1.4691844,0.02927769,2.9085896,0.024644,Kongsberg::IMG_0035_JPG.rf.4e05d0752bcc24d21560103c6d3fd792.jpg,Kongsberg,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0035_JPG.rf.4e05d0752bcc24d21560103c6d3fd792.jpg,0.0,0.0,0.0,0.0
C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0036_JPG.rf.e3e8d34316575b5ccbab20535a19a2a3.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0036_JPG.rf.e3e8d34316575b5ccbab20535a19a2a3.txt,4.0|unknown|unknown,4.0,unknown,unknown,7,170.0,7.48331477,60.0,2.13808994,0.08854167,0.00389756,0.05555556,0.00197971,0.00491898,0.00039201,2.83333333,0.02390046,0.4140625,0.00389756,0.28518519,0.00247464,2.13416672,0.02124917,0.55879766,0.04361927,2.11404657,0.0123791,1.95866525,0.02214523,0.61924607,0.03763176,1.94013095,0.01021426,0.91441309,0.02721494,0.57075691,0.01176948,0.86314666,0.02264103,2.618016,0.03080538,1.13807857,0.02663386,2.38800097,0.02562049,Kongsberg::IMG_0036_JPG.rf.e3e8d34316575b5ccbab20535a19a2a3.jpg,Kongsberg,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0036_JPG.rf.e3e8d34316575b5ccbab20535a19a2a3.jpg,0.0,0.0,0.0,0.0
C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0037_JPG.rf.8b2903bda4198baa826e80dbf2ea63ca.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0037_JPG.rf.8b2903bda4198baa826e80dbf2ea63ca.txt,4.0|unknown|unknown,4.0,unknown,unknown,7,173.0,7.48331477,57.0,2.13808994,0.09010417,0.00389756,0.05277778,0.00197971,0.0047555,0.00038428,3.03508772,0.01755612,0.40703125,0.00389756,0.29027778,0.00247464,0.92839497,0.02798768,0.33513689,0.02199621,0.91306776,0.01787144,1.79850435,0.06521144,0.5858196,0.03682885,1.72131598,0.03071366,0.85993665,0.0586165,0.56325024,0.0188824,0.77531654,0.03675466,2.11625743,0.04076447,0.980681,0.02739014,1.9674207,0.02756969,Kongsberg::IMG_0037_JPG.rf.8b2903bda4198baa826e80dbf2ea63ca.jpg,Kongsberg,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0037_JPG.rf.8b2903bda4198baa826e80dbf2ea63ca.jpg,0.0,0.0,0.0,0.0
C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0038_JPG.rf.19efc51c9cf6d065a4cfdd143394ae6d.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0038_JPG.rf.19efc51c9cf6d065a4cfdd143394ae6d.txt,4.0|unknown|unknown,4.0,unknown,unknown,7,166.0,7.48331477,56.0,2.13808994,0.08645833,0.00389756,0.05185185,0.00197971,0.00448302,0.00037346,2.96428571,0.02059598,0.40364583,0.00361916,0.2962963,0.00197971,1.41315341,0.03248804,0.41009459,0.03092262,1.42776585,0.02761614,1.09281898,0.06108229,0.51323831,0.02197156,1.11979103,0.06370881,1.21154714,0.07067711,0.69157165,0.02174131,1.17501998,0.08461938,1.68089926,0.05353573,1.08631814,0.02868985,1.60063791,0.0649669,Kongsberg::IMG_0038_JPG.rf.19efc51c9cf6d065a4cfdd143394ae6d.jpg,Kongsberg,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0038_JPG.rf.19efc51c9cf6d065a4cfdd143394ae6d.jpg,0.0,0.0,0.0,0.0
C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0039_JPG.rf.b9a8b7aa0f1324071b8e50c727735bd8.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0039_JPG.rf.b9a8b7aa0f1324071b8e50c727735bd8.txt,4.0|unknown|unknown,4.0,unknown,unknown,7,205.0,8.55235974,55.0,2.13808994,0.10677083,0.00445435,0.05092593,0.00197971,0.0054374,0.00043844,3.72727273,0.01067859,0.40130208,0.00445435,0.31898148,0.00197971,0.31762192,0.01614738,0.17179841,0.01572016,0.23524171,0.02867876,0.69668591,0.01325006,0.45554549,0.01664816,0.56081361,0.04191006,0.64299577,0.00876183,0.62142724,0.0118697,0.61503732,0.00425815,1.17742169,0.00532896,0.95807731,0.00802466,1.0608815,0.00787718,Kongsberg::IMG_0039_JPG.rf.b9a8b7aa0f1324071b8e50c727735bd8.jpg,Kongsberg,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0039_JPG.rf.b9a8b7aa0f1324071b8e50c727735bd8.jpg,0.0,0.0,0.0,0.0
C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0040_JPG.rf.c8e820cb03d9ff213ed7776f8eed2edc.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0040_JPG.rf.c8e820cb03d9ff213ed7776f8eed2edc.txt,4.0|unknown|unknown,4.0,unknown,unknown,7,168.0,7.48331477,60.0,2.13808994,0.0875,0.00389756,0.05555556,0.00197971,0.00486111,0.00038995,2.8,0.02509548,0.38333333,0.00361916,0.31296296,0.00247464,1.53235078,0.00577612,0.50273842,0.03292234,1.40959787,0.05601224,1.13660169,0.06126094,0.4382067,0.02525375,1.00150013,0.03707979,1.98244464,0.07034394,0.74993885,0.03829756,1.66736186,0.04753861,2.27234864,0.01856079,0.8983447,0.02489118,1.90243268,0.01691559,Kongsberg::IMG_0040_JPG.rf.c8e820cb03d9ff213ed7776f8eed2edc.jpg,Kongsberg,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0040_JPG.rf.c8e820cb03d9ff213ed7776f8eed2edc.jpg,0.0,0.0,0.0,0.0
C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0041_JPG.rf.e7d605394f23f1d66309b0dd75382ac1.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0041_JPG.rf.e7d605394f23f1d66309b0dd75382ac1.txt,4.0|unknown|unknown,4.0,unknown,unknown,7,175.0,7.48331477,58.0,2.13808994,0.09114583,0.00389756,0.0537037,0.00197971,0.00489487,0.00038995,3.01724138,0.01791163,0.37786458,0.00389756,0.31574074,0.00247464,0.62392867,0.02432061,0.18911134,0.01537408,0.44563037,0.06076706,0.89023966,0.08495362,0.37827745,0.01887151,0.5567956,0.04098642,1.11589885,0.04012592,0.94522727,0.01913363,1.00410604,0.02707985,1.35463083,0.01107118,1.26929355,0.01587156,1.28486061,0.01168833,Kongsberg::IMG_0041_JPG.rf.e7d605394f23f1d66309b0dd75382ac1.jpg,Kongsberg,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0041_JPG.rf.e7d605394f23f1d66309b0dd75382ac1.jpg,0.0,0.0,0.0,0.0
C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0042_JPG.rf.e72a73da615bcbe2e46b1ddf0ae5fd42.jpg,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\labels\IMG_0042_JPG.rf.e72a73da615bcbe2e46b1ddf0ae5fd42.txt,4.0|unknown|unknown,4.0,unknown,unknown,7,162.0,6.41426981,53.0,2.13808994,0.084375,0.00334077,0.04907407,0.00197971,0.00414063,0.00033115,3.05660377,0.00230122,0.39114583,0.00361916,0.3162037,0.00197971,0.77556914,0.00288262,0.28032461,0.01782524,0.67989171,0.02996024,1.32232177,0.04483228,0.42502847,0.02548646,0.94176614,0.1243756,1.20467448,0.05197296,0.93382597,0.0294907,1.07919359,0.04599026,1.55788839,0.02881279,1.24948144,0.02546007,1.46782756,0.0343227,Kongsberg::IMG_0042_JPG.rf.e72a73da615bcbe2e46b1ddf0ae5fd42.jpg,Kongsberg,4.0,C:\Users\depthlev\Desktop\Z_Drone_Final_Project_GA\nenrus-Dataset-of-Drone-Distance-Estimation-a5aac8f\prepared_by_drone_type\Kongsberg\distance_04m\images\IMG_0042_JPG.rf.e72a73da615bcbe2e46b1ddf0ae5fd42.jpg,0.0,0.0,0.0,0.0
