dataset,true_distance_m,count,mean_raw_prediction_m,mae_m
Kongsberg,4.0,18,19.2765,15.2765
Kongsberg,9.0,26,22.5802,13.5802
Kongsberg,15.0,16,37.6822,22.6822
Kongsberg,20.0,25,45.5495,25.5495
Kongsberg,25.0,16,58.5598,33.5598
Kongsberg,30.0,19,67.4567,37.4567
Kongsberg,35.0,21,82.2253,47.2253
Kongsberg,40.0,21,82.9803,42.9803
Kongsberg,45.0,20,100.9337,55.9337
Kongsberg,50.0,21,96.8049,46.8049
Vestfold,5.0,6,22.2838,17.2838
Vestfold,10.0,19,19.9959,9.9959
Vestfold,15.0,28,24.3765,9.3765
Vestfold,20.0,21,31.4118,11.4118
Vestfold,25.0,26,39.3130,14.3130
Vestfold,30.0,16,44.7756,14.7756
Vestfold,35.0,26,44.8668,9.8668
Vestfold,40.0,16,50.3485,10.3485
Vestfold,45.0,19,65.3850,20.3995
Vestfold,50.0,21,68.4565,18.4565
Vestfold,55.0,20,71.7006,16.7006
Vestfold,60.0,13,70.6507,10.6507
Vestfold,65.0,19,83.6127,18.6127
Vestfold,70.0,12,106.7577,36.7577
Vestfold,75.0,24,112.2116,37.2116
