image_path,label_path,true_distance_m,relative_depth,bbox_width_px,bbox_height_px,bbox_width_norm,bbox_height_norm,bbox_area_ratio,bbox_aspect_ratio,bbox_center_x_norm,bbox_center_y_norm,weather,time_of_day
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00001_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00001_depth_20_clear_sky_10AM.txt,20.0,0.56155682,68,32,0.02213542,0.01851852,0.00040992,2.125,0.50748698,0.54166667,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00002_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00002_depth_20_clear_sky_10AM.txt,20.0,3.47855973,69,31,0.02246094,0.01793981,0.00040295,2.22580645,0.50537109,0.5390625,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00003_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00003_depth_20_clear_sky_10AM.txt,20.0,2.95950127,52,24,0.01692708,0.01388889,0.0002351,2.16666667,0.49934896,0.53761574,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00004_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00004_depth_20_clear_sky_10AM.txt,20.0,2.65496731,52,23,0.01692708,0.01331019,0.0002253,2.26086957,0.50195312,0.53559028,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00005_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00005_depth_20_clear_sky_10AM.txt,20.0,1.0038203,56,27,0.01822917,0.015625,0.00028483,2.07407407,0.50097656,0.53674769,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00006_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00006_depth_20_clear_sky_10AM.txt,20.0,2.34877872,58,29,0.01888021,0.01678241,0.00031686,2.0,0.49902344,0.54079861,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00007_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00007_depth_20_clear_sky_10AM.txt,20.0,2.58346391,61,31,0.01985677,0.01793981,0.00035623,1.96774194,0.50537109,0.54253472,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00009_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00009_depth_20_clear_sky_10AM.txt,20.0,1.55822062,58,31,0.01888021,0.01793981,0.00033871,1.87096774,0.50292969,0.53732639,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00010_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00010_depth_20_clear_sky_10AM.txt,20.0,2.63174582,57,25,0.01855469,0.01446759,0.00026844,2.28,0.49755859,0.53616898,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00011_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00011_depth_20_clear_sky_10AM.txt,20.0,1.48191166,60,21,0.01953125,0.01215278,0.00023736,2.85714286,0.49479167,0.53732639,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00012_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00012_depth_20_clear_sky_10AM.txt,20.0,1.12033558,59,23,0.01920573,0.01331019,0.00025563,2.56521739,0.50406901,0.53732639,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00013_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00013_depth_20_clear_sky_10AM.txt,20.0,1.44098532,63,31,0.02050781,0.01793981,0.00036791,2.03225806,0.50016276,0.54253472,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00014_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00014_depth_20_clear_sky_10AM.txt,20.0,0.72667658,60,30,0.01953125,0.01736111,0.00033908,2.0,0.50585938,0.53877315,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00015_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00015_depth_20_clear_sky_10AM.txt,20.0,1.68742442,56,29,0.01822917,0.01678241,0.00030593,1.93103448,0.49739583,0.53674769,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00016_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00016_depth_20_clear_sky_10AM.txt,20.0,1.48044801,63,30,0.02050781,0.01736111,0.00035604,2.1,0.50048828,0.54166667,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00017_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00017_depth_20_clear_sky_10AM.txt,20.0,1.54954052,74,27,0.01927083,0.0125,0.00024089,2.74074074,0.50338542,0.5349537,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00018_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00018_depth_20_clear_sky_10AM.txt,20.0,0.73373437,60,27,0.01953125,0.015625,0.00030518,2.22222222,0.49414062,0.53674769,clear_sky,10AM
