image_path,label_path,true_distance_m,relative_depth,bbox_width_px,bbox_height_px,bbox_width_norm,bbox_height_norm,bbox_area_ratio,bbox_aspect_ratio,bbox_center_x_norm,bbox_center_y_norm,weather,time_of_day
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00410_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00410_depth_20_clear_sky_10AM.txt,20.0,2.42687678,98,60,0.03571429,0.03773585,0.00134771,1.63333333,0.65925656,0.54025157,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00411_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00411_depth_20_clear_sky_10AM.txt,20.0,0.61228025,83,34,0.03024781,0.02138365,0.00064681,2.44117647,0.33072157,0.46540881,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00412_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00412_depth_20_clear_sky_10AM.txt,20.0,2.1772995,104,26,0.03790087,0.0163522,0.00061976,4.0,0.44059767,0.43710692,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00413_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00413_depth_20_clear_sky_10AM.txt,20.0,2.38800716,100,78,0.03644315,0.0490566,0.00178778,1.28205128,0.60349854,0.38742138,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00414_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00414_depth_20_clear_sky_10AM.txt,20.0,4.39068794,97,84,0.03534985,0.05283019,0.00186754,1.1547619,0.53844752,0.82075472,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00415_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00415_depth_20_clear_sky_10AM.txt,20.0,0.16701928,102,29,0.03717201,0.01823899,0.00067798,3.51724138,0.66618076,0.38459119,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00416_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00416_depth_20_clear_sky_10AM.txt,20.0,0.45912078,126,39,0.04591837,0.0245283,0.0011263,3.23076923,0.21720117,0.33301887,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00417_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00417_depth_20_clear_sky_10AM.txt,20.0,1.37605,96,75,0.03498542,0.04716981,0.00165026,1.28,0.56669096,0.30660377,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00418_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00418_depth_20_clear_sky_10AM.txt,20.0,3.46041441,88,63,0.03206997,0.03962264,0.0012707,1.3968254,0.5069242,0.61415094,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00419_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00419_depth_20_clear_sky_10AM.txt,20.0,4.13511372,71,82,0.02587464,0.05157233,0.00133442,0.86585366,0.4247449,0.71509434,clear_sky,10AM
