image_path,label_path,true_distance_m,relative_depth,bbox_width_px,bbox_height_px,bbox_width_norm,bbox_height_norm,bbox_area_ratio,bbox_aspect_ratio,bbox_center_x_norm,bbox_center_y_norm,weather,time_of_day,study06_stratum_key,study06_selection_rank_within_stratum,bbox_expand_1_5x__bbox_mean__object_depth,bbox_expand_1_5x__bbox_midpoint__object_depth,bbox_expand_1_5x__inner50_median__object_depth,bbox_expand_2x__bbox_mean__object_depth,bbox_expand_2x__bbox_midpoint__object_depth,bbox_expand_2x__inner50_median__object_depth,bbox_expand_4x__bbox_mean__object_depth,bbox_expand_4x__bbox_midpoint__object_depth,bbox_expand_4x__inner50_median__object_depth,bbox_only__bbox_mean__object_depth,bbox_only__bbox_midpoint__object_depth,bbox_only__inner50_median__object_depth,full_image__bbox_mean__object_depth,full_image__bbox_midpoint__object_depth,full_image__inner50_median__object_depth,source_group_id
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00001_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00001_depth_100_clear_sky_10AM.txt,100.0,5.24194002,18,18,0.00636943,0.01132075,7.211e-05,1.0,0.36942675,0.70440252,clear_sky,10AM,100.0|clear_sky|10AM,1,2.15411758,2.77344751,2.35627007,2.06558371,2.6719408,2.26619911,2.75726819,2.84852433,2.82007504,1.78829885,2.56942892,1.66685534,5.19081116,5.26475048,5.24770641,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00001_depth_100_clear_sky_10AM.png
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00002_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00002_depth_100_clear_sky_10AM.txt,100.0,5.58347845,21,20,0.007431,0.01257862,9.347e-05,1.05,0.7121373,0.75157233,clear_sky,10AM,100.0|clear_sky|10AM,2,2.05769682,2.97532082,2.33078027,1.94621921,2.66041446,2.1681757,2.22706819,2.45940566,2.3433423,1.69650209,2.76757669,1.9220643,5.5844574,5.58140898,5.58358955,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00002_depth_100_clear_sky_10AM.png
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00003_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00003_depth_100_clear_sky_10AM.txt,100.0,0.59664202,26,16,0.00920028,0.01006289,9.258e-05,1.625,0.16418967,0.74213836,clear_sky,10AM,100.0|clear_sky|10AM,3,2.02067709,2.69758582,2.37944984,2.29753518,2.74288392,2.50686026,1.67777812,2.08006883,1.94777632,1.86505938,3.37606049,2.44450045,0.59736347,0.59387982,0.59657598,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00003_depth_100_clear_sky_10AM.png
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00004_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00004_depth_100_clear_sky_10AM.txt,100.0,0.55245066,22,8,0.00778485,0.00503145,3.917e-05,2.75,0.71974522,0.82955975,clear_sky,10AM,100.0|clear_sky|10AM,4,1.50017369,1.5099628,1.54788077,1.50463974,1.49599147,1.52842081,1.01262808,1.15718436,1.13209617,1.8477248,2.12759733,2.02910757,0.55285335,0.55714524,0.5547061,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00004_depth_100_clear_sky_10AM.png
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00005_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00005_depth_100_clear_sky_10AM.txt,100.0,0.0,25,6,0.00884643,0.00377358,3.338e-05,4.16666667,0.61694975,0.21069182,clear_sky,10AM,100.0|clear_sky|10AM,5,1.79859865,1.78736365,1.78665876,1.88268185,1.922539,1.9146769,1.29608798,1.29089272,1.29713416,1.72733617,1.78621745,1.74856329,0.0,0.0,0.0,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00005_depth_100_clear_sky_10AM.png
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00006_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00006_depth_100_clear_sky_10AM.txt,100.0,0.0,23,12,0.00813871,0.00754717,6.142e-05,1.91666667,0.67993631,0.27672956,clear_sky,10AM,100.0|clear_sky|10AM,6,1.56499696,2.27132201,1.81768155,1.44865656,2.00556016,1.70920908,1.36332095,1.7927978,1.62675524,1.58668077,2.5948422,1.85431027,0.0,0.0,0.0,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00006_depth_100_clear_sky_10AM.png
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00007_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00007_depth_100_clear_sky_10AM.txt,100.0,1.13924575,38,7,0.01344657,0.00440252,5.92e-05,5.42857143,0.08351026,0.69716981,clear_sky,10AM,100.0|clear_sky|10AM,7,2.66595459,2.65575123,2.64690852,2.78398466,2.79378057,2.78718162,2.34299517,2.36191654,2.35637474,2.24107933,2.02853012,2.06611705,1.13764048,1.13958931,1.13911235,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00007_depth_100_clear_sky_10AM.png
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00008_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00008_depth_100_clear_sky_10AM.txt,100.0,0.0,19,8,0.00672328,0.00503145,3.383e-05,2.375,0.63181175,0.69937107,clear_sky,10AM,100.0|clear_sky|10AM,8,1.62732542,2.56290483,2.16480684,1.57110965,2.22616553,1.97365272,1.46139061,1.65385973,1.60943079,1.5814352,3.05249453,2.34549594,0.0,0.0,0.0,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00008_depth_100_clear_sky_10AM.png
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00009_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00009_depth_100_clear_sky_10AM.txt,100.0,0.0,19,10,0.00672328,0.00628931,4.228e-05,1.9,0.39472753,0.54654088,clear_sky,10AM,100.0|clear_sky|10AM,5,1.60243011,3.70512652,3.23785925,1.58220196,3.96310902,3.77844357,1.41947997,3.71953058,3.66541338,1.70154965,3.40860844,2.47553349,0.0,0.0,0.0,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00009_depth_100_clear_sky_10AM.png
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00010_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00010_depth_100_clear_sky_10AM.txt,100.0,2.30100775,21,13,0.007431,0.0081761,6.076e-05,1.61538462,0.59217976,0.50408805,clear_sky,10AM,100.0|clear_sky|10AM,10,1.86627293,2.29428816,2.11252785,1.9923141,2.36513162,2.25089884,2.04904985,2.11145711,2.08851624,1.73297167,3.01163626,2.63064456,2.30042982,2.31938314,2.31168079,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00010_depth_100_clear_sky_10AM.png
