display_name,model_name,model_family,split_name,role,config_name,distance_range,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
scale only,scale_only,linear,cv_oof,poster,scale_only,near,5356,34.40705072716805,29.475324226093775,1.0518536699441505,0.7500491206257434,42.809912484688326,-7.965661754130769,13.680438807551761,11.942759226109583,67.72496726994041,81.84156825221946,160.2062633920442,0.08644510828976848,0.1756908140403286,0.3511949215832711,0.6081030619865572,0.3918969380134429
scale only,scale_only,linear,cv_oof,poster,scale_only,mid,4273,41.22974850623206,37.5869015199645,0.485936271424161,0.4505236070932604,49.32088213825108,-18.500989054362982,-31.910658926517392,-33.7579686526198,80.0,90.0,100.01637381296082,0.06950620173180436,0.1399485139246431,0.2754505031593728,0.21436929557687806,0.7856307044231219
scale only,scale_only,linear,cv_oof,poster,scale_only,far,3175,76.96894069027508,78.34175881762664,0.5904090274537142,0.6052281787695498,84.1772622246871,-31.705134355623102,-76.76313073384733,-78.34175881762664,119.30396921534772,132.50009146208112,150.0,0.015118110236220473,0.026456692913385826,0.05511811023622047,0.012283464566929133,0.9877165354330709
scale only,scale_only,linear,test,poster,scale_only,near,945,35.15748236467641,30.283080602816952,1.0553194347524868,0.7833305426029682,43.3813228454051,-8.37567978729569,14.799846930385966,13.65434733810909,70.58230456563243,84.26694997303059,143.2111492453069,0.0835978835978836,0.17671957671957672,0.3333333333333333,0.6211640211640211,0.37883597883597886
scale only,scale_only,linear,test,poster,scale_only,mid,754,41.493854709799535,38.414283877713316,0.4894483319107351,0.4592896597783108,49.74583228669475,-18.797182639167698,-30.220045736379706,-33.91365424855182,80.0,89.97486172952883,100.0,0.06896551724137931,0.15517241379310345,0.2891246684350133,0.246684350132626,0.753315649867374
scale only,scale_only,linear,test,poster,scale_only,far,561,77.17678002132972,79.09428205528434,0.5891944167849656,0.598206622462736,84.61175292968137,-31.840791406528055,-76.84441966324968,-79.09428205528434,118.93192790318118,131.1524109207333,150.0,0.0106951871657754,0.0285204991087344,0.053475935828877004,0.016042780748663103,0.983957219251337
depth linear,depth_only_linear,linear,cv_oof,poster,depth_only_linear,near,5356,37.09776967972968,37.23936946108503,1.2376885657935812,0.9309842365271258,39.725528093724165,-6.720279592367579,37.09776967972968,37.23936946108503,57.15772492420054,57.757624354734205,58.975967298842036,0.0,0.0,0.2087378640776699,1.0,0.0
depth linear,depth_only_linear,linear,cv_oof,poster,depth_only_linear,mid,4273,11.396161835389762,8.975967298842036,0.1271132520495009,0.12424077759446261,13.676108866359098,-0.49940883585749773,-7.721661330616393,-4.742525215390984,23.02641780944054,23.61575887366517,25.77796181395547,0.25602621109290896,0.5054996489585771,0.7505265621343319,0.24923941025040955,0.7507605897495905
depth linear,depth_only_linear,linear,cv_oof,poster,depth_only_linear,far,3175,52.192112514967214,47.597390867457634,0.3958365927171515,0.3807791269396611,54.23971922690501,-12.578794309004728,-52.192112514967214,-47.597390867457634,73.18838142765001,73.63547978451456,76.06156974617775,0.0,0.0,0.0,0.0,1.0
depth linear,depth_only_linear,linear,test,poster,depth_only_linear,near,945,36.695295219378984,37.04203422612487,1.2069374825940389,0.9260508556531217,39.31469276193283,-6.700287782779502,36.695295219378984,37.04203422612487,57.00236426360023,57.72264376626383,58.586803837168034,0.0,0.0,0.21481481481481482,1.0,0.0
