display_name,model_name,model_family,term,importance_type,importance_value
improved linear,study06_small_rf,random_forest,bbox_only__bbox_midpoint__object_depth,feature_importance,0.17070080313122876
improved linear,study06_small_rf,random_forest,bbox_expand_1_5x__bbox_midpoint__object_depth,feature_importance,0.1248638944126975
improved linear,study06_small_rf,random_forest,bbox_only__inner50_median__object_depth,feature_importance,0.10932749212975484
improved linear,study06_small_rf,random_forest,bbox_expand_2x__bbox_midpoint__object_depth,feature_importance,0.09235415580507167
improved linear,study06_small_rf,random_forest,bbox_expand_1_5x__inner50_median__object_depth,feature_importance,0.05615000994009687
improved linear,study06_small_rf,random_forest,bbox_expand_4x__bbox_midpoint__object_depth,feature_importance,0.06042195347021271
improved linear,study06_small_rf,random_forest,bbox_expand_2x__inner50_median__object_depth,feature_importance,0.04661443946539944
improved linear,study06_small_rf,random_forest,bbox_expand_4x__inner50_median__object_depth,feature_importance,0.04067131997573242
improved linear,study06_small_rf,random_forest,bbox_only__bbox_mean__object_depth,feature_importance,0.05260466395003182
improved linear,study06_small_rf,random_forest,bbox_expand_4x__bbox_mean__object_depth,feature_importance,0.04000425062464455
improved linear,study06_small_rf,random_forest,bbox_expand_2x__bbox_mean__object_depth,feature_importance,0.043149174107893463
improved linear,study06_small_rf,random_forest,full_image__bbox_midpoint__object_depth,feature_importance,0.036412177875543336
improved linear,study06_small_rf,random_forest,full_image__inner50_median__object_depth,feature_importance,0.03619061513969386
improved linear,study06_small_rf,random_forest,bbox_expand_1_5x__bbox_mean__object_depth,feature_importance,0.047044318459673995
improved linear,study06_small_rf,random_forest,full_image__bbox_mean__object_depth,feature_importance,0.04349073151232485
