display_name,model_name,model_family,split_name,role,config_name,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate,poster_rank
scale only,scale_only,linear,cv_oof,poster,scale_only,12804,47.23799326409443,41.62873210036696,0.7485694006702479,0.5861615305111618,57.7537020616802,-1.2961708739923532,-23.961633506695325,-25.450939080475315,95.9345791126178,109.83467536479162,160.2062633920442,0.06310527960012496,0.1267572633552015,0.25249921899406436,0.3289597000937207,0.6710402999062793,
scale only,scale_only,linear,test,poster,scale_only,2260,47.70192959193541,42.57043037510171,0.750822555716,0.594681902932366,58.22066438483208,-1.3245550090786002,-22.96892856951267,-23.927858798215855,95.53445027812164,110.89014272096914,150.0,0.060619469026548675,0.13274336283185842,0.2491150442477876,0.34601769911504426,0.6539823008849558,7
depth linear,depth_only_linear,linear,cv_oof,poster,depth_only_linear,12804,32.26346541411071,28.640333314747878,0.6583095959289983,0.33722583664446837,38.106016075438525,0.00038758751297851557,-0.0006999137857377891,5.301616351677573,57.76724531282403,72.44583424435702,76.06156974617775,0.08544204935957514,0.16869728209934395,0.33778506716651047,0.5014839112777257,0.49851608872227426,
depth linear,depth_only_linear,linear,test,poster,depth_only_linear,2260,32.28470682778883,28.586803837168034,0.6462548893644972,0.3394681991746392,38.174102589792355,0.0006371838314378486,-0.38658702981365023,5.2675257206339055,57.89035393885256,72.52074629254521,74.70363273176352,0.08185840707964602,0.1663716814159292,0.3402654867256637,0.5017699115044247,0.4982300884955752,6
linear+bb,depth_geometry_metadata_linear,linear,cv_oof,poster,depth_geometry_metadata_linear,12804,13.263077262498133,11.064274874872975,0.22203354859593138,0.1589155673642071,18.643710705436288,0.7607184251862356,0.036696354794621674,0.8965037545883554,28.547443289399244,33.78438730391764,961.5538020383776,0.23773820681037175,0.4579037800687285,0.7842080599812559,0.520618556701031,0.4793814432989691,
linear+bb,depth_geometry_metadata_linear,linear,test,poster,depth_geometry_metadata_linear,2260,13.201531123149934,11.198447492301426,0.2133913968828837,0.15962496310815233,16.641806804904448,0.8100731061227113,-0.02388724848579334,1.0789198660635861,28.87731735272486,33.85299882412643,60.35776667030873,0.252212389380531,0.4588495575221239,0.7787610619469026,0.5212389380530974,0.47876106194690266,5
improved linear,stacked_rf_depth_geometry_metadata_linear,stacked_linear,cv_oof,poster,random_forest_top_24,12804,12.56155423238779,10.495295863138914,0.21279861278686601,0.15067810414298421,17.32589085078796,0.7933498638204984,0.008823953905970093,0.7798651994934875,26.542021480355015,31.521508694544487,821.0037950617185,0.2530459231490159,0.48070915338956577,0.8017806935332709,0.5187441424554826,0.48125585754451733,
improved linear,stacked_rf_depth_geometry_metadata_linear,stacked_linear,test,poster,random_forest_top_24,2260,12.457908589199729,10.351125723237708,0.20559191927863402,0.14954312409624915,15.590845265766347,0.8333041313811076,-0.1787740879424303,0.9756268020369987,26.55089104572643,30.658745466188055,50.61785602229908,0.2513274336283186,0.4831858407079646,0.7969026548672566,0.5261061946902655,0.4738938053097345,4
RF,raw_depth_geometry_metadata_rf,random_forest,cv_oof,poster,rf_unbounded,12804,7.260042590654252,5.355214438339438,0.09287981852392814,0.07252504241430868,10.090599489974148,0.9299063807572067,-0.02988305291088282,0.03333333333333499,17.044011664261674,21.40970779150965,57.58906084656081,0.4780537332083724,0.7311777569509528,0.9374414245548266,0.5117931896282412,0.47563261480787256,
RF,raw_depth_geometry_metadata_rf,random_forest,test,poster,rf_unbounded,2260,7.188560462894484,5.264680134680134,0.09115978615922195,0.07171846969061371,10.11791306023841,0.9297951039781094,-0.07757050638916409,0.0,16.701508778258834,21.645239407322084,54.91861111111112,0.4831858407079646,0.7393805309734514,0.9353982300884955,0.49513274336283186,0.48628318584070795,3
RF+jitter,rf_winner_baseline,aggregated_rf,cv_oof,poster,rf_deep,12804,6.369753786931282,4.443303571428565,0.0824449093902523,0.059695082814734686,9.108088640349976,0.9428917246711966,-0.017778199160609985,0.01666666666666572,15.138569289972176,19.765883681076847,57.0477031573499,0.5376444860980943,0.7832708528584817,0.9518119337706966,0.5042174320524836,0.4773508278662918,
RF+jitter,rf_winner_baseline,aggregated_rf,test,poster,rf_deep,2260,6.387019358662759,4.504295380545372,0.08156969656134928,0.059818857090881035,9.261344074975606,0.9411788444051471,-0.17993655609004539,0.0,15.16205224045149,19.96487406361434,56.267529601857774,0.5371681415929204,0.7823008849557522,0.95,0.4893805309734513,0.4907079646017699,2
XGBoost+jitter,xgb_winner_baseline,aggregated_xgb,cv_oof,internal,xgb_deep,12804,5.987098997289484,4.1995086669921875,0.07910176192939038,0.060087184906005855,8.461129667138941,0.9507165333509111,0.02692631012720825,-0.11479949951171875,14.027806854248048,18.0368309020996,57.72967529296875,0.5565448297407061,0.8054514214308028,0.965167135270228,0.48836301155888784,0.5116369884411122,
XGBoost+jitter,xgb_winner_baseline,aggregated_xgb,test,internal,xgb_deep,2260,6.023774500652752,4.109615325927734,0.07875110145918535,0.0588761838277181,8.641506423640928,0.9487888618481414,-0.12804089014509082,-0.3896341323852539,13.887928771972659,18.418261718749992,56.88166809082031,0.5615044247787611,0.8084070796460177,0.9623893805309734,0.4668141592920354,0.5331858407079646,
ensemble,tuned_weight_blend,aggregated_blend,cv_oof,poster,rf_0.17_xgb_0.83,12804,5.970970338708439,4.214506454696036,0.07847618241774572,0.058953643317319775,8.467039336261864,0.9506476653146333,0.019326543548276818,-0.07107316111610373,14.088155753040104,18.048910354260872,57.613740029913544,0.5567791315213996,0.8070134333020931,0.9633708216182443,0.49258044361137143,0.5074195563886286,
ensemble,tuned_weight_blend,aggregated_blend,test,poster,rf_0.17_xgb_0.83,2260,6.008478488143669,4.120088009406523,0.07808227061473122,0.05842632711315088,8.653389804079092,0.9486479188598337,-0.13686315335573507,-0.34306680984368043,14.084200360311986,18.434922786271724,56.77726454769669,0.5570796460176991,0.8097345132743363,0.9623893805309734,0.4672566371681416,0.5327433628318584,1
