image_path,label_path,true_distance_m,relative_depth,bbox_width_px,bbox_height_px,bbox_width_norm,bbox_height_norm,bbox_area_ratio,bbox_aspect_ratio,bbox_center_x_norm,bbox_center_y_norm,weather,time_of_day
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00277_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00277_depth_20_clear_sky_10AM.txt,20.0,5.07298708,121,27,0.0428167,0.01698113,0.00072708,4.48148148,0.61447275,0.78584906,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00278_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00278_depth_20_clear_sky_10AM.txt,20.0,11.52356052,119,23,0.04210899,0.01446541,0.00060912,5.17391304,0.50548478,0.72106918,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00279_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00279_depth_20_clear_sky_10AM.txt,20.0,7.45654726,129,114,0.04564756,0.07169811,0.00327284,1.13157895,0.27476999,0.56163522,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00280_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00280_depth_20_clear_sky_10AM.txt,20.0,5.11737061,191,45,0.06758669,0.02830189,0.00191283,4.24444444,0.90215853,0.42358491,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.txt,20.0,7.9148407,120,112,0.04246285,0.07044025,0.00299109,1.07142857,0.3970276,0.28490566,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00282_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00282_depth_20_clear_sky_10AM.txt,20.0,2.34606719,117,42,0.04140127,0.02641509,0.00109362,2.78571429,0.71815287,0.23522013,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00283_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00283_depth_20_clear_sky_10AM.txt,20.0,5.04160786,93,67,0.0329087,0.04213836,0.00138672,1.3880597,0.5391012,0.66006289,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00284_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00284_depth_20_clear_sky_10AM.txt,20.0,7.80851603,132,100,0.04670913,0.06289308,0.00293768,1.32,0.25053079,0.47924528,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00285_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00285_depth_20_clear_sky_10AM.txt,20.0,7.751544,89,90,0.03149328,0.05660377,0.00178264,0.98888889,0.47292994,0.64213836,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00286_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00286_depth_20_clear_sky_10AM.txt,20.0,0.7710976,103,102,0.03644728,0.06415094,0.00233813,1.00980392,0.32607926,0.76918239,clear_sky,10AM
