image_path,label_path,stratum_key,true_distance_m,weather,time_of_day,image_width,image_height,bbox
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00405_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00405_depth_100_clear_sky_10AM.txt,100.0|clear_sky|10AM,100.0,clear_sky,10AM,2754,1780,1759 1180 1774 1191
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00406_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00406_depth_100_clear_sky_10AM.txt,100.0|clear_sky|10AM,100.0,clear_sky,10AM,2754,1780,1390 577 1409 582
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00407_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00407_depth_100_clear_sky_10AM.txt,100.0|clear_sky|10AM,100.0,clear_sky,10AM,2754,1780,2021 837 2041 845
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00408_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00408_depth_100_clear_sky_10AM.txt,100.0|clear_sky|10AM,100.0,clear_sky,10AM,2754,1780,1255 799 1267 814
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00409_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00409_depth_100_clear_sky_10AM.txt,100.0|clear_sky|10AM,100.0,clear_sky,10AM,2754,1780,1168 734 1184 746
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00410_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00410_depth_100_clear_sky_10AM.txt,100.0|clear_sky|10AM,100.0,clear_sky,10AM,2754,1780,2082 1290 2105 1301
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00411_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00411_depth_100_clear_sky_10AM.txt,100.0|clear_sky|10AM,100.0,clear_sky,10AM,2754,1780,2078 888 2102 894
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00412_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00412_depth_100_clear_sky_10AM.txt,100.0|clear_sky|10AM,100.0,clear_sky,10AM,2754,1780,1210 922 1229 938
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00413_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00413_depth_100_clear_sky_10AM.txt,100.0|clear_sky|10AM,100.0,clear_sky,10AM,2754,1780,1630 647 1650 654
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00414_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00414_depth_100_clear_sky_10AM.txt,100.0|clear_sky|10AM,100.0,clear_sky,10AM,2754,1780,1200 1098 1219 1110
