image_path,label_path,true_distance_m,relative_depth,bbox_width_px,bbox_height_px,bbox_width_norm,bbox_height_norm,bbox_area_ratio,bbox_aspect_ratio,bbox_center_x_norm,bbox_center_y_norm,weather,time_of_day
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00405_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00405_depth_100_clear_sky_10AM.txt,100.0,3.40919399,15,11,0.00544662,0.00617978,3.366e-05,1.36363636,0.64143065,0.66601124,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00406_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00406_depth_100_clear_sky_10AM.txt,100.0,15.8045845,19,5,0.00689906,0.00280899,1.938e-05,3.8,0.50816993,0.3255618,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00407_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00407_depth_100_clear_sky_10AM.txt,100.0,3.31774473,20,8,0.00726216,0.00449438,3.264e-05,2.5,0.73747277,0.47247191,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00408_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00408_depth_100_clear_sky_10AM.txt,100.0,2.54192734,12,15,0.0043573,0.00842697,3.672e-05,0.8,0.45787945,0.45308989,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00409_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00409_depth_100_clear_sky_10AM.txt,100.0,2.26527452,16,12,0.00580973,0.00674157,3.917e-05,1.33333333,0.42701525,0.41573034,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00410_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00410_depth_100_clear_sky_10AM.txt,100.0,3.78561592,23,11,0.00835149,0.00617978,5.161e-05,2.09090909,0.76016703,0.72780899,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00411_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00411_depth_100_clear_sky_10AM.txt,100.0,11.91482162,24,6,0.0087146,0.00337079,2.938e-05,4.0,0.75889615,0.5005618,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00412_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00412_depth_100_clear_sky_10AM.txt,100.0,3.7201941,19,16,0.00689906,0.00898876,6.201e-05,1.1875,0.44281046,0.52247191,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00413_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00413_depth_100_clear_sky_10AM.txt,100.0,9.61257935,20,7,0.00726216,0.00393258,2.856e-05,2.85714286,0.59549746,0.36544944,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00414_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00414_depth_100_clear_sky_10AM.txt,100.0,3.24504042,19,12,0.00689906,0.00674157,4.651e-05,1.58333333,0.43917938,0.62022472,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00415_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00415_depth_100_clear_sky_10AM.txt,100.0,3.72308254,17,14,0.00617284,0.00786517,4.855e-05,1.21428571,0.65087146,0.60898876,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00416_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00416_depth_100_clear_sky_10AM.txt,100.0,1.90681553,19,15,0.00689906,0.00842697,5.814e-05,1.26666667,0.42574437,0.54859551,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00417_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00417_depth_100_clear_sky_10AM.txt,100.0,2.67836237,18,12,0.00653595,0.00674157,4.406e-05,1.5,0.35294118,0.28258427,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00418_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00418_depth_100_clear_sky_10AM.txt,100.0,4.58883524,24,13,0.0087146,0.00730337,6.365e-05,1.84615385,0.2610748,0.77219101,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00419_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00419_depth_100_clear_sky_10AM.txt,100.0,5.95799303,21,11,0.00762527,0.00617978,4.712e-05,1.90909091,0.6791939,0.44353933,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00420_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00420_depth_100_clear_sky_10AM.txt,100.0,5.15731573,19,11,0.00689906,0.00617978,4.263e-05,1.72727273,0.58042847,0.38230337,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00421_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00421_depth_100_clear_sky_10AM.txt,100.0,6.26846886,16,10,0.00580973,0.00561798,3.264e-05,1.6,0.3231663,0.52752809,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00422_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00422_depth_100_clear_sky_10AM.txt,100.0,1.87290323,19,16,0.00689906,0.00898876,6.201e-05,1.1875,0.60475672,0.64269663,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00423_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00423_depth_100_clear_sky_10AM.txt,100.0,3.48763466,17,14,0.00617284,0.00786517,4.855e-05,1.21428571,0.4271968,0.73370787,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00424_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00424_depth_100_clear_sky_10AM.txt,100.0,4.98688602,20,6,0.00726216,0.00337079,2.448e-05,3.33333333,0.43464052,0.65955056,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00425_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00425_depth_100_clear_sky_10AM.txt,100.0,4.25271511,19,18,0.00689906,0.01011236,6.977e-05,1.05555556,0.40432099,0.41853933,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00426_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00426_depth_100_clear_sky_10AM.txt,100.0,3.13794637,21,16,0.00762527,0.00898876,6.854e-05,1.3125,0.65595497,0.46123596,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00427_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00427_depth_100_clear_sky_10AM.txt,100.0,3.87001896,22,14,0.00798838,0.00786517,6.283e-05,1.57142857,0.68845316,0.51404494,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00428_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00428_depth_100_clear_sky_10AM.txt,100.0,9.60833359,22,7,0.00798838,0.00393258,3.141e-05,3.14285714,0.71604938,0.56994382,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00429_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00429_depth_100_clear_sky_10AM.txt,100.0,5.15366888,21,18,0.00762527,0.01011236,7.711e-05,1.16666667,0.38471314,0.76797753,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00430_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00430_depth_100_clear_sky_10AM.txt,100.0,1.84515834,23,6,0.00835149,0.00337079,2.815e-05,3.83333333,0.27323893,0.61966292,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00431_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00431_depth_100_clear_sky_10AM.txt,100.0,3.01735544,12,16,0.0043573,0.00898876,3.917e-05,0.75,0.52723312,0.47865169,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00432_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00432_depth_100_clear_sky_10AM.txt,100.0,5.89410973,18,12,0.00653595,0.00674157,4.406e-05,1.5,0.46949891,0.56966292,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00433_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00433_depth_100_clear_sky_10AM.txt,100.0,16.78967094,19,5,0.00689906,0.00280899,1.938e-05,3.8,0.67447349,0.2738764,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00434_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00434_depth_100_clear_sky_10AM.txt,100.0,2.27961373,19,15,0.00689906,0.00842697,5.814e-05,1.26666667,0.5684459,0.41882022,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00435_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00435_depth_100_clear_sky_10AM.txt,100.0,2.43974352,12,12,0.0043573,0.00674157,2.938e-05,1.0,0.42592593,0.50617978,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00436_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00436_depth_100_clear_sky_10AM.txt,100.0,2.95784998,15,12,0.00544662,0.00674157,3.672e-05,1.25,0.51506899,0.48539326,clear_sky,10AM
C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00437_depth_100_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_100\clear_sky\10AM\HighresScreenshot00437_depth_100_clear_sky_10AM.txt,100.0,3.37128687,18,14,0.00653595,0.00786517,5.141e-05,1.28571429,0.56499637,0.25730337,clear_sky,10AM
