image_path,label_path,stratum_key,true_distance_m,weather,time_of_day,num_jitter_boxes,bbox_width_px__jitter_median,bbox_width_px__jitter_std,bbox_height_px__jitter_median,bbox_height_px__jitter_std,bbox_width_norm__jitter_median,bbox_width_norm__jitter_std,bbox_height_norm__jitter_median,bbox_height_norm__jitter_std,bbox_area_ratio__jitter_median,bbox_area_ratio__jitter_std,bbox_aspect_ratio__jitter_median,bbox_aspect_ratio__jitter_std,bbox_center_x_norm__jitter_median,bbox_center_x_norm__jitter_std,bbox_center_y_norm__jitter_median,bbox_center_y_norm__jitter_std,bbox_expand_4x__bbox_midpoint__object_depth__jitter_median,bbox_expand_4x__bbox_midpoint__object_depth__jitter_std,bbox_expand_4x__bbox_mean__object_depth__jitter_median,bbox_expand_4x__bbox_mean__object_depth__jitter_std,bbox_expand_4x__inner50_median__object_depth__jitter_median,bbox_expand_4x__inner50_median__object_depth__jitter_std,bbox_expand_2x__bbox_midpoint__object_depth__jitter_median,bbox_expand_2x__bbox_midpoint__object_depth__jitter_std,bbox_expand_2x__bbox_mean__object_depth__jitter_median,bbox_expand_2x__bbox_mean__object_depth__jitter_std,bbox_expand_2x__inner50_median__object_depth__jitter_median,bbox_expand_2x__inner50_median__object_depth__jitter_std,bbox_expand_1_5x__bbox_midpoint__object_depth__jitter_median,bbox_expand_1_5x__bbox_midpoint__object_depth__jitter_std,bbox_expand_1_5x__bbox_mean__object_depth__jitter_median,bbox_expand_1_5x__bbox_mean__object_depth__jitter_std,bbox_expand_1_5x__inner50_median__object_depth__jitter_median,bbox_expand_1_5x__inner50_median__object_depth__jitter_std,bbox_only__bbox_midpoint__object_depth__jitter_median,bbox_only__bbox_midpoint__object_depth__jitter_std,bbox_only__bbox_mean__object_depth__jitter_median,bbox_only__bbox_mean__object_depth__jitter_std,bbox_only__inner50_median__object_depth__jitter_median,bbox_only__inner50_median__object_depth__jitter_std
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00277_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00277_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,121.0,5.34522484,27.0,1.06904497,0.0428167,0.00189145,0.01698113,0.00067236,0.00072708,6.094e-05,4.48148148,0.02068404,0.61447275,0.00189145,0.78584906,0.00067236,12.43561935,0.04684529,16.53069687,0.3386959,12.60216713,0.02778363,10.61231995,0.03268182,12.18117523,0.30002497,10.74202633,0.02515913,8.62663651,0.0355849,10.15199852,0.22698749,8.80472374,0.03167986,3.84960246,0.01159299,4.03540039,0.02190573,3.89942837,0.01237
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00278_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00278_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,119.0,5.34522484,23.0,1.06904497,0.04210899,0.00189145,0.01446541,0.00067236,0.00060912,5.571e-05,5.17391304,0.00816707,0.50548478,0.00189145,0.72106918,0.00067236,13.97065449,0.04694441,17.09860802,0.17195099,14.24377728,0.05059432,2.96273565,0.01758112,6.03739929,0.13122077,3.06984758,0.02670085,4.1891861,0.03546691,5.32545376,0.03157267,4.40535593,0.0416347,2.51623511,0.01263655,3.89812946,0.03948318,2.78485608,0.02334034
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00279_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00279_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,129.0,5.34522484,114.0,5.34522484,0.04564756,0.00189145,0.07169811,0.00336178,0.00327284,0.00028924,1.13157895,0.00623437,0.27476999,0.00189145,0.56163522,0.0030256,6.71083927,0.08537422,8.62545967,0.03711489,8.67878628,0.03487209,3.67814255,0.06692592,4.68907881,0.01128221,4.77140522,0.00782256,3.19751191,0.06666736,4.69098377,0.01715768,4.81076241,0.01348047,2.38871741,0.01617173,2.83505034,0.00619521,2.85025096,0.01287605
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00280_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00280_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,191.0,8.55235974,45.0,2.13808994,0.06758669,0.00302631,0.02830189,0.00134471,0.00191283,0.00017665,4.24444444,0.0117398,0.90215853,0.00283717,0.42358491,0.00134471,19.58551216,0.12746723,23.14621544,0.39260632,19.93734741,0.05506943,6.13401937,0.11351962,12.66602802,0.29817345,6.21655369,0.06165174,9.11777592,0.10466811,13.06076336,0.30761353,9.3968668,0.11371748,3.57218289,0.01343086,4.06703138,0.04556483,3.66851449,0.00978379
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,120.0,5.34522484,112.0,4.27617987,0.04246285,0.00189145,0.07044025,0.00268942,0.00299109,0.00024757,1.07142857,0.00686533,0.3970276,0.00189145,0.28490566,0.0030256,15.6582756,0.09815433,17.08621216,0.04393392,16.7994709,0.08645776,5.15121269,0.05895221,5.54048204,0.02084964,5.44535398,0.0159236,7.4543786,0.06384344,7.81778717,0.00828059,7.76810408,0.01421265,3.11020541,0.00877298,3.32199407,0.00477438,3.29252195,0.00778916
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00282_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00282_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,117.0,5.34522484,42.0,2.13808994,0.04140127,0.00189145,0.02641509,0.00134471,0.00109362,0.00010571,2.78571429,0.01472543,0.71815287,0.0017023,0.23522013,0.00100853,7.84647369,0.05805081,15.23100758,0.27511179,8.07762718,0.04112781,3.35337615,0.00592389,9.29913139,0.24185068,3.39487433,0.01253675,3.96450686,0.01621495,9.64493942,0.22281427,4.05878496,0.02532654,3.02725434,0.01356539,4.10180283,0.02559044,3.17440939,0.017729
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00283_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00283_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,93.0,4.27617987,67.0,3.2071349,0.0329087,0.00151316,0.04213836,0.00201707,0.00138672,0.00013023,1.3880597,0.00264836,0.5391012,0.00132401,0.66006289,0.00168089,8.58094692,0.04183543,10.73425484,0.07743617,8.94031525,0.06016307,2.84357572,0.01604816,3.90298843,0.04123312,2.970855,0.03539594,8.68479443,0.05758026,9.37000179,0.08587961,9.06282234,0.08336002,5.99769735,0.01900479,6.86654902,0.04868817,6.32168007,0.0269823
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00284_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00284_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,132.0,5.34522484,100.0,4.27617987,0.04670913,0.00189145,0.06289308,0.00268942,0.00293768,0.00024471,1.32,0.00301948,0.25053079,0.00208059,0.47924528,0.00268942,8.06903458,0.12173525,11.97062111,0.074209,11.34261703,0.8253223,9.50937843,0.2008019,13.24007797,0.06641846,13.20920086,0.68862116,11.07791519,0.29037985,14.02339363,0.07254444,13.93369102,0.31199002,5.41569614,0.04135242,7.71459198,0.04035469,6.93481827,0.30518264
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00285_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00285_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,89.0,4.27617987,90.0,4.27617987,0.03149328,0.00151316,0.05660377,0.00268942,0.00178264,0.00017047,0.98888889,0.00053363,0.47292994,0.00132401,0.64213836,0.00235324,13.43478966,0.03402123,13.63385391,0.05649647,13.51145172,0.03042249,4.76646137,0.01781477,4.97295475,0.01956887,4.89931631,0.0120315,5.53975582,0.05042048,6.05210686,0.02201902,5.98645258,0.02870773,2.31840944,0.00481179,2.3596735,0.00618928,2.35612178,0.00760641
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00286_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00286_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,20.0,clear_sky,10AM,7,103.0,4.27617987,102.0,4.27617987,0.03644728,0.00151316,0.06415094,0.00268942,0.00233813,0.0001952,1.00980392,0.00041446,0.32607926,0.00151316,0.76918239,0.00268942,8.02826786,0.08428052,8.68997002,0.0571928,8.42361832,0.05515987,7.05767012,0.19283773,9.50437832,0.05261427,9.04756737,0.28527682,3.65076613,0.08794538,4.9499526,0.03915964,4.50312805,0.19601065,2.84130216,0.01403921,3.17572713,0.01368008,3.09401178,0.01527694
