display_name,model_name,split_name,fold_index,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
scale only,scale_only,cv_fold,0,2531,77.45307179646659,79.80149653727716,0.9981029057053944,0.9993324702793931,86.32895380039135,-4.1387312777741725,-77.38497078235598,-79.80149653727716,124.96161162521872,149.92543835664463,149.98126759660389,0.0,0.0007902015013828526,0.08731726590280521,0.001185302252074279,0.9988146977479258
scale only,scale_only,cv_fold,1,2522,76.86353031850346,79.82521605584202,0.9976337201959378,0.9993182016893318,85.89364792152303,-4.037989388273083,-76.8185188273292,-79.82521605584202,124.9573878801368,149.9306606467375,149.99594770479334,0.0,0.0003965107057890563,0.08961141950832673,0.0011895321173671688,0.9988104678826328
scale only,scale_only,cv_fold,2,2532,77.01436616896363,69.9824093602032,0.9982838032246858,0.9993346246509263,85.94957511148083,-4.081594180547432,-76.93415863723038,-69.9824093602032,124.96026506223792,149.9279510712706,149.98913293045263,0.00039494470774091627,0.00039494470774091627,0.08688783570300158,0.001184834123222749,0.9988151658767772
scale only,scale_only,cv_fold,3,2523,77.65531999993433,69.98637489400404,0.9982787614703041,0.9993179730687685,86.5289002292955,-4.139198496294742,-77.51065728037334,-69.98637489400404,124.96046635992565,149.92747694657837,149.9933456461321,0.00039635354736424893,0.00039635354736424893,0.07808164883075704,0.0015854141894569957,0.998414585810543
scale only,scale_only,cv_fold,4,2523,77.54760552568767,79.80835238478417,1.0014905744733158,0.9992030569824504,86.58776490686336,-4.04333354555145,-77.19761553105374,-79.78089072888162,124.95706837998601,149.91932661901248,149.9900827347662,0.0,0.0,0.09036860879904875,0.0027744748315497426,0.9972255251684503
depth linear,depth_only_linear,cv_fold,0,2531,32.180007939197786,27.41946966109947,0.6557693194949207,0.3269723433241166,38.08122822331133,8.094163807681465e-05,-0.1853119009622111,-2.580601546355851,57.41839255748536,72.58557537976762,72.63581950847467,0.08810746740418807,0.16910312129593047,0.3405768470960095,0.49506124061635715,0.5049387593836429
depth linear,depth_only_linear,cv_fold,1,2522,32.33602344884148,37.43802798300212,0.6759300147203684,0.32565546714329485,38.27937541218475,-0.0006100000904156744,0.4969073753801859,-2.4361024239912794,57.56258637688721,72.4419020882416,72.5198977887615,0.09357652656621729,0.17525773195876287,0.34417129262490087,0.4948453608247423,0.5051546391752577
depth linear,depth_only_linear,cv_fold,2,2532,32.14257601040181,27.530980209996336,0.661731461648649,0.32592294682902967,38.125559379052355,0.00012672718228456947,0.37863394671272277,7.510620217286821,57.52891356625114,72.47434534717196,72.51227074866355,0.09044233807266983,0.1796998420221169,0.34636650868878355,0.5039494470774092,0.4960505529225908
depth linear,depth_only_linear,cv_fold,3,2523,32.237434222205536,27.36913695606941,0.6460229590322605,0.32733547037751715,38.17900281047124,-0.0005117336470370493,-0.48334451718134397,-2.6303205814175925,57.368016657427575,72.638242886903,89.17299937081617,0.08561236623067776,0.17162108600871978,0.3428458184700753,0.4990091161315894,0.5009908838684106
depth linear,depth_only_linear,cv_fold,4,2523,32.74888868968375,32.43342238441207,0.6741293324796271,0.3270735508947077,38.5468744439252,0.0004996019714702538,-0.19965288864444894,-2.602651974247806,57.39697287213723,72.60476386626104,72.63254018118717,0.07609988109393578,0.15893777249306382,0.3214427269124059,0.49663099484740386,0.5033690051525961
