display_name,model_name,model_family,term,importance_type,importance_value
improved linear,study06_small_rf,random_forest,bbox_only__bbox_midpoint__object_depth,feature_importance,0.026013449332854738
improved linear,study06_small_rf,random_forest,bbox_expand_1_5x__bbox_midpoint__object_depth,feature_importance,0.07682614799274885
improved linear,study06_small_rf,random_forest,bbox_only__inner50_median__object_depth,feature_importance,0.03507793177558604
improved linear,study06_small_rf,random_forest,bbox_expand_2x__bbox_midpoint__object_depth,feature_importance,0.12004783282367044
improved linear,study06_small_rf,random_forest,bbox_expand_1_5x__inner50_median__object_depth,feature_importance,0.07407114979214326
improved linear,study06_small_rf,random_forest,bbox_expand_4x__bbox_midpoint__object_depth,feature_importance,0.05407649867706659
improved linear,study06_small_rf,random_forest,bbox_expand_2x__inner50_median__object_depth,feature_importance,0.12372953774101882
improved linear,study06_small_rf,random_forest,bbox_expand_4x__inner50_median__object_depth,feature_importance,0.06255891172021619
improved linear,study06_small_rf,random_forest,bbox_only__bbox_mean__object_depth,feature_importance,0.03841593055868297
improved linear,study06_small_rf,random_forest,bbox_expand_4x__bbox_mean__object_depth,feature_importance,0.09179871199705522
improved linear,study06_small_rf,random_forest,bbox_expand_2x__bbox_mean__object_depth,feature_importance,0.1451128114196571
improved linear,study06_small_rf,random_forest,full_image__bbox_midpoint__object_depth,feature_importance,0.016774327789903024
improved linear,study06_small_rf,random_forest,full_image__inner50_median__object_depth,feature_importance,0.016757253894845985
improved linear,study06_small_rf,random_forest,bbox_expand_1_5x__bbox_mean__object_depth,feature_importance,0.10072906487399894
improved linear,study06_small_rf,random_forest,full_image__bbox_mean__object_depth,feature_importance,0.018010439610551873
