display_name,model_name,model_family,split_name,role,config_name,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate,poster_rank
scale only,scale_only,linear,cv_oof,poster,scale_only,12631,77.30669815700125,79.70162262095332,0.9987572892902514,0.9993029178446999,86.25810361722307,-4.0876223357852846,-77.16918118164556,-79.69100722131478,124.95991943779815,149.92583788780405,149.99594770479334,0.00015834059061040298,0.0003958514765260074,0.08645396247328002,0.0015834059061040297,0.9984165940938959,
scale only,scale_only,linear,test,poster,scale_only,2234,77.54508103195549,69.98702595338806,0.9973622061799908,0.9993029043134327,86.51862211080997,-4.104430306701971,-77.44158730848744,-69.98702595338806,124.96498885370234,149.93110139201343,149.99265696717256,0.0004476275738585497,0.0004476275738585497,0.08057296329453895,0.0017905102954341987,0.9982094897045658,7
depth linear,depth_only_linear,linear,cv_oof,poster,depth_only_linear,12631,32.328758324528685,27.564532112390026,0.6627104692538425,0.3272793048177689,38.24257978921481,-2.1682129613731504e-05,0.0015576500317946724,-2.436860118671447,57.53014339793097,72.49245453667862,89.17299937081617,0.08677064365450084,0.17092866756393002,0.33908637479217796,0.49790198717441214,0.5020980128255879,
depth linear,depth_only_linear,linear,test,poster,depth_only_linear,2234,32.37187378524611,27.456490429785333,0.6508226655281134,0.3266649623692152,38.29938085095206,-0.0002569932432416877,-0.32058688603179136,-2.5431593147833453,57.455480494035264,72.5491353519373,72.62201424528395,0.08325872873769025,0.16786034019695614,0.3415398388540734,0.4991047448522829,0.500895255147717,6
linear+bb,depth_geometry_metadata_linear,linear,cv_oof,poster,depth_geometry_metadata_linear,12631,13.416830640980649,10.982684508771257,0.22289954449921687,0.1575428253449104,18.875899994251295,0.7563702111026871,0.03751697955247938,0.712364883880781,29.283011376147584,34.562515553835006,935.8903584323938,0.24384450954002057,0.46338373842134434,0.7731771039505977,0.5152402818462513,0.4847597181537487,
linear+bb,depth_geometry_metadata_linear,linear,test,poster,depth_geometry_metadata_linear,2234,13.338714625947857,11.07865236741953,0.21484614445914443,0.15594120036465997,16.91803505607305,0.8048233178524024,-0.09340209754567094,1.0399787721554716,29.09715048485859,34.63326641478494,72.73914065767059,0.25917636526410026,0.4619516562220233,0.7658907788719785,0.5237242614145031,0.4762757385854969,5
improved linear,stacked_rf_depth_geometry_metadata_linear,stacked_linear,cv_oof,poster,random_forest_top_24,12631,12.09302773226803,9.745452987231317,0.19195399897583632,0.14382628046860582,16.497372194090374,0.8139007604557358,0.03703185960584393,0.27498024882923744,25.919670372829884,30.692546850423525,683.3213292721791,0.2772543741588156,0.5093816799936663,0.8031034755759638,0.5072440820204259,0.4927559179795741,
improved linear,stacked_rf_depth_geometry_metadata_linear,stacked_linear,test,poster,random_forest_top_24,2234,11.91052831725336,9.627403640747918,0.18517284403047599,0.13962719648309485,15.256315031785945,0.841281560103945,-0.4107820445192435,0.03557200832957008,26.000369190525387,30.87859311324145,52.09618445381848,0.2784243509400179,0.5120859444941809,0.8030438675022381,0.5013428827215757,0.4986571172784244,4
RF,raw_depth_geometry_metadata_rf,random_forest,cv_oof,poster,rf_deep,12631,7.522492210400982,5.656812169312175,0.0971600663641854,0.07509839419839409,10.411034801206956,0.925885556874,-0.035383420411896724,0.01629629629630358,17.224646543070463,21.952882675195198,57.72397885739991,0.46338373842134434,0.7140368933576122,0.932784419285884,0.5032855672551658,0.4806428627978782,
RF,raw_depth_geometry_metadata_rf,random_forest,test,poster,rf_deep,2234,7.502075564573945,5.558185690943056,0.09610380542335388,0.07482402657527683,10.435549988774246,0.9257393449875309,-0.1882829596259188,0.0,17.31814733268686,21.69167186748435,53.86457349335396,0.46060877350044765,0.7179946284691137,0.9315129811996419,0.4941808415398389,0.4874664279319606,3
RF+jitter,rf_winner_baseline,aggregated_rf,cv_oof,poster,rf_deep,12631,6.598751440490791,4.704854497354496,0.08613759191524578,0.06238314162373413,9.385630798897836,0.9397659609375194,-0.05645255442346125,0.00833333333333286,15.58639448514451,20.128648629065843,58.325356829161166,0.5195946480880373,0.7738896366083445,0.9488559892328399,0.5020980128255879,0.478584435119943,
RF+jitter,rf_winner_baseline,aggregated_rf,test,poster,rf_deep,2234,6.6757280572450854,4.7399793173129865,0.08622076617998889,0.06328794751056026,9.56409851198558,0.9376241938455531,-0.28166809890560696,0.0,15.696878367003373,20.66145618086854,56.03097703222704,0.5170098478066248,0.770367054610564,0.945389435989257,0.4923903312444047,0.4914950760966876,2
XGBoost+jitter,xgb_winner_baseline,aggregated_xgb,cv_oof,internal,xgb_deep,12631,6.268843211920808,4.422393798828125,0.08351398029642032,0.06321563720703124,8.824208201671782,0.946756506141966,0.0018414172789478762,-0.1678924560546875,14.467872619628906,18.691932678222656,56.832611083984375,0.5396247328002534,0.7900403768506057,0.9605731929380097,0.4858681022880215,0.5141318977119784,
XGBoost+jitter,xgb_winner_baseline,aggregated_xgb,test,internal,xgb_deep,2234,6.380536314196744,4.4890899658203125,0.08386424084004057,0.0621390872531467,9.059028878358333,0.9440382382494261,-0.15261422125697668,-0.2808523178100586,14.860373687744142,19.00614318847656,55.79447937011719,0.5411817367949866,0.788272157564906,0.9561324977618622,0.473142345568487,0.526857654431513,
ensemble,tuned_weight_blend,aggregated_blend,cv_oof,poster,rf_0.21_xgb_0.79,12631,6.245122862437655,4.40228879465856,0.08268789048826086,0.06139692355703963,8.827935743036774,0.9467115141744746,-0.010400316778556044,-0.12348718261718261,14.571006376934491,18.760558399812496,55.81053783681077,0.5395455625049481,0.7914654421660993,0.9593064682131265,0.48665980524107355,0.5133401947589264,
ensemble,tuned_weight_blend,aggregated_blend,test,poster,rf_0.21_xgb_0.79,2234,6.353539620734678,4.478128168741854,0.08305270764542814,0.06071121525733836,9.060006983361369,0.9440261531937683,-0.17971553556318695,-0.3004714247385678,14.733701348337208,19.183326007454916,55.53766471249361,0.535810205908684,0.7873769024171889,0.955237242614145,0.4677708146821844,0.5322291853178156,1
