model_name,split_name,grouping,weather,time_of_day,distance_range,count,mean_true_distance_m,std_true_distance_m,mean_prediction_m,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
scale only,cv_oof,weather,clear_sky,,,6414,77.14764577486747,37.76205841489366,0.416941558269477,77.00314805177315,69.98447598507555,0.9988799453768608,0.9994172681672115,85.79197314605916,-4.161572041434548,-76.730704216598,-69.98435078091583,124.96517211650752,149.93895534580716,149.99593854238194,0.0003118178983473651,0.0007795447458684129,0.08356719675709386,0.0031181789834736516,0.9968818210165263
scale only,cv_oof,weather,light_rain,,,6390,77.29890453834116,38.462690684607686,0.09003924249849858,77.20886529584266,69.98566460654511,0.9986488424501033,0.9992094210490539,86.24957250565848,-4.028455112592357,-77.20886529584266,-69.98566460654511,124.9489362289606,149.91295575414955,149.99332673255958,0.0,0.0,0.08701095461658842,0.0,1.0
scale only,cv_oof,time_of_day,,10AM,,8498,77.04283360790774,37.95557412334891,0.343615415549958,76.90484948899388,69.98239803442874,0.9988249952248066,0.9993486162015868,85.77577509821516,-4.1071448111021125,-76.69921819235779,-69.98232819937591,124.96093328598808,149.92529045642357,149.9891029955619,0.0002353494939985879,0.0005883737349964697,0.08260767239350435,0.002353494939985879,0.9976465050600141
scale only,cv_oof,time_of_day,,8PM,,4306,77.578959591268,38.42049733358124,0.07653741592250088,77.5024221753455,79.77837903553356,0.9986454397312906,0.9991872128881845,86.50187766347354,-4.069032838501042,-77.5024221753455,-79.77837903553356,124.95554143607023,149.92468809421928,149.99593854238194,0.0,0.0,0.09057129586623316,0.0,1.0
scale only,cv_oof,distance_range,,,far,3175,129.4283464566929,14.719288848138294,0.10594601090157908,129.32240044579135,124.93787321483386,0.9992099050483159,0.9995423654489639,130.16322052770937,-77.19930894650292,-129.32240044579135,-124.93787321483386,149.94964986902698,149.96218262696826,149.99593854238194,0.0,0.0,0.0,0.0,1.0
scale only,cv_oof,distance_range,,,mid,4273,84.94734378656682,11.168697191096301,0.29699178527142117,84.72379144107717,79.98716143654288,0.9973825200601356,0.999409235452553,85.5179817013559,-57.6286443725397,-84.6503520012954,-79.98716143654288,99.95389967995365,99.96812847173116,99.98859111497042,0.000468055230517201,0.000936110461034402,0.001404165691551603,0.0016381933068102036,0.9983618066931897
scale only,cv_oof,distance_range,,,near,5356,40.113890963405524,14.297271517198844,0.30698084974393863,40.07458151631768,39.95649763969236,0.9996032703805047,0.9988336226363399,42.56020019568494,-7.861372529022887,-39.806910113661594,-39.955424485484784,59.947874838000544,59.96687790062,89.09297503530979,0.0,0.00018670649738610905,0.2027632561613144,0.0024271844660194173,0.9975728155339806
scale only,cv_oof,weather__distance_range,clear_sky,,far,1530,129.83333333333334,14.695882220825192,0.06145266459221406,129.77188066874112,124.95365272413778,0.9995239322488585,0.9996327294043406,130.6009368071351,-77.97711388316517,-129.77188066874112,-124.95365272413778,149.95982952497158,149.96919351766704,149.99593854238194,0.0,0.0,0.0,0.0,1.0
scale only,cv_oof,weather__distance_range,clear_sky,,mid,2215,85.05643340857787,11.234579515748617,0.5012345007185367,84.69687237340673,79.9900983293393,0.9958005723439828,0.9995037559692594,85.55773725254343,-56.996920700536414,-84.55519890785935,-79.9900983293393,99.96121848296362,99.97267409342307,99.98859111497042,0.0009029345372460496,0.0018058690744920992,0.002708803611738149,0.003160270880361174,0.9968397291196388
scale only,cv_oof,weather__distance_range,clear_sky,,near,2669,40.382165605095544,14.263618131600493,0.5507703854712548,40.36854322735227,39.968442271817246,1.0010663490312885,0.9989511200877825,42.83875642505849,-8.020161297787727,-39.831395219624284,-39.966692880772264,59.9500851443956,59.970923684582544,89.09297503530979,0.0,0.0003746721618583739,0.19857624578493818,0.004870738104158861,0.9951292618958412
scale only,cv_oof,weather__distance_range,light_rain,,far,1645,129.0516717325228,14.731035573217984,0.1473288801133289,128.90434285240946,124.92257116833778,0.998917831117112,0.9994571869586062,129.75477911658496,-76.58542954034473,-128.90434285240946,-124.92257116833778,149.9377237776416,149.94853221879248,149.99332673255958,0.0,0.0,0.0,0.0,1.0
scale only,cv_oof,weather__distance_range,light_rain,,mid,2058,84.82993197278911,11.096153567757593,0.07716787141556061,84.75276410137356,79.98044607143939,0.9990851508625059,0.999330289722012,85.4751726317514,-58.33829399122991,-84.75276410137356,-79.98044607143939,99.94156485268027,99.95887176276919,99.98772447151428,0.0,0.0,0.0,0.0,1.0
scale only,cv_oof,weather__distance_range,light_rain,,near,2687,39.847413472273914,14.325648510845259,0.06482444079112626,39.782589031482786,39.94903064921413,0.9981499927776231,0.9987201343505319,42.28169327297543,-7.7111634019849316,-39.782589031482786,-39.94903064921413,59.94631639436058,59.961992783700715,59.993103518151344,0.0,0.0,0.20692221808708597,0.0,1.0
scale only,cv_oof,time_of_day__distance_range,,10AM,far,2044,129.93639921722112,14.71420050914777,0.1187441396661794,129.81765507755495,124.94340499516417,0.999132584350558,0.9995556686707757,130.6582227709567,-77.84971963541508,-129.81765507755495,-124.94340499516417,149.95110252562267,149.96482078353256,149.9891029955619,0.0,0.0,0.0,0.0,1.0
scale only,cv_oof,time_of_day__distance_range,,10AM,mid,2895,84.94645941278065,11.166299860585184,0.40493840545423876,84.64991711309065,79.98897063618637,0.996540141271028,0.999421107690515,85.47326665930431,-57.59250047578374,-84.54152100732641,-79.98897063618637,99.95348466093556,99.96873093858608,99.98859111497042,0.000690846286701209,0.001381692573402418,0.002072538860103627,0.0024179620034542313,0.9975820379965458
scale only,cv_oof,time_of_day__distance_range,,10AM,near,3559,40.23602135431301,14.203610521903618,0.42288117338461667,40.21596345505765,39.96563897249102,1.000506911499927,0.9989983454793844,42.6689738118244,-8.02457765794629,-39.8131401809284,-39.96457541956684,59.95555454237162,59.97243175897176,89.09297503530979,0.0,0.0002809778027535825,0.1955605507164934,0.003652711435796572,0.9963472885642034
scale only,cv_oof,time_of_day__distance_range,,8PM,far,1131,128.51016799292663,14.683957125964778,0.08281658986281418,128.4273514030638,124.92431066227218,0.9993496428964301,0.9995151913927549,129.2638192352159,-76.49394164174535,-128.4273514030638,-124.92431066227218,149.94692274105722,149.95786807995756,149.99593854238194,0.0,0.0,0.0,0.0,1.0
scale only,cv_oof,time_of_day__distance_range,,8PM,mid,1378,84.94920174165458,11.17373176946548,0.07020988002522587,84.87899186162934,79.98243288828513,0.999152249083696,0.9993774556412498,85.6118461564929,-57.70447944651562,-84.87899186162934,-79.98243288828513,99.95461813760438,99.96592481950856,99.98758711365889,0.0,0.0,0.0,0.0,1.0
scale only,cv_oof,time_of_day__distance_range,,8PM,near,1797,39.872008903728435,14.477940967244127,0.07743758216621295,39.79457132156222,39.932180199733715,0.9978135882747592,0.9984355165544676,42.343946840732926,-7.553996506315627,-39.79457132156222,-39.932180199733715,59.9338855446187,59.95284108015834,59.993103518151344,0.0,0.0,0.21702838063439064,0.0,1.0
scale only,test,weather,clear_sky,,,1133,77.59488084730803,37.62207022439134,0.5180649909417954,77.28268392651076,69.98232298375426,0.9959768293843029,0.9994055508676275,86.02432489567428,-4.228259877330241,-77.07681585636624,-69.98232298375426,124.97330339758736,149.94162282945248,149.98499504222968,0.00088261253309797,0.00088261253309797,0.07149161518093557,0.00353045013239188,0.9964695498676082
scale only,test,weather,light_rain,,,1127,77.55545696539485,38.74518356236009,0.07245843691192706,77.48299852848294,69.98297405253507,0.9987980976975067,0.9992136506167613,86.6248324430502,-3.9986113339011915,-77.48299852848294,-69.98297405253507,124.94939920634187,149.91976237638025,149.99263750954427,0.0,0.0,0.0878438331854481,0.0,1.0
scale only,test,time_of_day,,10AM,,1500,77.07,38.26092567271907,0.4089950936973708,76.81650392195179,69.98062894508968,0.9966863746728262,0.9993401476321083,85.86710940072233,-4.03666122522363,-76.66100490630262,-69.98062894508968,124.96756432269848,149.93041202177832,149.98499504222968,0.0006666666666666666,0.0006666666666666666,0.08066666666666666,0.0026666666666666666,0.9973333333333333
scale only,test,time_of_day,,8PM,,760,78.57236842105263,38.01879763140794,0.07254691130360472,78.49982150974904,79.82629018812852,0.9987600549845603,0.9992143931828236,87.21962834347468,-4.26297985490514,-78.49982150974904,-79.82629018812852,124.95690578717513,149.9303656815839,149.99263750954427,0.0,0.0,0.07763157894736843,0.0,1.0
scale only,test,distance_range,,,far,561,130.0891265597148,14.76467478540391,0.07661895397807948,130.01250760573672,124.94258977626716,0.9994042086241736,0.9995497346227376,130.8481071803777,-77.53931667712705,-130.01250760573672,-124.94258977626716,149.9514392859767,149.9603510113591,149.99263750954427,0.0,0.0,0.0,0.0,1.0
scale only,test,distance_range,,,mid,754,85.0,11.180339887498949,0.49737828958137387,84.59098280025532,79.99208037721718,0.9953060157747599,0.9993917433124558,85.45178053602109,-57.416054374210496,-84.50262171041862,-79.99208037721718,99.95173787899671,99.96866343629691,99.98771267597309,0.001326259946949602,0.001326259946949602,0.003978779840848806,0.002652519893899204,0.9973474801061007
