display_name,model_name,model_family,term,importance_type,importance_value
improved linear,study06_small_rf,random_forest,bbox_only__bbox_midpoint__object_depth,feature_importance,0.02869879224847412
improved linear,study06_small_rf,random_forest,bbox_expand_1_5x__bbox_midpoint__object_depth,feature_importance,0.07719496195101713
improved linear,study06_small_rf,random_forest,bbox_only__inner50_median__object_depth,feature_importance,0.03596140041552072
improved linear,study06_small_rf,random_forest,bbox_expand_2x__bbox_midpoint__object_depth,feature_importance,0.12322449611312067
improved linear,study06_small_rf,random_forest,bbox_expand_1_5x__inner50_median__object_depth,feature_importance,0.07488210286021399
improved linear,study06_small_rf,random_forest,bbox_expand_4x__bbox_midpoint__object_depth,feature_importance,0.05584066642903304
improved linear,study06_small_rf,random_forest,bbox_expand_2x__inner50_median__object_depth,feature_importance,0.1266089153113295
improved linear,study06_small_rf,random_forest,bbox_expand_4x__inner50_median__object_depth,feature_importance,0.060929226292161937
improved linear,study06_small_rf,random_forest,bbox_only__bbox_mean__object_depth,feature_importance,0.034901640514056906
improved linear,study06_small_rf,random_forest,bbox_expand_4x__bbox_mean__object_depth,feature_importance,0.09102018605846827
improved linear,study06_small_rf,random_forest,bbox_expand_2x__bbox_mean__object_depth,feature_importance,0.13937416198456648
improved linear,study06_small_rf,random_forest,full_image__bbox_midpoint__object_depth,feature_importance,0.016636290185812475
improved linear,study06_small_rf,random_forest,full_image__inner50_median__object_depth,feature_importance,0.016625466667211958
improved linear,study06_small_rf,random_forest,bbox_expand_1_5x__bbox_mean__object_depth,feature_importance,0.10027871022122314
improved linear,study06_small_rf,random_forest,full_image__bbox_mean__object_depth,feature_importance,0.017822982747789744
