display_name,model_name,split_name,true_distance_m,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
scale only,scale_only,cv_oof,20.0,1087,20.06913732407116,19.95227002518086,1.0034568662035581,0.9976135012590429,20.28683428102609,0.0,-19.741288289902588,-19.952194694034144,19.984660928847532,19.988619366152736,89.09297503530979,0.0,0.0,0.9981600735970562,0.0018399264029438822,0.9981600735970562
scale only,scale_only,cv_oof,30.0,1065,29.945167364727574,29.961892519318127,0.9981722454909191,0.9987297506439375,29.945432684231278,0.0,-29.945167364727574,-29.961892519318127,29.98592945252393,29.98857291599118,29.99685063931079,0.0,0.0,0.0,0.0,1.0
scale only,scale_only,cv_oof,40.0,1022,40.0150152574961,39.9549223062122,1.0003753814374028,0.9988730576553049,40.058446965438186,0.0,-39.296654295709565,-39.954190150911145,39.98448904436073,39.988562172477636,69.09297503530979,0.0,0.0009784735812133072,0.0009784735812133072,0.00684931506849315,0.9931506849315068
scale only,scale_only,cv_oof,50.0,1064,49.92231102225287,49.9542428643394,0.9984462204450572,0.999084857286788,49.92324794825083,0.0,-49.75313642082393,-49.9542428643394,49.98247562846863,49.98569433049433,49.993796390643446,0.0,0.0,0.0,0.0018796992481203006,0.9981203007518797
scale only,scale_only,cv_oof,60.0,1118,59.85690390506186,59.946054706876794,0.9976150650843644,0.9991009117812799,59.87092467640975,0.0,-59.71100993939234,-59.946054706876794,59.97858976352246,59.983086867720054,59.99382702975414,0.0,0.0,0.0,0.0017889087656529517,0.998211091234347
scale only,scale_only,cv_oof,70.0,1065,69.7931498998304,69.95023624267132,0.9970449985690059,0.9992890891810189,69.83318243322566,0.0,-69.55301137469588,-69.95023624267132,69.97747672125926,69.9817873791803,69.9924290542779,0.0,0.0,0.0,0.003755868544600939,0.996244131455399
scale only,scale_only,cv_oof,80.0,1095,79.80989314215465,79.95262222391656,0.997623664276933,0.9994077777989571,79.86190426061876,0.0,-79.76437076124523,-79.95262222391656,79.98084615457648,79.9852957606835,79.99222678009664,0.0,0.0,0.0018264840182648401,0.0018264840182648401,0.9981735159817352
scale only,scale_only,cv_oof,90.0,1047,89.85596597732393,89.95283878097587,0.9983996219702659,0.9994759864552875,89.89509490058857,0.0,-89.84812243403512,-89.95283878097587,89.98005988466626,89.98386051649044,89.99144416339233,0.0009551098376313276,0.0009551098376313276,0.0009551098376313276,0.0009551098376313276,0.9990448901623686
scale only,scale_only,cv_oof,100.0,1066,99.64730470495854,99.94619309938943,0.9964730470495854,0.9994619309938944,99.77184950007238,0.0,-99.64730470495854,-99.94619309938943,99.97563062262991,99.97979650965297,99.98859111497042,0.0009380863039399625,0.0028142589118198874,0.0028142589118198874,0.0,1.0
scale only,scale_only,cv_oof,115.0,1139,114.92939978303852,114.94352332535688,0.9993860850699,0.9995088984813641,114.92941143250705,0.0,-114.92939978303852,-114.94352332535688,114.97108517210462,114.97763183927124,114.99207729309128,0.0,0.0,0.0,0.0,1.0
scale only,scale_only,cv_oof,125.0,1018,124.9242120950952,124.94320236077974,0.9993936967607617,0.9995456188862378,124.92422731093305,0.0,-124.9242120950952,-124.94320236077974,124.97151028635462,124.97771188259576,124.993655951826,0.0,0.0,0.0,0.0,1.0
scale only,scale_only,cv_oof,150.0,1018,149.824348870039,149.93685277494058,0.9988289924669265,0.9995790184996038,149.85442460102516,0.0,-149.824348870039,-149.93685277494058,149.9677443057439,149.97455354904415,149.99593854238194,0.0,0.0,0.0,0.0,1.0
scale only,scale_only,test,20.0,177,19.94434166126497,19.9543039189039,0.9972170830632486,0.997715195945195,19.94438934637449,0.0,-19.94434166126497,-19.9543039189039,19.98499275613976,19.987322976714616,19.991719522622347,0.0,0.0,1.0,0.0,1.0
scale only,scale_only,test,30.0,193,29.95120581268673,29.963403577700443,0.9983735270895576,0.9987801192566814,29.95127390922192,0.0,-29.95120581268673,-29.963403577700443,29.985192015730977,29.9873352477434,29.995382798521096,0.0,0.0,0.0,0.0,1.0
scale only,scale_only,test,40.0,186,39.93401192662812,39.958194806304896,0.9983502981657031,0.9989548701576224,39.93408092268262,0.0,-39.93401192662812,-39.958194806304896,39.98562863332245,39.98890119348405,39.993648309776404,0.0,0.0,0.0,0.0,1.0
scale only,scale_only,test,50.0,186,49.91659141590315,49.9558389566977,0.998331828318063,0.9991167791339539,49.91727143713367,0.0,-49.41491329295458,-49.9558389566977,49.98252375807168,49.98604991487298,49.98918972428384,0.0,0.0,0.0,0.005376344086021506,0.9946236559139785
scale only,scale_only,test,60.0,203,59.81802470208312,59.947317855688304,0.9969670783680522,0.9991219642614717,59.84026280470065,0.0,-59.45688120026818,-59.947317855688304,59.976764930858565,59.982095128659395,59.99130833902095,0.0,0.0,0.0,0.0049261083743842365,0.9950738916256158
scale only,scale_only,test,70.0,189,69.92882916386169,69.94954811224054,0.9989832737694526,0.9992792587462933,69.92890864227998,0.0,-69.92882916386169,-69.94954811224054,69.97864389049636,69.98155417296205,69.98825476214044,0.0,0.0,0.0,0.0,1.0
scale only,scale_only,test,80.0,187,79.2577527563463,79.94833902653633,0.9907219094543288,0.9993542378317042,79.5246064313812,0.0,-78.90147328181759,-79.94833902653633,79.98091489125311,79.98414594054879,79.9934708075815,0.0,0.0,0.0106951871657754,0.0106951871657754,0.9893048128342246
scale only,scale_only,test,90.0,190,89.76019520806096,89.9527569440377,0.9973355023117882,0.9994750771559744,89.78474186048732,0.0,-89.76019520806096,-89.9527569440377,89.98082152182253,89.98432564647781,89.98945951668635,0.0,0.0,0.0,0.0,1.0
scale only,scale_only,test,100.0,188,99.41178438539526,99.94427094454836,0.9941178438539527,0.9994427094454836,99.65973453222992,0.0,-99.41178438539526,-99.94427094454836,99.97601198657512,99.9796049209256,99.98771267597309,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.0,1.0
scale only,scale_only,test,115.0,187,114.92066325159428,114.94487874586974,0.9993101152312546,0.9995206847466934,114.92068348188462,0.0,-114.92066325159428,-114.94487874586974,114.96901631076882,114.97812522794058,114.98575344583135,0.0,0.0,0.0,0.0,1.0
scale only,scale_only,test,125.0,185,124.92872120857706,124.94201809043629,0.9994297696686166,0.9995361447234903,124.92873187392689,0.0,-124.92872120857706,-124.94201809043629,124.97343733600434,124.97810338672411,124.98467523147319,0.0,0.0,0.0,0.0,1.0
scale only,scale_only,test,150.0,189,149.92084293747837,149.9363460073734,0.999472286249856,0.999575640049156,149.92085867866504,0.0,-149.92084293747837,-149.9363460073734,149.9651370082932,149.97358432467195,149.99263750954427,0.0,0.0,0.0,0.0,1.0
depth linear,depth_only_linear,cv_oof,20.0,1087,57.2409539949324,57.20336213374516,2.86204769974662,2.860168106687258,57.24138023561984,0.0,57.2409539949324,57.20336213374516,57.3636055964667,57.36733277439432,57.37060454818133,0.0,0.0,0.0,1.0,0.0
depth linear,depth_only_linear,cv_oof,30.0,1065,47.250906940124665,47.20419969391523,1.5750302313374887,1.5734733231305076,47.25097353542757,0.0,47.250906940124665,47.20419969391523,47.36533214783555,47.3677476062856,47.370192235647764,0.0,0.0,0.0,1.0,0.0
depth linear,depth_only_linear,cv_oof,40.0,1022,37.17463666894868,37.202736803989914,0.929365916723717,0.9300684200997479,37.18695615715315,0.0,37.17463666894868,37.202736803989914,37.36381107305563,37.36702559891108,37.37013874716311,0.0,0.0,0.0,1.0,0.0
depth linear,depth_only_linear,cv_oof,50.0,1064,27.217807047443262,27.20251517534603,0.5443561409488652,0.5440503035069206,27.22497159967575,0.0,27.217807047443262,27.20251517534603,27.36306707951276,27.366493077584455,27.37020702519223,0.0,0.0,0.0018796992481203006,1.0,0.0
depth linear,depth_only_linear,cv_oof,60.0,1118,17.221047930492688,17.200702213279584,0.28701746550821144,0.28667837022132636,17.228818730562374,0.0,17.221047930492688,17.200702213279584,17.361865915173084,17.365140856901466,17.36976402166755,0.0008944543828264759,0.0008944543828264759,1.0,1.0,0.0
depth linear,depth_only_linear,cv_oof,70.0,1065,7.238737677225919,7.2022244266504885,0.10341053824608454,0.10288892038072127,7.242585729093476,0.0,7.211031745225763,7.202107382459559,7.362709219917574,7.365618027615429,9.17753207715841,0.0018779342723004694,1.0,1.0,0.9981220657276996,0.0018779342723004694
depth linear,depth_only_linear,cv_oof,80.0,1095,2.778498794417902,2.796455879751562,0.03473123493022377,0.034955698496894526,2.8616179390782324,0.0,-2.778498794417902,-2.796455879751562,2.835694326129132,2.8406357172926078,18.678575823258015,0.9981735159817352,0.9981735159817352,1.0,0.0,1.0
depth linear,depth_only_linear,cv_oof,90.0,1047,12.763385918824069,12.796755503603777,0.14181539909804522,0.14218617226226418,12.768826677710832,0.0,-12.763385918824069,-12.796755503603777,12.835116207548458,12.83859283844967,24.559406780221252,0.0,0.0,0.9990448901623686,0.0,1.0
depth linear,depth_only_linear,cv_oof,100.0,1066,22.80196450414076,22.801132565854623,0.2280196450414076,0.2280113256585462,22.81619098487076,0.0,-22.80196450414076,-22.801132565854623,22.83714765253172,22.84070101628642,39.17753207715841,0.0,0.0,0.0,0.0,1.0
depth linear,depth_only_linear,cv_oof,115.0,1139,37.75142223439729,37.798215811790854,0.328273236820846,0.3286801374938335,37.75150298074815,0.0,-37.75142223439729,-37.798215811790854,37.836410582424236,37.84041553700659,37.90793540529529,0.0,0.0,0.0,0.0,1.0
