image_path,label_path,stratum_key,selection_rank_within_stratum,true_distance_m,weather,time_of_day,context_window,context_scale,aggregation_method,crop_x1,crop_y1,crop_x2,crop_y2,local_bbox_x1,local_bbox_y1,local_bbox_x2,local_bbox_y2,focus_bbox_x1,focus_bbox_y1,focus_bbox_x2,focus_bbox_y2,surrounding_bbox_x1,surrounding_bbox_y1,surrounding_bbox_x2,surrounding_bbox_y2,object_depth,object_depth_percentile_5_95,surrounding_ring_depth,object_minus_ring,object_minus_ring_normalized,robust_global_range,global_percentile_5,global_percentile_95
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,2,20.0,clear_sky,10AM,full_image,full_image,inner50_median,0,0,2826,1590,1062,397,1182,509,1092,425,1152,481,1014,352,1230,554,2.4513588,0.25714205,2.43045855,0.02090025,0.00515979,4.05059731,1.40977991,5.46037722
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,2,20.0,clear_sky,10AM,full_image,full_image,bbox_mean,0,0,2826,1590,1062,397,1182,509,1092,425,1152,481,1014,352,1230,554,2.42881417,0.2515763,2.43045855,-0.00164437,-0.00040596,4.05059731,1.40977991,5.46037722
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,2,20.0,clear_sky,10AM,full_image,full_image,bbox_midpoint,0,0,2826,1590,1062,397,1182,509,1092,425,1152,481,1014,352,1230,554,2.46267676,0.2599362,2.43045855,0.03221822,0.00795394,4.05059731,1.40977991,5.46037722
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,2,20.0,clear_sky,10AM,bbox_expand_4x,4.0,inner50_median,882,229,1362,677,180,168,300,280,210,196,270,252,132,123,348,325,1.78442049,0.44251155,1.79100382,-0.00658333,-0.00399944,1.64606571,1.0560174,2.70208311
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,2,20.0,clear_sky,10AM,bbox_expand_4x,4.0,bbox_mean,882,229,1362,677,180,168,300,280,210,196,270,252,132,123,348,325,2.10009146,0.63428456,1.79100382,0.30908763,0.18777357,1.64606571,1.0560174,2.70208311
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,2,20.0,clear_sky,10AM,bbox_expand_4x,4.0,bbox_midpoint,882,229,1362,677,180,168,300,280,210,196,270,252,132,123,348,325,5.42591047,1.0,1.79100382,3.63490665,2.20823909,1.64606571,1.0560174,2.70208311
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,2,20.0,clear_sky,10AM,bbox_expand_2x,2.0,inner50_median,1002,341,1242,565,60,56,180,168,90,84,150,140,12,11,228,213,1.39422035,0.4576175,1.37481332,0.01940703,0.01254173,1.5473966,0.6861046,2.2335012
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,2,20.0,clear_sky,10AM,bbox_expand_2x,2.0,bbox_mean,1002,341,1242,565,60,56,180,168,90,84,150,140,12,11,228,213,1.64689362,0.62090677,1.37481332,0.2720803,0.17583101,1.5473966,0.6861046,2.2335012
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,2,20.0,clear_sky,10AM,bbox_expand_2x,2.0,bbox_midpoint,1002,341,1242,565,60,56,180,168,90,84,150,140,12,11,228,213,4.45368958,1.0,1.37481332,3.07887626,1.98971373,1.5473966,0.6861046,2.2335012
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,2,20.0,clear_sky,10AM,bbox_expand_1_5x,1.5,inner50_median,1032,369,1212,537,30,28,150,140,60,56,120,112,0,0,180,168,0.8570441,0.33212159,0.89267945,-0.03563535,-0.03174148,1.12267455,0.48417965,1.6068542
