model_name,split_name,grouping,weather,time_of_day,distance_range,count,mean_true_distance_m,std_true_distance_m,mean_prediction_m,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,distance_range,,,far,120,130.0,14.719601443879744,77.43660153741435,52.56339846258565,47.420847491440064,0.3971721468827693,0.3793667799315205,54.58081142065975,-12.74953065540441,-52.56339846258565,-47.420847491440064,72.8459859890475,74.36286971072951,78.73906880974737,0.0,0.0,0.0,0.0,1.0
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,distance_range,,,mid,160,85.0,11.180339887498949,77.85402532768418,11.199031418873048,10.225781588829854,0.12545895209462618,0.1183781959243239,13.537013133199121,-0.46600579654724394,-7.145974672315806,-7.206415840201345,22.887316807680644,24.399925081165915,28.437536766601028,0.2875,0.48125,0.80625,0.29375,0.70625
bbox_expand_1_5x__bbox_mean__object_depth,leave_one_out,distance_range,,,near,200,40.0,14.142135623730951,77.31337358071856,37.313373580718554,36.65872998512635,1.2431072036287105,0.9164682496281588,40.10005361661969,-7.04007150027887,37.313373580718554,36.65872998512635,56.25782460202243,60.26626214771087,70.1387154615906,0.0,0.0,0.175,1.0,0.0
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,leave_one_out,distance_range,,,far,120,130.0,14.719601443879744,85.26944264492786,44.73055735507216,47.142290625193624,0.33824910524927293,0.34610932219698,48.06793555947723,-9.663968133615638,-44.73055735507216,-47.142290625193624,68.54687586329914,71.8403571946962,97.01469019879042,0.0,0.0,0.11666666666666667,0.0,1.0
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,leave_one_out,distance_range,,,mid,160,85.0,11.180339887498949,76.70091033543191,14.6889055877344,12.873518127548138,0.17039637377852596,0.16534796181340272,18.257195988692686,-1.6666016429562913,-8.299089664568088,-6.930870657201538,30.137768335428905,34.22520998982877,43.381279609530964,0.25,0.4,0.7,0.29375,0.70625
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,leave_one_out,distance_range,,,near,200,40.0,14.142135623730951,73.44421389665982,33.797388709186365,33.04619759749454,1.1471004559032159,0.8652060317433142,38.31660347129581,-6.3408105078825905,33.444213896659825,33.04619759749454,58.34615439642763,62.99410445028925,80.68702848083348,0.04,0.11,0.26,0.975,0.025
bbox_expand_1_5x__bbox_mean__object_minus_ring,leave_one_out,distance_range,,,far,120,130.0,14.719601443879744,88.55808126553863,42.32891433540211,40.42974102589464,0.3199236815225772,0.3275217399153443,46.045340671275326,-8.78541568092524,-41.441918734461375,-40.42974102589464,65.89072483133528,71.76157056163873,84.13174746799262,0.008333333333333333,0.06666666666666667,0.11666666666666667,0.03333333333333333,0.9666666666666667
bbox_expand_1_5x__bbox_mean__object_minus_ring,leave_one_out,distance_range,,,mid,160,85.0,11.180339887498949,78.82068116713789,14.324493906662005,11.125025578360017,0.16828370658328123,0.14330722740215976,18.44202361698322,-1.7208658807149355,-6.179318832862114,-6.075029869871251,28.261852393836328,35.13893061285163,64.5706128255877,0.21875,0.43125,0.74375,0.3625,0.6375
bbox_expand_1_5x__bbox_mean__object_minus_ring,leave_one_out,distance_range,,,near,200,40.0,14.142135623730951,69.77238241661843,31.61431161869645,31.40940873958428,1.0188646729495239,0.7785507592112839,35.33552928122578,-5.242998147921823,29.77238241661842,31.222587319856174,52.510195151634456,56.69523298740777,72.2524423280161,0.045,0.11,0.255,0.94,0.06
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,leave_one_out,distance_range,,,far,120,130.0,14.719601443879744,90.98722436437484,39.6370591270208,39.99914812656222,0.2998612333922434,0.31485259461015636,44.826986461488524,-8.274424839469885,-39.012775635625154,-39.99914812656222,66.7492797499355,75.7492497984272,93.36199044771628,0.025,0.11666666666666667,0.20833333333333334,0.05,0.95
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,leave_one_out,distance_range,,,mid,160,85.0,11.180339887498949,78.8218304419294,17.59016828880123,15.764961084650714,0.2055050719660247,0.1913813684741838,21.225890141259832,-2.6043072983106503,-6.178169558070617,-7.734890565680569,32.97141224891165,38.7519126489336,60.74398365969615,0.1375,0.3375,0.60625,0.3625,0.6375
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,leave_one_out,distance_range,,,near,200,40.0,14.142135623730951,68.34313364502559,29.27626450712135,30.483735734490445,0.9701575502263071,0.7375776395051471,33.027397846024165,-4.454045042397809,28.34313364502558,30.483735734490445,47.596685035259284,53.09048893051171,75.41075854717309,0.045,0.155,0.3,0.935,0.065
