model_name,split_name,grouping,weather,time_of_day,distance_range,count,mean_true_distance_m,std_true_distance_m,mean_prediction_m,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
top_2_ols,leave_one_out,distance_range,,,far,120,130.0,14.719601443879744,94.55927502731765,36.24340851963904,34.49255646380449,0.27191950904866646,0.27426946546587444,39.81592415234779,-6.3168053051023625,-35.440724972682354,-34.49255646380449,58.479606351096386,60.451748540639336,78.17597711233236,0.025,0.03333333333333333,0.16666666666666666,0.03333333333333333,0.9666666666666667
top_2_ols,leave_one_out,distance_range,,,mid,160,85.0,11.180339887498949,80.8803753635939,14.636909960365653,13.429989368162637,0.17532646958927614,0.15200003024409287,17.811553049264205,-1.5380113762140244,-4.119624636406101,-5.060465631656577,28.416688154569073,34.91875347029657,54.57160002230357,0.19375,0.36875,0.75625,0.4,0.6
top_2_ols,leave_one_out,distance_range,,,near,200,40.0,14.142135623730951,64.57107402887345,27.83705828268753,26.23653780684905,0.8539213441959207,0.6325434350593839,33.35005200635857,-4.561129844134106,24.571074028873454,25.077803928166368,55.9289587729831,63.534457557288924,80.30662623258942,0.07,0.195,0.415,0.875,0.125
top_2_ridge_alpha_1,leave_one_out,distance_range,,,far,120,130.0,14.719601443879744,94.53797236743767,36.259502607869535,34.52917201103408,0.2720412106424283,0.27467707019876686,39.82852937913102,-6.321438857712168,-35.46202763256235,-34.52917201103408,58.49289749759322,60.43418729122518,78.14927975926294,0.025,0.03333333333333333,0.16666666666666666,0.03333333333333333,0.9666666666666667
top_2_ridge_alpha_1,leave_one_out,distance_range,,,mid,160,85.0,11.180339887498949,80.87635572838931,14.627020706199136,13.431697199450035,0.17520977732070106,0.1521233255409497,17.798578110548696,-1.5343150620584258,-4.123644271610699,-5.059692542944518,28.403977380467534,34.87151730251783,54.560966935052335,0.19375,0.3625,0.75625,0.4,0.6
top_2_ridge_alpha_1,leave_one_out,distance_range,,,near,200,40.0,14.142135623730951,64.58657938486675,27.840054481284284,26.20112925598533,0.8541264452786652,0.6329079689090882,33.34413991675876,-4.559158333941926,24.58657938486675,25.081334038951596,55.88208827548617,63.48005817570589,80.16485128368247,0.07,0.195,0.415,0.875,0.125
top_2_ridge_alpha_10,leave_one_out,distance_range,,,far,120,130.0,14.719601443879744,94.35092548298532,36.402005840210805,34.84537741826267,0.27311714381590896,0.2780265725304395,39.94255778308424,-6.363421179638569,-35.64907451701468,-34.84537741826267,58.61425813951298,60.31315376228643,77.93642593518459,0.025,0.041666666666666664,0.16666666666666666,0.03333333333333333,0.9666666666666667
top_2_ridge_alpha_10,leave_one_out,distance_range,,,mid,160,85.0,11.180339887498949,80.84089016606595,14.538253320330487,13.394710376157612,0.17415008814842348,0.15299804440644396,17.684021990375374,-1.5017970700486387,-4.159109833934062,-5.070554231996795,28.260552440889153,34.49145607352233,54.40926541163208,0.1875,0.3625,0.7625,0.4,0.6
top_2_ridge_alpha_10,leave_one_out,distance_range,,,near,200,40.0,14.142135623730951,64.72340361769028,27.865050589304754,26.142011379589967,0.8559057522318194,0.6311373957422711,33.29676517542483,-4.543372855736918,24.723403617690273,25.118593529128574,55.496728110559275,63.33199240065065,79.01718698143819,0.065,0.19,0.41,0.875,0.125
top_3_ols,leave_one_out,distance_range,,,far,120,130.0,14.719601443879744,95.76906724354077,35.14941547752465,33.96189023612107,0.26342399296741026,0.2566121028779168,39.63639797561422,-6.250972512990502,-34.230932756459225,-33.96189023612107,59.11670779700259,65.76978297508221,81.41045888791216,0.041666666666666664,0.075,0.21666666666666667,0.058333333333333334,0.9416666666666667
top_3_ols,leave_one_out,distance_range,,,mid,160,85.0,11.180339887498949,80.67594581888314,16.47351973660451,15.886601133296153,0.19639491084795496,0.18831142362505832,19.558860447356267,-2.0603921759932584,-4.324054181116876,-6.048644382237541,30.178541222868407,36.93344344778957,49.33897271618497,0.14375,0.325,0.68125,0.375,0.625
top_3_ols,leave_one_out,distance_range,,,near,200,40.0,14.142135623730951,64.01882157477544,26.272364375652295,23.090371123200285,0.8215092701879891,0.5677494713733274,32.121053838934564,-4.158810498618664,24.018821574775437,22.96498456243961,54.37665171086287,64.4012742776338,82.52902023724229,0.09,0.225,0.42,0.865,0.135
top_3_ridge_alpha_1,leave_one_out,distance_range,,,far,120,130.0,14.719601443879744,95.75308120955489,35.15902887887289,33.976463369400385,0.2634946174501998,0.2568355824896328,39.645050173629194,-6.254138476628812,-34.24691879044511,-33.976463369400385,59.13053093186782,65.78147401681514,81.38610116794278,0.041666666666666664,0.075,0.21666666666666667,0.058333333333333334,0.9416666666666667
top_3_ridge_alpha_1,leave_one_out,distance_range,,,mid,160,85.0,11.180339887498949,80.67273061272525,16.46664234403215,15.865779337375209,0.19631662722315588,0.18832501579963273,19.548536164876147,-2.0571621295157647,-4.32726938727477,-6.041947235866985,30.15453365751127,36.90421744497052,49.373923674895735,0.14375,0.325,0.68125,0.375,0.625
