image_path,label_path,stratum_key,selection_rank_within_stratum,true_distance_m,weather,time_of_day,full_image__inner50_median__object_depth,full_image__inner50_median__object_depth_percentile_5_95,full_image__inner50_median__object_minus_ring,full_image__inner50_median__object_minus_ring_normalized,full_image__bbox_mean__object_depth,full_image__bbox_mean__object_depth_percentile_5_95,full_image__bbox_mean__object_minus_ring,full_image__bbox_mean__object_minus_ring_normalized,full_image__bbox_midpoint__object_depth,full_image__bbox_midpoint__object_depth_percentile_5_95,full_image__bbox_midpoint__object_minus_ring,full_image__bbox_midpoint__object_minus_ring_normalized,bbox_expand_16x__inner50_median__object_depth,bbox_expand_16x__inner50_median__object_depth_percentile_5_95,bbox_expand_16x__inner50_median__object_minus_ring,bbox_expand_16x__inner50_median__object_minus_ring_normalized,bbox_expand_16x__bbox_mean__object_depth,bbox_expand_16x__bbox_mean__object_depth_percentile_5_95,bbox_expand_16x__bbox_mean__object_minus_ring,bbox_expand_16x__bbox_mean__object_minus_ring_normalized,bbox_expand_16x__bbox_midpoint__object_depth,bbox_expand_16x__bbox_midpoint__object_depth_percentile_5_95,bbox_expand_16x__bbox_midpoint__object_minus_ring,bbox_expand_16x__bbox_midpoint__object_minus_ring_normalized,bbox_expand_10x__inner50_median__object_depth,bbox_expand_10x__inner50_median__object_depth_percentile_5_95,bbox_expand_10x__inner50_median__object_minus_ring,bbox_expand_10x__inner50_median__object_minus_ring_normalized,bbox_expand_10x__bbox_mean__object_depth,bbox_expand_10x__bbox_mean__object_depth_percentile_5_95,bbox_expand_10x__bbox_mean__object_minus_ring,bbox_expand_10x__bbox_mean__object_minus_ring_normalized,bbox_expand_10x__bbox_midpoint__object_depth,bbox_expand_10x__bbox_midpoint__object_depth_percentile_5_95,bbox_expand_10x__bbox_midpoint__object_minus_ring,bbox_expand_10x__bbox_midpoint__object_minus_ring_normalized,bbox_expand_8x__inner50_median__object_depth,bbox_expand_8x__inner50_median__object_depth_percentile_5_95,bbox_expand_8x__inner50_median__object_minus_ring,bbox_expand_8x__inner50_median__object_minus_ring_normalized,bbox_expand_8x__bbox_mean__object_depth,bbox_expand_8x__bbox_mean__object_depth_percentile_5_95,bbox_expand_8x__bbox_mean__object_minus_ring,bbox_expand_8x__bbox_mean__object_minus_ring_normalized,bbox_expand_8x__bbox_midpoint__object_depth,bbox_expand_8x__bbox_midpoint__object_depth_percentile_5_95,bbox_expand_8x__bbox_midpoint__object_minus_ring,bbox_expand_8x__bbox_midpoint__object_minus_ring_normalized,bbox_expand_6x__inner50_median__object_depth,bbox_expand_6x__inner50_median__object_depth_percentile_5_95,bbox_expand_6x__inner50_median__object_minus_ring,bbox_expand_6x__inner50_median__object_minus_ring_normalized,bbox_expand_6x__bbox_mean__object_depth,bbox_expand_6x__bbox_mean__object_depth_percentile_5_95,bbox_expand_6x__bbox_mean__object_minus_ring,bbox_expand_6x__bbox_mean__object_minus_ring_normalized,bbox_expand_6x__bbox_midpoint__object_depth,bbox_expand_6x__bbox_midpoint__object_depth_percentile_5_95,bbox_expand_6x__bbox_midpoint__object_minus_ring,bbox_expand_6x__bbox_midpoint__object_minus_ring_normalized,bbox_expand_4x__inner50_median__object_depth,bbox_expand_4x__inner50_median__object_depth_percentile_5_95,bbox_expand_4x__inner50_median__object_minus_ring,bbox_expand_4x__inner50_median__object_minus_ring_normalized,bbox_expand_4x__bbox_mean__object_depth,bbox_expand_4x__bbox_mean__object_depth_percentile_5_95,bbox_expand_4x__bbox_mean__object_minus_ring,bbox_expand_4x__bbox_mean__object_minus_ring_normalized,bbox_expand_4x__bbox_midpoint__object_depth,bbox_expand_4x__bbox_midpoint__object_depth_percentile_5_95,bbox_expand_4x__bbox_midpoint__object_minus_ring,bbox_expand_4x__bbox_midpoint__object_minus_ring_normalized,bbox_expand_2x__inner50_median__object_depth,bbox_expand_2x__inner50_median__object_depth_percentile_5_95,bbox_expand_2x__inner50_median__object_minus_ring,bbox_expand_2x__inner50_median__object_minus_ring_normalized,bbox_expand_2x__bbox_mean__object_depth,bbox_expand_2x__bbox_mean__object_depth_percentile_5_95,bbox_expand_2x__bbox_mean__object_minus_ring,bbox_expand_2x__bbox_mean__object_minus_ring_normalized,bbox_expand_2x__bbox_midpoint__object_depth,bbox_expand_2x__bbox_midpoint__object_depth_percentile_5_95,bbox_expand_2x__bbox_midpoint__object_minus_ring,bbox_expand_2x__bbox_midpoint__object_minus_ring_normalized,bbox_expand_1_5x__inner50_median__object_depth,bbox_expand_1_5x__inner50_median__object_depth_percentile_5_95,bbox_expand_1_5x__inner50_median__object_minus_ring,bbox_expand_1_5x__inner50_median__object_minus_ring_normalized,bbox_expand_1_5x__bbox_mean__object_depth,bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,bbox_expand_1_5x__bbox_mean__object_minus_ring,bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,bbox_expand_1_5x__bbox_midpoint__object_depth,bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95,bbox_expand_1_5x__bbox_midpoint__object_minus_ring,bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized,bbox_only__inner50_median__object_depth,bbox_only__inner50_median__object_depth_percentile_5_95,bbox_only__inner50_median__object_minus_ring,bbox_only__inner50_median__object_minus_ring_normalized,bbox_only__bbox_mean__object_depth,bbox_only__bbox_mean__object_depth_percentile_5_95,bbox_only__bbox_mean__object_minus_ring,bbox_only__bbox_mean__object_minus_ring_normalized,bbox_only__bbox_midpoint__object_depth,bbox_only__bbox_midpoint__object_depth_percentile_5_95,bbox_only__bbox_midpoint__object_minus_ring,bbox_only__bbox_midpoint__object_minus_ring_normalized
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00281_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,2,20.0,clear_sky,10AM,2.4513588,0.25714205,0.02090025,0.00515979,2.42881417,0.2515763,-0.00164437,-0.00040596,2.46267676,0.2599362,0.03221822,0.00795394,2.46844435,0.30024393,0.05599403,0.01351522,2.41640019,0.2876821,0.00394988,0.00095338,2.50352025,0.30871016,0.09106994,0.02198145,2.88921165,0.45302008,0.06669497,0.02011151,2.87952828,0.45010011,0.0570116,0.01719155,3.45921373,0.62490117,0.63669705,0.1919926,3.05205894,0.50137329,0.09125638,0.02527758,3.05868125,0.50320763,0.09787869,0.02711193,4.0243268,0.7706868,1.06352425,0.29459109,2.51329589,0.49438947,0.05030131,0.01875218,2.64028454,0.54173047,0.17728996,0.06609317,4.51201773,1.0,2.04902315,0.76386975,1.78442049,0.44251155,-0.00658333,-0.00399944,2.10009146,0.63428456,0.30908763,0.18777357,5.42591047,1.0,3.63490665,2.20823909,1.39422035,0.4576175,0.01940703,0.01254173,1.64689362,0.62090677,0.2720803,0.17583101,4.45368958,1.0,3.07887626,1.98971373,0.8570441,0.33212159,-0.03563535,-0.03174148,1.17477548,0.61513449,0.28209603,0.25127142,4.32952833,1.0,3.43684888,3.06130469,1.1184032,0.15766565,0.0,0.0,1.33715558,0.22116574,0.0,0.0,4.51906395,1.0,0.0,0.0
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00289_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00289_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,6,20.0,clear_sky,10AM,1.23946643,0.42844158,0.0376265,0.01300621,1.21451199,0.41981568,0.01267207,0.0043803,1.2493546,0.43185959,0.04751468,0.01642422,3.0819869,0.27051766,0.13993168,0.02182439,2.96355891,0.25204708,0.02150369,0.00335381,3.07388306,0.26925375,0.13182783,0.02056048,3.33800697,0.30381111,0.33117437,0.0409391,3.06355929,0.26988445,0.05672669,0.00701244,3.3572979,0.30619581,0.3504653,0.04332381,1.56498909,0.30062537,-0.01175523,-0.00354688,1.55219233,0.29676424,-0.02455199,-0.00740801,1.57885504,0.30480911,0.00211072,0.00063686,1.5839088,0.31311208,-0.0071522,-0.00239976,1.5767554,0.31071192,-0.01430559,-0.00479992,1.58467007,0.31336751,-0.00639093,-0.00214433,1.59585428,0.42077317,0.1148268,0.05007164,1.50719726,0.38211318,0.02616978,0.01141165,1.61782706,0.43035466,0.13679957,0.05965313,2.30352378,0.47636137,-0.06839728,-0.09031847,2.30981278,0.48466599,-0.06210828,-0.08201385,2.30631661,0.4800493,-0.06560445,-0.08663053,2.35200906,0.34105118,-0.04182553,-0.0724326,2.38631845,0.40046747,-0.00751615,-0.01301631,2.35300136,0.34276962,-0.04083323,-0.07071416,2.58753228,0.54324236,0.0,0.0,2.58248901,0.53781698,0.0,0.0,2.59065747,0.54660433,0.0,0.0
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00366_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00366_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,19,20.0,clear_sky,10AM,4.52715158,0.63729612,0.03459549,0.00597581,4.49479532,0.6317071,0.00223923,0.00038679,4.53179169,0.63809763,0.03923559,0.00677732,4.06986809,0.61339841,0.02850676,0.00535839,4.03911734,0.60761821,-0.002244,-0.0004218,4.08074236,0.61544244,0.03938103,0.00740242,3.49554229,0.50447083,0.05585551,0.01153675,3.44616771,0.49427269,0.00648093,0.00133861,3.53579545,0.51278498,0.09610868,0.01985089,3.56379414,0.50699472,0.03393555,0.00770696,3.53377771,0.50017782,0.00391912,0.00089006,3.58269644,0.51128754,0.05283785,0.01199978,3.15235996,0.4971461,0.07757187,0.01880909,3.08197403,0.48007941,0.00718594,0.0017424,3.23148561,0.51633194,0.15669751,0.03799493,3.43153429,0.55927494,0.20592356,0.05018863,3.27053928,0.5200365,0.04492855,0.01095019,3.79317188,0.64741491,0.56756115,0.1383286,1.82372248,0.57705873,0.17173147,0.09004914,2.05047965,0.69596116,0.39848864,0.20895157,6.13164854,1.0,4.47965753,2.34895396,1.78513241,0.58242383,0.19832599,0.09747508,1.97315991,0.67483732,0.38635349,0.18988857,5.94492722,1.0,4.3581208,2.14196926,2.11964607,0.44714062,0.0,0.0,1.92332506,0.38647732,0.0,0.0,4.5756731,1.0,0.0,0.0
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00368_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00368_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,12,20.0,clear_sky,10AM,2.88673902,0.53152072,0.02050424,0.00662232,2.86865997,0.52568167,0.00242519,0.00078327,2.90610647,0.5377759,0.03987169,0.0128775,3.9393115,0.63623591,0.01598406,0.00381918,3.93094683,0.63423728,0.00761938,0.00182055,3.94796801,0.63830426,0.02464056,0.00588754,4.36741877,0.63305935,0.02335691,0.00545783,4.35804272,0.63086844,0.01398087,0.00326692,4.37533855,0.63490997,0.0312767,0.00730845,3.71993423,0.49826812,0.05403781,0.01672946,3.67479682,0.48429412,0.0089004,0.00275546,3.77288103,0.51465982,0.10698462,0.03312115,2.82104015,0.49923009,0.07710314,0.02379386,2.84483528,0.50657321,0.10089827,0.03113699,3.92341805,0.83942155,1.17948103,0.36398533,2.01624823,0.54458393,0.10144854,0.05262759,2.35464168,0.72012942,0.43984199,0.22817308,6.20419264,1.0,4.28939295,2.22517187,1.39825463,0.54195505,0.1061337,0.0758314,1.84823048,0.86345801,0.55610955,0.39733437,6.53207493,1.0,5.23995399,3.7438915,1.36832857,0.19272177,0.16441727,0.0406396,1.68339455,0.27059774,0.47948325,0.11851556,5.93518257,1.0,4.73127127,1.169445,1.72608316,0.25108461,0.0,0.0,1.80856645,0.26973801,0.0,0.0,5.48563337,1.0,0.0,0.0
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00370_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00370_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,5,20.0,clear_sky,10AM,5.83985758,0.82801676,0.04139376,0.00616571,5.80558777,0.82291218,0.00712395,0.00106113,5.86826897,0.83224871,0.06980515,0.01039766,5.36907148,0.70670358,0.02336597,0.00374443,5.3457551,0.7029671,4.959e-05,7.95e-06,5.40009975,0.7116759,0.05439425,0.00871674,4.82091999,0.65881312,0.03504848,0.00557069,4.79415369,0.65455882,0.00828218,0.00131639,4.8472538,0.66299868,0.06138229,0.00975625,4.49148083,0.55504568,0.07063484,0.01405383,4.43216276,0.54324349,0.01131678,0.00225164,4.55086803,0.56686163,0.13002205,0.02586978,3.32738233,0.52969184,0.17543364,0.04099806,3.2008462,0.50012091,0.0488975,0.01142713,3.55414176,0.5826845,0.40219307,0.09399073,3.65157938,0.57840726,0.30482912,0.07122284,3.47910476,0.53810884,0.1323545,0.03092442,4.45777655,0.76677395,1.11102629,0.25958953,3.06491828,0.64184229,0.54695082,0.16642743,2.99559259,0.62074771,0.47762513,0.14533285,5.88095665,1.0,3.36298919,1.02329794,3.28016281,0.62896152,0.46543384,0.13198318,2.93445849,0.53093007,0.11972952,0.03395173,4.23728132,0.90037184,1.42255235,0.4033935,3.60108805,0.63934778,0.0,0.0,3.15259337,0.5236176,0.0,0.0,4.58222675,0.89252217,0.0,0.0
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00389_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00389_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,23,20.0,clear_sky,10AM,2.22297812,1.0,1.21187162,0.84006191,1.27521682,0.88397241,0.26411033,0.18307964,2.47211671,1.0,1.46101022,1.01276325,3.30861402,1.0,2.39475715,1.36526318,1.4234134,0.81149518,0.50955653,0.29050076,3.54997396,1.0,2.6361171,1.50286371,3.63546801,1.0,2.96224183,1.43538245,1.38231993,0.66981627,0.70909375,0.34359812,3.86261892,1.0,3.18939275,1.54545059,3.76099992,1.0,3.01857561,1.51846646,1.47411942,0.7415421,0.73169512,0.36807244,4.02423286,1.0,3.28180856,1.65088335,2.5878377,1.0,1.86796927,1.69866571,1.11556602,0.8721056,0.39569759,0.35983351,2.68941474,1.0,1.96954632,1.7910363,2.49428272,1.0,1.90301573,2.61702286,1.00274515,1.0,0.41147816,0.56586382,2.69938779,1.0,2.1081208,2.89908288,2.98767376,1.0,2.22275293,2.40029821,1.14212036,1.0,0.37719953,0.40732883,3.37522554,1.0,2.61030471,2.81880619,2.90322256,0.97502913,2.61186928,0.91972978,0.76742196,0.22293964,0.47606868,0.1676403,3.27889824,1.0,2.98754495,1.05201822,2.83130717,0.83745119,0.0,0.0,0.80619597,0.21335474,0.0,0.0,3.51361465,1.0,0.0,0.0
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00395_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00395_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,26,20.0,clear_sky,10AM,5.42690849,0.72068477,0.01544476,0.00225969,5.41112804,0.71837597,-0.00033569,-4.911e-05,5.4601512,0.72554844,0.04868746,0.00712335,5.12285709,0.68344795,-0.00385427,-0.00061115,5.11960649,0.68293251,-0.00710487,-0.00112659,5.1325264,0.68498116,0.00581503,0.00092206,4.19399738,0.60329595,0.00517178,0.00090522,4.18789053,0.60222707,-0.00093508,-0.00016367,4.20916843,0.60595134,0.02034283,0.00356061,4.15460587,0.59873502,0.02364397,0.00417653,4.13609409,0.59546506,0.0051322,0.00090657,4.19676304,0.60618178,0.06580114,0.01162329,3.93190289,0.5231513,0.14607,0.03299167,3.82274747,0.49849723,0.03691459,0.00833761,4.15647936,0.57387461,0.37064648,0.08371498,3.64044428,0.57505534,0.28598094,0.06524385,3.54853892,0.554088,0.19407558,0.04427651,5.23880863,0.93970705,1.88434529,0.42989556,2.41727543,0.64566922,0.40542746,0.15138309,2.55762935,0.69807616,0.54578137,0.20379003,7.12491322,1.0,5.11306524,1.90917416,1.95555961,0.32677014,0.29233956,0.06771447,2.23941016,0.39251831,0.57619011,0.13346264,6.97082615,1.0,5.3076061,1.22939823,2.15594888,0.29726352,0.0,0.0,2.06709146,0.28005982,0.0,0.0,6.24109125,1.0,0.0,0.0
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00417_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00417_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,18,20.0,clear_sky,10AM,1.51185393,0.2100217,0.16263175,0.04936329,1.38458574,0.17139224,0.03536355,0.01073383,1.54412532,0.21981697,0.19490314,0.05915856,2.73760939,0.56080702,0.47960138,0.15455033,2.36085081,0.43939752,0.10284281,0.03314083,2.83776641,0.59308236,0.57975841,0.18682567,4.35407495,0.84402171,1.24676132,0.3491358,3.36040592,0.5657604,0.25309229,0.0708745,4.53975105,0.89601737,1.43243742,0.40113146,4.73732901,1.0,1.77140856,0.52969477,3.30260372,0.58995574,0.33668327,0.10067659,4.93471479,1.0,1.96879435,0.58871799,4.59054089,1.0,1.94791079,0.68547624,3.00495505,0.603907,0.36232495,0.12750335,4.74943447,1.0,2.10680437,0.74139142,4.91886234,1.0,3.16125739,1.69352392,2.29779696,0.8035148,0.54019201,0.28938741,5.16950607,1.0,3.41190112,1.82779681,5.73731327,1.0,4.65922511,3.00966347,2.02761984,1.0,0.94953167,0.61335753,6.15315342,1.0,5.07506526,3.27827871,5.71469307,0.96766748,4.87669539,0.8879104,1.78916264,0.25293772,0.95116496,0.17318065,6.28578043,1.0,5.44778275,0.9918895,5.06291294,0.8943682,0.0,0.0,1.62291896,0.23663258,0.0,0.0,5.73062754,1.0,0.0,0.0
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00435_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00435_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,28,20.0,clear_sky,10AM,2.23896885,0.43411948,-0.07460308,-0.01446498,2.26313829,0.43880576,-0.05043364,-0.00977871,2.2596035,0.43812039,-0.05396843,-0.01046408,2.60243487,0.40808696,0.06342793,0.01082546,2.56918597,0.40241225,0.03017902,0.00515076,2.61619973,0.41043625,0.07719278,0.01317476,2.45074177,0.56993325,0.35113955,0.1064788,2.23556042,0.50468212,0.13595819,0.04122767,2.48270845,0.57962676,0.38310623,0.11617231,2.76130486,0.5935807,0.45590448,0.12782685,2.47367764,0.51293556,0.16827726,0.04718171,2.85089302,0.6186995,0.54549265,0.15294565,3.12200546,0.73996674,1.10196304,0.31586177,2.31596541,0.50892702,0.29592299,0.08482205,3.26362991,0.78056134,1.24358749,0.35645637,2.85740685,0.67903046,1.11047196,0.31709892,2.09709835,0.46192186,0.35016346,0.09999033,2.9899807,0.71688736,1.24304581,0.35495582,3.01618338,0.85532699,1.97407126,0.60761926,1.55838239,0.40661576,0.51627028,0.15890802,3.62075114,1.0,2.57863903,0.79370526,2.88804507,0.88641137,2.11652374,0.68039145,1.39843559,0.40755185,0.62691426,0.20153193,3.50333118,1.0,2.73180985,0.87818532,2.74412823,0.74692543,0.0,0.0,1.32378995,0.3409203,0.0,0.0,3.78547859,1.0,0.0,0.0
C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00450_depth_20_clear_sky_10AM.png,C:\Users\depthlev\Desktop\droneImages\dataset\depth_20\clear_sky\10AM\HighresScreenshot00450_depth_20_clear_sky_10AM.txt,20.0|clear_sky|10AM,17,20.0,clear_sky,10AM,4.31846237,0.75133097,0.0144701,0.00288567,4.30791569,0.74922772,0.00392342,0.00078242,4.32680416,0.75299452,0.02281189,0.00454921,4.6374011,0.66202202,0.00822592,0.00131781,4.63127565,0.6610407,0.00210047,0.0003365,4.64177847,0.66272328,0.01260328,0.00201908,4.84001684,0.59821218,0.09552097,0.01630431,4.76416636,0.58526539,0.01967049,0.00335752,4.85107613,0.60009987,0.10658026,0.018192,4.28580856,0.54211559,0.10758781,0.02304636,4.20962381,0.52579608,0.03140306,0.00672684,4.32804012,0.551162,0.14981937,0.03209277,3.78229809,0.56688097,0.15132833,0.05096635,3.68044138,0.53257632,0.04947162,0.0166617,3.98963451,0.63671046,0.35866475,0.12079585,3.78996325,1.0,1.30302238,0.57647909,2.88855481,0.70412947,0.40161395,0.17768079,5.17707157,1.0,2.69013071,1.19015923,5.20301199,1.0,4.00845063,2.65005083,2.02116513,0.97145412,0.82660377,0.54648097,6.22887039,1.0,5.03430903,3.32826223,4.98031998,0.89284978,3.69682765,0.72246285,2.06715226,0.32353586,0.78365993,0.15314893,6.05742407,1.0,4.77393174,0.93295892,4.3203783,0.84327959,0.0,0.0,1.55684412,0.24580088,0.0,0.0,5.45781136,1.0,0.0,0.0
