model_name,split_name,grouping,weather,time_of_day,distance_range,count,mean_true_distance_m,std_true_distance_m,mean_prediction_m,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
top_3_ols,study_04_cv,distance_range,,,far,360,130.0,14.719601443879744,94.17426351983623,36.38689201609282,34.5727967567862,0.27285731978933764,0.26957124403423105,40.11840072850676,-6.428397278521776,-35.82573648016377,-34.5727967567862,58.085240116868576,62.99357386309543,88.11857791371808,0.013888888888888888,0.06111111111111111,0.175,0.030555555555555555,0.9694444444444444
top_3_ols,study_04_cv,distance_range,,,mid,480,85.0,11.180339887498949,83.04629654635846,14.826932565025484,12.707768639424927,0.17807463559014894,0.14826066217986666,18.321034987254336,-1.6852825840335797,-1.9537034536415343,-2.501928638025106,30.477340346301027,35.11270127329971,59.25270030607122,0.19583333333333333,0.39166666666666666,0.7208333333333333,0.45208333333333334,0.5479166666666667
top_3_ols,study_04_cv,distance_range,,,near,600,40.0,14.142135623730951,63.11496586489742,26.20686891155189,23.006393210456693,0.8143501814740873,0.5687676577333687,32.12234047786658,-4.159223788879928,23.114965864897417,22.455008675972408,53.49747912933475,62.63854332709523,86.56344052142774,0.11,0.225,0.43833333333333335,0.845,0.155
top_3_ridge_alpha_1,study_04_cv,distance_range,,,far,360,130.0,14.719601443879744,94.16062822894689,36.39881826295754,34.60868811447359,0.2729459623728483,0.26968668511991944,40.12790823139807,-6.431918549357714,-35.83937177105309,-34.60868811447359,58.02073672461698,62.99494542606601,88.11661420599111,0.013888888888888888,0.06111111111111111,0.175,0.030555555555555555,0.9694444444444444
top_3_ridge_alpha_1,study_04_cv,distance_range,,,mid,480,85.0,11.180339887498949,83.04222723313873,14.810488098906465,12.712513851820077,0.17787301658790688,0.1480989298753987,18.30048980652243,-1.679263417269051,-1.957772766861268,-2.490095888535322,30.43886976843264,35.0606901547928,59.16074641121182,0.19791666666666666,0.39375,0.7229166666666667,0.45208333333333334,0.5479166666666667
top_3_ridge_alpha_1,study_04_cv,distance_range,,,near,600,40.0,14.142135623730951,63.12605971848178,26.213224335103153,23.0405181829923,0.8145621453138809,0.5696224460623003,32.12368084139313,-4.159654353998439,23.12605971848178,22.478922344803102,53.491102157615806,62.60043859083486,86.49137777942936,0.10833333333333334,0.225,0.43833333333333335,0.845,0.155
top_3_ridge_alpha_10,study_04_cv,distance_range,,,far,360,130.0,14.719601443879744,94.0440725420941,36.500580739822375,34.78933679263968,0.2737025214511375,0.2712089856491037,40.21071631508568,-6.462623261102914,-35.9559274579059,-34.78933679263968,58.05014707933654,63.00922124479909,88.09731532385607,0.013888888888888888,0.05555555555555555,0.16666666666666666,0.030555555555555555,0.9694444444444444
top_3_ridge_alpha_10,study_04_cv,distance_range,,,mid,480,85.0,11.180339887498949,83.00737311999978,14.673168994111728,12.760973258484526,0.1761885125880696,0.14575430411111273,18.130954869356465,-1.6298521957971275,-1.9926268800002143,-2.4359459480712005,30.083584654532824,34.61573522154531,58.38726309443605,0.19791666666666666,0.38958333333333334,0.7333333333333333,0.4479166666666667,0.5520833333333334
top_3_ridge_alpha_10,study_04_cv,distance_range,,,near,600,40.0,14.142135623730951,63.2209273780308,26.266104780318912,23.06761614926082,0.8163435106156697,0.5671655363418383,32.137070267797036,-4.163956426986621,23.22092737803081,22.701061280571786,53.175423378624394,62.54535898186544,85.88677356391804,0.11,0.21833333333333332,0.43833333333333335,0.8466666666666667,0.15333333333333332
top_5_ols,study_04_cv,distance_range,,,far,360,130.0,14.719601443879744,94.76457149262335,35.9368235451461,33.53704184204271,0.2694438361499757,0.26660607900618116,40.1111094256103,-6.425697381630538,-35.235428507376675,-33.53704184204271,58.774770021573644,64.62106602360032,92.16293862836724,0.03333333333333333,0.06666666666666667,0.18611111111111112,0.03333333333333333,0.9666666666666667
