true_distance_m,1x,1.5x,2x,4x,6x,8x,10x,16x,full
20,2.700665,2.841235,2.878813,2.827779,2.747945,2.961482,3.027480,3.013303,2.395061
30,2.499971,2.536102,2.588141,2.579651,2.556874,2.592067,2.646133,2.874595,2.243054
40,2.492020,2.488429,2.469857,2.494670,2.531985,2.442758,2.432190,2.598396,2.083145
50,2.512346,2.527328,2.458347,2.452199,2.392370,2.423900,2.375699,2.515662,1.825865
60,2.265875,2.323239,2.237004,2.149899,2.193773,2.248077,2.327263,2.345015,1.976038
70,2.273948,2.328726,2.295610,2.237372,2.275376,2.332216,2.312137,2.422735,1.702599
80,2.201302,2.274282,2.278977,2.328843,2.383287,2.285974,2.320123,2.369292,1.866389
90,2.146799,2.208887,2.210588,2.192349,2.306279,2.300692,2.358086,2.457320,2.134432
100,2.083643,2.125397,2.111274,2.074494,2.147895,2.188127,2.251048,2.421577,1.962891
115,1.943381,1.946567,1.981190,1.976147,2.056289,2.129374,2.096969,2.170973,1.749568
125,2.023349,2.109191,2.103925,2.103892,2.141866,2.262792,2.279525,2.395147,1.833253
150,1.925779,1.995319,2.043151,2.055238,2.030881,2.046401,2.067102,2.220078,1.925606
