true_distance_m,1x,1.5x,2x,4x,6x,8x,10x,16x,full
20,3.803857,3.814039,3.715135,3.303710,3.033392,3.164885,3.141986,3.073034,2.418900
30,3.530907,3.386484,3.279553,2.929130,2.752291,2.733744,2.767832,2.944591,2.285341
40,3.201409,3.013044,2.901534,2.701141,2.641004,2.517026,2.486095,2.628870,2.097136
50,3.045323,2.945995,2.797599,2.626934,2.493729,2.493850,2.429433,2.553871,1.828611
60,2.756575,2.766071,2.584075,2.333436,2.314133,2.327224,2.382871,2.407157,1.992646
70,2.690533,2.674866,2.580299,2.414487,2.386626,2.408104,2.381002,2.492719,1.705040
80,2.574834,2.579352,2.541825,2.455407,2.469226,2.357610,2.370707,2.407179,1.871006
90,2.400008,2.422414,2.425902,2.324284,2.395016,2.352254,2.397484,2.482841,2.134258
100,2.326413,2.346256,2.303095,2.191377,2.219538,2.241595,2.300998,2.459950,1.962596
115,2.091944,2.103296,2.141639,2.063035,2.107504,2.161673,2.128870,2.187795,1.749486
125,2.145600,2.248522,2.221355,2.172327,2.188449,2.291811,2.307159,2.417424,1.831961
150,2.009933,2.076610,2.119933,2.110391,2.056908,2.060879,2.077830,2.221531,1.924724
