method_id,count,pearson_correlation,spearman_correlation,cv_mae,cv_median_absolute_error,cv_mean_relative_error,cv_median_relative_error,cv_rmse,cv_r2,cv_mean_signed_error,cv_median_signed_error,cv_p90_absolute_error,cv_p95_absolute_error,cv_max_absolute_error,cv_within_5m_rate,cv_within_10m_rate,cv_within_20m_rate,cv_overprediction_rate,cv_underprediction_rate,rank,context_window,aggregation_method,score_field
bbox_only__bbox_midpoint__object_depth,15064,-0.6001503139134949,-0.6015918798538973,24.208941441547754,19.984644042786243,0.4545576329809301,0.2632840600426487,30.49599983117137,0.36015280007411254,1.0397122978426064e-05,0.550227735836458,51.89986734496589,60.75208990983512,113.2575636857951,0.13575411577270313,0.27144184811471056,0.5003983005841742,0.5069702602230484,0.4930297397769517,1,bbox_only,bbox_midpoint,object_depth
bbox_expand_1_5x__bbox_midpoint__object_depth,15064,-0.5308852319338734,-0.5134311739934624,25.84659102279152,21.802077448186083,0.4935251677827396,0.2797841086726758,32.30975210304322,0.2817795405052669,0.0002627558881811882,0.611915777661352,55.2036707382944,63.56008886796093,103.64263320754858,0.1292485395645247,0.25464684014869887,0.4678040361125863,0.508563462559745,0.4914365374402549,2,bbox_expand_1_5x,bbox_midpoint,object_depth
bbox_only__inner50_median__object_depth,15064,-0.47319352927937625,-0.47174262103484255,26.90408705798421,22.61949372509713,0.5342940636369324,0.28972419114924575,33.58804799744503,0.22382428414052435,5.437587015715648e-05,0.910152455609591,56.84026339220781,65.6098090001435,125.92318240028698,0.1248008497079129,0.241635687732342,0.4514073287307488,0.5112851832182688,0.4887148167817313,3,bbox_only,inner50_median,object_depth
bbox_expand_2x__bbox_midpoint__object_depth,15064,-0.4723918981776409,-0.4427312250911556,27.277225653976252,23.663346927023085,0.5215589421492385,0.3030547712472124,33.603585278394476,0.2231060257013905,-0.0002858943104505099,1.4129211351927111,57.18167036271333,65.31572599403331,93.78251445284526,0.11769782262347318,0.22822623473181095,0.4326872012745619,0.5174588422729687,0.4825411577270313,4,bbox_expand_2x,bbox_midpoint,object_depth
bbox_expand_1_5x__inner50_median__object_depth,15064,-0.3869569751193293,-0.3532050907676512,28.587264974964082,24.67298499727586,0.5698499624609282,0.30907375458156183,35.15623363377164,0.14965491752278048,0.0007370336748019048,1.1979451108476908,60.013859148541236,67.76570826616185,106.05528646942385,0.10973181093998938,0.21999468932554433,0.41894583112055234,0.5124137015400956,0.4875862984599044,5,bbox_expand_1_5x,inner50_median,object_depth
bbox_expand_4x__bbox_midpoint__object_depth,15064,-0.3733999964365494,-0.3409964716035713,29.24374516520884,26.3404916930239,0.5670100998171124,0.32957681048308,35.368636672973004,0.1393488367129745,0.00020976671503622897,2.8874826168951557,59.49337776544043,67.35292323544924,109.55877027023922,0.09778279341476367,0.1979553903345725,0.38436006372809345,0.5299389272437599,0.47006107275624004,6,bbox_expand_4x,bbox_midpoint,object_depth
bbox_expand_2x__inner50_median__object_depth,15064,-0.3439872479880104,-0.2989198483685643,29.43906595936264,26.263212824286903,0.5833973962780701,0.32416710597125636,35.798929273174146,0.11828019631432629,5.5241535489111835e-05,2.0275843756577814,60.86225706061649,67.86233371819151,98.00095004964139,0.10302708443972385,0.20386351566648964,0.3983005841741901,0.5203797132235793,0.4796202867764206,7,bbox_expand_2x,inner50_median,object_depth
bbox_expand_4x__inner50_median__object_depth,15064,-0.29002710418312616,-0.2530758407574466,30.403875472861927,27.80019573160898,0.6031657223201846,0.3421567037531429,36.488052713317174,0.08400755023205564,-0.0009041560403394315,2.957648149633897,61.21445191370704,68.19705708197078,107.26633493562744,0.09087891662241104,0.18295273499734466,0.36504248539564527,0.5280801911842804,0.4719198088157196,8,bbox_expand_4x,inner50_median,object_depth
bbox_only__bbox_mean__object_depth,15064,0.10505047816912226,0.12147687085221359,31.94573673956629,30.866888164277853,0.6507190754665094,0.3543096002789943,37.92365081716545,0.010511391086607702,0.006975732932346968,2.4725821686788123,60.598383291160545,71.24164251178415,89.48251032530473,0.08895379713223579,0.1698751991502921,0.3414099840679766,0.5208443972384493,0.4791556027615507,9,bbox_only,bbox_mean,object_depth
bbox_expand_4x__bbox_mean__object_depth,15064,-0.0997784447067342,-0.07661723281296293,32.11182608900547,31.228963984898833,0.6500908241853955,0.35610159329756297,37.94332867263832,0.00948427133486951,2.575322417761197e-05,2.4706544434413615,59.27110987436051,71.29627914705871,87.25675797409542,0.08410780669144981,0.16317047265002654,0.3343733404142326,0.520910780669145,0.479089219330855,10,bbox_expand_4x,bbox_mean,object_depth
