model_name,model_family,term,importance_type,importance_value
random_forest_top_12,random_forest,bbox_only__bbox_midpoint__object_depth,feature_importance,0.21374670869755616
random_forest_top_12,random_forest,bbox_expand_1_5x__bbox_midpoint__object_depth,feature_importance,0.12829268108133543
random_forest_top_12,random_forest,bbox_only__inner50_median__object_depth,feature_importance,0.12388077648925225
random_forest_top_12,random_forest,bbox_expand_2x__bbox_midpoint__object_depth,feature_importance,0.08376981249987858
random_forest_top_12,random_forest,bbox_expand_1_5x__inner50_median__object_depth,feature_importance,0.061928369569319824
random_forest_top_12,random_forest,bbox_expand_4x__bbox_midpoint__object_depth,feature_importance,0.06752675679835331
random_forest_top_12,random_forest,bbox_expand_2x__inner50_median__object_depth,feature_importance,0.0491936113560993
random_forest_top_12,random_forest,bbox_expand_4x__inner50_median__object_depth,feature_importance,0.04427101348911129
random_forest_top_12,random_forest,bbox_only__bbox_mean__object_depth,feature_importance,0.0670955390364259
random_forest_top_12,random_forest,bbox_expand_4x__bbox_mean__object_depth,feature_importance,0.046969709605937104
random_forest_top_12,random_forest,bbox_expand_2x__bbox_mean__object_depth,feature_importance,0.05467382982996451
random_forest_top_12,random_forest,full_image__bbox_midpoint__object_depth,feature_importance,0.05865119154676646
random_forest_top_24,random_forest,bbox_only__bbox_midpoint__object_depth,feature_importance,0.1730821072590555
random_forest_top_24,random_forest,bbox_expand_1_5x__bbox_midpoint__object_depth,feature_importance,0.12604615713045644
random_forest_top_24,random_forest,bbox_only__inner50_median__object_depth,feature_importance,0.10967003320506746
random_forest_top_24,random_forest,bbox_expand_2x__bbox_midpoint__object_depth,feature_importance,0.0942614200891167
random_forest_top_24,random_forest,bbox_expand_1_5x__inner50_median__object_depth,feature_importance,0.05636138024533519
random_forest_top_24,random_forest,bbox_expand_4x__bbox_midpoint__object_depth,feature_importance,0.0597999588758956
random_forest_top_24,random_forest,bbox_expand_2x__inner50_median__object_depth,feature_importance,0.04577467598609272
random_forest_top_24,random_forest,bbox_expand_4x__inner50_median__object_depth,feature_importance,0.03928127672339595
random_forest_top_24,random_forest,bbox_only__bbox_mean__object_depth,feature_importance,0.05230874227747035
random_forest_top_24,random_forest,bbox_expand_4x__bbox_mean__object_depth,feature_importance,0.039569205387131184
random_forest_top_24,random_forest,bbox_expand_2x__bbox_mean__object_depth,feature_importance,0.04235974968561437
random_forest_top_24,random_forest,full_image__bbox_midpoint__object_depth,feature_importance,0.03649479123498213
random_forest_top_24,random_forest,full_image__inner50_median__object_depth,feature_importance,0.035612126366789155
random_forest_top_24,random_forest,bbox_expand_1_5x__bbox_mean__object_depth,feature_importance,0.04617662202814915
random_forest_top_24,random_forest,full_image__bbox_mean__object_depth,feature_importance,0.043201753505448366
