model_name,split_name,grouping,weather,time_of_day,distance_range,count,mean_true_distance_m,std_true_distance_m,mean_prediction_m,mae,mean_relative_error
scale_only,test,weather,clear_sky,,,1102,77.83121597096189,38.30182225660533,55.43567423379483,48.73957104620361,0.7678497335652652
scale_only,test,weather,light_rain,,,1118,77.60286225402504,37.92558940478272,55.033758019387754,46.76666938793612,0.7346347770994686
scale_only,test,time_of_day,,10AM,,1460,77.5958904109589,37.634794955339615,56.33585992118534,48.08341994921572,0.7577204572159949
scale_only,test,time_of_day,,8PM,,760,77.94736842105263,39.01413196618364,53.1151302452458,47.09782966154476,0.7384476574352311
scale_only,test,distance_range,,,far,561,129.44741532976826,14.660671604447556,54.041200233898635,75.69691608954314,0.58165690093203
scale_only,test,distance_range,,,mid,746,84.6514745308311,11.186895302633609,57.1632165055613,41.49208073834365,0.49297905307527856
scale_only,test,distance_range,,,near,913,40.26286966046002,14.536915703186283,54.388807915609576,35.68135981554314,1.0661776475017544
scale_only,test,weather__distance_range,clear_sky,,far,270,131.37037037037038,14.825274085651087,59.01446678682024,72.95991564818286,0.551100548573793
scale_only,test,weather__distance_range,clear_sky,,mid,383,83.86422976501305,11.274053479028353,57.49749835568239,43.84687426241883,0.530342669536967
scale_only,test,weather__distance_range,clear_sky,,near,449,40.489977728285076,14.522251178340397,51.52486659905141,38.34850161559152,1.1007839996466366
scale_only,test,weather__distance_range,light_rain,,far,291,127.66323024054982,14.276479174039483,49.426829205414656,78.23640103513517,0.6100081556974045
scale_only,test,weather__distance_range,light_rain,,mid,363,85.48209366391184,11.033461953027844,56.81051692265115,39.0075465242368,0.4535568351556459
scale_only,test,weather__distance_range,light_rain,,near,464,40.043103448275865,14.547717110503264,57.16016492236523,33.10044027196183,1.0326900351891417
scale_only,test,time_of_day__distance_range,,10AM,far,361,129.2797783933518,14.419779273620001,56.4139490496171,73.31758351949878,0.5641032881215469
scale_only,test,time_of_day__distance_range,,10AM,mid,503,84.37375745526839,11.207223387639614,57.99432707477311,42.58102849266578,0.5082760154594453
scale_only,test,time_of_day__distance_range,,10AM,near,596,40.57046979865772,14.494041836995565,54.88888147551668,37.44276534145133,1.0855163502472702
scale_only,test,time_of_day__distance_range,,8PM,far,200,129.75,15.081031131855672,49.75838862152679,79.99161137847322,0.6133411720549519
scale_only,test,time_of_day__distance_range,,8PM,mid,243,85.22633744855968,11.122688679368174,55.442851829373865,39.23800369956164,0.46131497044467806
scale_only,test,time_of_day__distance_range,,8PM,near,317,39.68454258675079,14.599647186726568,53.44860652221958,32.369695167463384,1.0298184461253266
depth_only_linear,test,weather,clear_sky,,,1102,77.83121597096189,38.30182225660533,77.7244543570246,31.78373380014153,0.6414028677009312
