"category","file","source","notes"
"existing_attempt9_final_depthpro","C:\Users\noams\OneDrive\Desktop\school\final project\Z_Drone_Final_Project_GA\forLior\existing_attempt9_final_depthpro\attempt9_depthpro_condition_mae.svg","C:\Users\noams\OneDrive\Desktop\school\final project\Z_Drone_Final_Project_GA\attempts\attempt9\study_all\artifacts_merged_complete\plots\attempt9_depthpro_condition_mae.svg","Copied final synthetic DepthPro plots from attempt9"
"existing_attempt9_final_depthpro","C:\Users\noams\OneDrive\Desktop\school\final project\Z_Drone_Final_Project_GA\forLior\existing_attempt9_final_depthpro\attempt9_depthpro_cv_vs_test_mae.svg","C:\Users\noams\OneDrive\Desktop\school\final project\Z_Drone_Final_Project_GA\attempts\attempt9\study_all\artifacts_merged_complete\plots\attempt9_depthpro_cv_vs_test_mae.svg","Copied final synthetic DepthPro plots from attempt9"
"existing_attempt9_final_depthpro","C:\Users\noams\OneDrive\Desktop\school\final project\Z_Drone_Final_Project_GA\forLior\existing_attempt9_final_depthpro\attempt9_depthpro_distance_range_heatmap.svg","C:\Users\noams\OneDrive\Desktop\school\final project\Z_Drone_Final_Project_GA\attempts\attempt9\study_all\artifacts_merged_complete\plots\attempt9_depthpro_distance_range_heatmap.svg","Copied final synthetic DepthPro plots from attempt9"
"existing_attempt9_final_depthpro","C:\Users\noams\OneDrive\Desktop\school\final project\Z_Drone_Final_Project_GA\forLior\existing_attempt9_final_depthpro\attempt9_depthpro_test_mae_ranking.svg","C:\Users\noams\OneDrive\Desktop\school\final project\Z_Drone_Final_Project_GA\attempts\attempt9\study_all\artifacts_merged_complete\plots\attempt9_depthpro_test_mae_ranking.svg","Copied final synthetic DepthPro plots from attempt9"
"existing_attempt9_final_depthpro","C:\Users\noams\OneDrive\Desktop\school\final project\Z_Drone_Final_Project_GA\forLior\existing_attempt9_final_depthpro\attempt9_depthpro_test_r2_ranking.svg","C:\Users\noams\OneDrive\Desktop\school\final project\Z_Drone_Final_Project_GA\attempts\attempt9\study_all\artifacts_merged_complete\plots\attempt9_depthpro_test_r2_ranking.svg","Copied final synthetic DepthPro plots from attempt9"
"existing_attempt9_final_depthpro","C:\Users\noams\OneDrive\Desktop\school\final project\Z_Drone_Final_Project_GA\forLior\existing_attempt9_final_depthpro\attempt9_depthpro_top_models_exact_distance.svg","C:\Users\noams\OneDrive\Desktop\school\final project\Z_Drone_Final_Project_GA\attempts\attempt9\study_all\artifacts_merged_complete\plots\attempt9_depthpro_top_models_exact_distance.svg","Copied final synthetic DepthPro plots from attempt9"
"existing_attempt9_final_depthpro","C:\Users\noams\OneDrive\Desktop\school\final project\Z_Drone_Final_Project_GA\forLior\existing_attempt9_final_depthpro\poster_all_models_mae_by_true_distance.svg","C:\Users\noams\OneDrive\Desktop\school\final project\Z_Drone_Final_Project_GA\attempts\attempt9\study_all\artifacts_merged_complete\plots\poster_all_models_mae_by_true_distance.svg","Copied final synthetic DepthPro plots from attempt9"
"existing_attempt9_final_depthpro","C:\Users\noams\OneDrive\Desktop\school\final project\Z_Drone_Final_Project_GA\forLior\existing_attempt9_final_depthpro\poster_all_models_mae_by_true_distance_zoomed.svg","C:\Users\noams\OneDrive\Desktop\school\final project\Z_Drone_Final_Project_GA\attempts\attempt9\study_all\artifacts_merged_complete\plots\poster_all_models_mae_by_true_distance_zoomed.svg","Copied final synthetic DepthPro plots from attempt9"
"existing_attempt9_final_depthpro","C:\Users\noams\OneDrive\Desktop\school\final project\Z_Drone_Final_Project_GA\forLior\existing_attempt9_final_depthpro\poster_all_models_relative_error_by_true_distance.svg","C:\Users\noams\OneDrive\Desktop\school\final project\Z_Drone_Final_Project_GA\attempts\attempt9\study_all\artifacts_merged_complete\plots\poster_all_models_relative_error_by_true_distance.svg","Copied final synthetic DepthPro plots from attempt9"
"existing_attempt9_final_depthpro","C:\Users\noams\OneDrive\Desktop\school\final project\Z_Drone_Final_Project_GA\forLior\existing_attempt9_final_depthpro\poster_best_model_mae_by_true_distance_bars.svg","C:\Users\noams\OneDrive\Desktop\school\final project\Z_Drone_Final_Project_GA\attempts\attempt9\study_all\artifacts_merged_complete\plots\poster_best_model_mae_by_true_distance_bars.svg","Copied final synthetic DepthPro plots from attempt9"
