display_name,model_name,model_family,split_name,role,config_name,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate,poster_rank
scale only,scale_only,linear,cv_oof,poster,scale_only,12804,77.10581387414149,69.98462247088793,0.9987646105047912,0.9993023969352675,86.02064824324898,-4.093894777141733,-76.96933662025103,-69.98447598507555,124.95880624276653,149.92525707904784,149.99593854238194,0.00015620118712902218,0.0003905029678225555,0.08528584817244611,0.001562011871290222,0.9984379881287098,
scale only,scale_only,linear,test,poster,scale_only,2260,77.38257532315795,69.98246996626489,0.9973837184944713,0.9993025191765694,86.32430370569607,-4.110362196171912,-77.27936801188638,-69.98246996626489,124.96365732776715,149.93041202177832,149.99263750954427,0.0004424778761061947,0.0004424778761061947,0.07964601769911504,0.0017699115044247787,0.9982300884955753,7
depth linear,depth_only_linear,linear,cv_oof,poster,depth_only_linear,12804,32.24511003432305,27.36648332985785,0.6587598831670058,0.3290071298820305,38.11393942808859,-2.815288195923138e-05,0.0015304001686469127,7.149297106917736,57.32125469557562,72.69642927767859,89.17753207715842,0.08559825054670415,0.16861918150577945,0.33786316776007497,0.5013277100905967,0.4986722899094033,
depth linear,depth_only_linear,linear,test,poster,depth_only_linear,2260,32.299223346268654,27.253671552126526,0.6473417526751043,0.328414844658718,38.19149274707639,-0.00027354013503710917,-0.3580568096408095,7.212864052333366,57.252552254777584,72.75162897716278,72.82345310232978,0.08230088495575222,0.16592920353982302,0.3407079646017699,0.5017699115044247,0.4982300884955752,6
linear+bb,depth_geometry_metadata_linear,linear,cv_oof,poster,depth_geometry_metadata_linear,12804,13.444983548260828,10.99840781757709,0.22320157768619844,0.15777699909232223,18.853154869034416,0.755312030143933,0.036385875913160434,0.7585416623690122,29.247667217638142,34.64627487908043,929.5829906107616,0.24398625429553264,0.46141830677913154,0.7729615745079662,0.5163230240549829,0.4836769759450172,
linear+bb,depth_geometry_metadata_linear,linear,test,poster,depth_geometry_metadata_linear,2260,13.352688716245554,10.991238446963257,0.21528234247657224,0.15473682952228676,16.942424640516457,0.8031494470989388,-0.1415321492732511,1.004926290929948,29.214826493279283,34.80318052760428,73.20090602365761,0.25398230088495577,0.46238938053097345,0.7685840707964602,0.5243362831858407,0.4756637168141593,5
improved linear,stacked_rf_depth_geometry_metadata_linear,stacked_linear,cv_oof,poster,random_forest_top_24,12804,12.109042009172219,9.675195106585335,0.191835622855251,0.14391726681372993,16.49780812301972,0.8126312997785479,0.039413024004382284,0.22745640805705492,25.977991253478812,30.68820956325761,678.7711980359587,0.2738206810371759,0.5129646985317089,0.8027960012496095,0.5063261480787254,0.4936738519212746,
improved linear,stacked_rf_depth_geometry_metadata_linear,stacked_linear,test,poster,random_forest_top_24,2260,11.943067764112017,9.71648935055875,0.18598129461768845,0.14192910973288453,15.291119344200245,0.8396518072006638,-0.4255662577557661,-0.32660853557714375,26.21006432011363,30.73958980619906,53.14397097028001,0.28761061946902655,0.5150442477876106,0.8039823008849557,0.49380530973451325,0.5061946902654867,4
RF,raw_depth_geometry_metadata_rf,random_forest,cv_oof,poster,rf_unbounded,12804,7.547884878618041,5.652411014911021,0.09792424962732149,0.07564777872663522,10.421947604684052,0.9252274281891139,-0.03826769205806627,0.01666666666666572,17.244534188034173,21.8015647246272,55.63115079365082,0.46040299906279286,0.7137613245860669,0.932911590128085,0.5039050296782256,0.48094345517025927,
RF,raw_depth_geometry_metadata_rf,random_forest,test,poster,rf_unbounded,2260,7.542654098405864,5.463835978835956,0.09689147644748004,0.0761704971340387,10.476237764635412,0.9247344557024677,-0.1734849182557065,0.0,17.267627405002408,22.078262070105765,54.24496718559223,0.46415929203539824,0.713716814159292,0.9323008849557523,0.4942477876106195,0.4902654867256637,3
